Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
1000;	5.06394e-01;	0.00000e+00;	8.34513e-02;	0.00000e+00;	8.17726e-05;	8.17726e-07
2000;	5.05419e-01;	9.75434e-04;	8.50092e-02;	1.55792e-03;	7.02498e-05;	7.02498e-07
3000;	5.06531e-01;	1.24642e-03;	8.42106e-02;	1.20282e-03;	7.52669e-05;	7.52669e-07
4000;	5.03660e-01;	3.00341e-03;	8.45043e-02;	8.99791e-04;	6.31463e-05;	6.31463e-07
5000;	5.02191e-01;	2.75126e-03;	8.43446e-02;	7.15043e-04;	5.24370e-05;	5.24370e-07
6000;	5.00854e-01;	2.61390e-03;	8.46083e-02;	6.40653e-04;	4.39408e-05;	4.39408e-07
7000;	5.03536e-01;	3.47441e-03;	8.46445e-02;	5.42659e-04;	4.12359e-05;	4.12359e-07
8000;	5.04052e-01;	3.05291e-03;	8.41770e-02;	6.62868e-04;	4.01868e-05;	4.01868e-07
9000;	5.03583e-01;	2.73295e-03;	8.34475e-02;	9.34832e-04;	3.85752e-05;	3.85752e-07
10000;	5.01214e-01;	3.40415e-03;	8.32638e-02;	8.56093e-04;	3.50125e-05;	3.50125e-07
11000;	4.99985e-01;	3.31548e-03;	8.35553e-02;	8.27402e-04;	3.18296e-05;	3.18296e-07
12000;	5.00160e-01;	3.03163e-03;	8.36006e-02;	7.56671e-04;	2.91814e-05;	2.91814e-07
13000;	5.00513e-01;	2.81098e-03;	8.37441e-02;	7.10678e-04;	2.69771e-05;	2.69771e-07
14000;	5.00319e-01;	2.60967e-03;	8.36596e-02;	6.63365e-04;	2.50647e-05;	2.50647e-07
15000;	5.00069e-01;	2.44235e-03;	8.39415e-02;	6.78858e-04;	2.33944e-05;	2.33944e-07
16000;	5.02089e-01;	3.05001e-03;	8.39132e-02;	6.35647e-04;	2.24778e-05;	2.24778e-07
17000;	5.01955e-01;	2.86812e-03;	8.38156e-02;	6.05002e-04;	2.16053e-05;	2.16053e-07
18000;	5.02030e-01;	2.70512e-03;	8.38038e-02;	5.70524e-04;	2.08628e-05;	2.08628e-07
19000;	5.02410e-01;	2.58682e-03;	8.39420e-02;	5.57069e-04;	2.03759e-05;	2.03759e-07
20000;	5.02239e-01;	2.45996e-03;	8.38018e-02;	5.46747e-04;	1.98586e-05;	1.98586e-07
21000;	5.02193e-01;	2.34034e-03;	8.35998e-02;	5.57917e-04;	1.93712e-05;	1.93712e-07
22000;	5.02628e-01;	2.27343e-03;	8.33151e-02;	6.03330e-04;	1.91187e-05;	1.91187e-07
