Number_of_throws;Integral_value;Integral_error;sigma_value;sigma_error;Chi^2;prob_poisson
0;0.506394;0;0.0834513;0;8.17726e-05;8.17726e-07
0;0.505419;0.000975434;0.0850092;0.00155792;7.02498e-05;7.02498e-07
0;0.506531;0.00124642;0.0842106;0.00120282;7.52669e-05;7.52669e-07
0;0.50366;0.00300341;0.0845043;0.000899791;6.31463e-05;6.31463e-07
0;0.502191;0.00275126;0.0843446;0.000715043;5.2437e-05;5.2437e-07
0;0.500854;0.0026139;0.0846083;0.000640653;4.39408e-05;4.39408e-07
0;0.503536;0.00347441;0.0846445;0.000542659;4.12359e-05;4.12359e-07
0;0.504052;0.00305291;0.084177;0.000662868;4.01868e-05;4.01868e-07
0;0.503583;0.00273295;0.0834475;0.000934832;3.85752e-05;3.85752e-07
0;0.501214;0.00340415;0.0832638;0.000856093;3.50125e-05;3.50125e-07
0;0.499985;0.00331548;0.0835553;0.000827402;3.18296e-05;3.18296e-07
0;0.50016;0.00303163;0.0836006;0.000756671;2.91814e-05;2.91814e-07
0;0.500513;0.00281098;0.0837441;0.000710678;2.69771e-05;2.69771e-07
0;0.500319;0.00260967;0.0836596;0.000663365;2.50647e-05;2.50647e-07
0;0.500069;0.00244235;0.0839415;0.000678858;2.33944e-05;2.33944e-07
0;0.502089;0.00305001;0.0839132;0.000635647;2.24778e-05;2.24778e-07
0;0.501955;0.00286812;0.0838156;0.000605002;2.16053e-05;2.16053e-07
0;0.50203;0.00270512;0.0838038;0.000570524;2.08628e-05;2.08628e-07
0;0.50241;0.00258682;0.083942;0.000557069;2.03759e-05;2.03759e-07
0;0.502239;0.00245996;0.0838018;0.000546747;1.98586e-05;1.98586e-07
0;0.502193;0.00234034;0.0835998;0.000557917;1.93712e-05;1.93712e-07
0;0.502628;0.00227343;0.0833151;0.00060333;1.91187e-05;1.91187e-07
0;0.501909;0.00228835;0.0833948;0.000581974;1.86044e-05;1.86044e-07
0;0.501397;0.00224989;0.0834068;0.000557328;1.79919e-05;1.79919e-07
0;0.501469;0.00215921;0.0834739;0.000538768;1.74449e-05;1.74449e-07
0;0.500565;0.00226315;0.0835221;0.00051987;1.67985e-05;1.67985e-07
0;0.500407;0.00218344;0.0835314;0.000500331;1.61886e-05;1.61886e-07
0;0.500215;0.0021127;0.0836058;0.00048783;1.56137e-05;1.56137e-07
0;0.500182;0.00203881;0.0835875;0.000471062;1.50776e-05;1.50776e-07
0;0.500143;0.00197007;0.0834983;0.000463749;1.45764e-05;1.45764e-07
0;0.499822;0.00193239;0.0834878;0.000448663;1.41082e-05;1.41082e-07
0;0.499685;0.00187603;0.0835711;0.000442319;1.36736e-05;1.36736e-07
0;0.499734;0.00181896;0.0834754;0.000439241;1.32635e-05;1.32635e-07
0;0.499716;0.00176474;0.0835034;0.000427045;1.28781e-05;1.28781e-07
0;0.500207;0.0017823;0.0836028;0.000426411;1.25126e-05;1.25126e-07
0;0.500321;0.00173589;0.0835265;0.000421369;1.21708e-05;1.21708e-07
0;0.500405;0.0016904;0.0834949;0.000411034;1.18507e-05;1.18507e-07
0;0.500574;0.00165397;0.0834624;0.000401393;1.15562e-05;1.15562e-07
0;0.500453;0.00161558;0.0834326;0.0003921;1.12704e-05;1.12704e-07
0;0.500522;0.00157619;0.0834716;0.000384158;1.10023e-05;1.10023e-07
0;0.500891;0.00158104;0.0834109;0.000379554;1.07727e-05;1.07727e-07
0;0.501175;0.00156888;0.0833969;0.000370674;1.05819e-05;1.05819e-07
0;0.501354;0.00154233;0.0834137;0.000362342;1.04211e-05;1.04211e-07
0;0.501247;0.00151063;0.0834706;0.000358552;1.0255e-05;1.0255e-07
0;0.501008;0.00149589;0.0834866;0.000350858;1.00723e-05;1.00723e-07
0;0.501151;0.00146997;0.0833964;0.000354784;9.91095e-06;9.91095e-08
0;0.501207;0.00143943;0.0833529;0.000349878;9.76205e-06;9.76205e-08
0;0.501334;0.00141484;0.0834293;0.000350929;9.63282e-06;9.63282e-08
0;0.501198;0.0013923;0.0834559;0.00034472;9.49482e-06;9.49482e-08
0;0.501583;0.00141746;0.083479;0.000338544;9.40517e-06;9.40517e-08
0;0.501586;0.00138939;0.083462;0.000332272;9.31935e-06;9.31935e-08
0;0.501462;0.001368;0.0835263;0.000332099;9.22234e-06;9.22234e-08
0;0.501321;0.00134934;0.0835415;0.00032613;9.11418e-06;9.11418e-08
0;0.501434;0.00132893;0.0835627;0.000320732;9.02155e-06;9.02155e-08
0;0.501337;0.00130813;0.0835847;0.000315613;8.92254e-06;8.92254e-08
0;0.501292;0.00128536;0.0836109;0.000311033;8.82282e-06;8.82282e-08
0;0.501591;0.00129766;0.0836901;0.000315636;8.7569e-06;8.7569e-08
0;0.501867;0.0013045;0.0837155;0.000311181;8.72611e-06;8.72611e-08
0;0.501889;0.00128239;0.0837698;0.000310639;8.69923e-06;8.69923e-08
0;0.501892;0.00126084;0.083751;0.000305995;8.67354e-06;8.67354e-08
0;0.502039;0.00124871;0.0837098;0.000303741;8.66767e-06;8.66767e-08
0;0.50228;0.0012519;0.0837425;0.000300587;8.69562e-06;8.69562e-08
0;0.502342;0.00123343;0.0837413;0.000295779;8.73179e-06;8.73179e-08
0;0.502278;0.00121571;0.0837719;0.000292722;8.75754e-06;8.75754e-08
0;0.502368;0.00120021;0.0837149;0.000293779;8.79529e-06;8.79529e-08
0;0.502462;0.00118565;0.0836848;0.000290846;8.84573e-06;8.84573e-08
0;0.502576;0.00117338;0.0837012;0.000286939;8.91181e-06;8.91181e-08
0;0.502263;0.00119766;0.0837017;0.000282689;8.93138e-06;8.93138e-08
0;0.502119;0.00118891;0.0837484;0.000282442;8.93211e-06;8.93211e-08
0;0.502078;0.00117254;0.083762;0.000278708;8.92783e-06;8.92783e-08
0;0.502065;0.00115597;0.0837782;0.000275236;8.9222e-06;8.9222e-08
0;0.501637;0.00121758;0.0837687;0.000271554;8.8727e-06;8.8727e-08
0;0.501591;0.00120166;0.0837388;0.000269475;8.8205e-06;8.8205e-08
0;0.501591;0.00118531;0.0837595;0.000266614;8.76969e-06;8.76969e-08
0;0.501622;0.00116982;0.0837463;0.000263367;8.72292e-06;8.72292e-08
0;0.501501;0.00116064;0.083732;0.000260272;8.66744e-06;8.66744e-08
0;0.501553;0.00114663;0.0837214;0.000257086;8.6175e-06;8.6175e-08
0;0.501685;0.00113951;0.0837232;0.000253775;8.57979e-06;8.57979e-08
0;0.501712;0.00112533;0.0836985;0.000251758;8.54542e-06;8.54542e-08
0;0.501896;0.00112621;0.0836932;0.000248647;8.52844e-06;8.52844e-08
