Number_of_throws;chi2
10000;	0.00000e+00
20000;	4.00000e-02
30000;	2.50000e-01
40000;	4.90000e-01
50000;	4.00000e-02
60000;	1.00000e-02
70000;	2.25000e+00
80000;	1.00000e-02
90000;	4.00000e-02
100000;	9.00000e-02
110000;	1.00000e+00
120000;	1.00000e-02
130000;	6.40000e-01
140000;	3.61000e+00
150000;	3.60000e-01
160000;	9.00000e-02
170000;	8.10000e-01
180000;	2.50000e-01
190000;	3.60000e-01
200000;	4.00000e-02
210000;	1.21000e+00
220000;	9.00000e-02
230000;	8.10000e-01
240000;	2.25000e+00
250000;	8.10000e-01
260000;	3.60000e-01
270000;	1.60000e-01
280000;	1.15600e+01
290000;	4.90000e-01
300000;	2.89000e+00
310000;	1.21000e+00
320000;	2.89000e+00
330000;	8.10000e-01
340000;	2.50000e-01
350000;	3.60000e-01
360000;	1.00000e-02
370000;	1.00000e-02
380000;	1.00000e-02
390000;	1.69000e+00
400000;	9.00000e-02
410000;	9.00000e-02
420000;	2.50000e-01
430000;	1.44000e+00
440000;	2.50000e-01
450000;	1.60000e-01
460000;	1.96000e+00
470000;	5.29000e+00
480000;	4.90000e-01
490000;	1.69000e+00
500000;	3.61000e+00
510000;	1.96000e+00
520000;	2.89000e+00
530000;	9.00000e-02
540000;	3.60000e-01
550000;	2.50000e-01
560000;	1.00000e-02
570000;	2.25000e+00
580000;	2.50000e-01
590000;	2.56000e+00
600000;	1.60000e-01
610000;	1.00000e-02
620000;	2.50000e-01
630000;	5.29000e+00
640000;	8.10000e-01
650000;	1.96000e+00
660000;	1.69000e+00
670000;	9.00000e-02
680000;	4.90000e-01
690000;	2.25000e+00
700000;	1.00000e-02
710000;	3.61000e+00
720000;	4.90000e-01
730000;	1.44000e+00
740000;	1.00000e+00
750000;	1.60000e-01
760000;	8.10000e-01
770000;	4.90000e-01
780000;	1.00000e-02
790000;	3.60000e-01
800000;	2.50000e-01
810000;	1.60000e-01
820000;	2.25000e+00
830000;	9.00000e-02
840000;	8.10000e-01
850000;	8.10000e-01
860000;	2.25000e+00
870000;	3.61000e+00
880000;	1.60000e-01
890000;	0.00000e+00
900000;	1.00000e-02
910000;	1.00000e-02
920000;	1.21000e+00
930000;	3.60000e-01
940000;	8.10000e-01
950000;	3.60000e-01
960000;	2.89000e+00
970000;	4.90000e-01
980000;	1.69000e+00
990000;	8.10000e-01
1000000;	4.84000e+00
