Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
10000;	4.96477e-01;	0.00000e+00;	8.28602e-02;	0.00000e+00;	2.48298e-05;	2.48298e-08
20000;	4.97979e-01;	1.50216e-03;	8.30287e-02;	1.68433e-04;	1.65006e-05;	1.65006e-08
30000;	4.98441e-01;	9.82716e-04;	8.29768e-02;	1.10230e-04;	1.26211e-05;	1.26211e-08
40000;	4.99405e-01;	1.18886e-03;	8.34325e-02;	4.62318e-04;	9.64259e-06;	9.64259e-09
50000;	4.99615e-01;	9.44374e-04;	8.33268e-02;	3.73371e-04;	7.77343e-06;	7.77343e-09
60000;	4.98907e-01;	1.04698e-03;	8.32699e-02;	3.10124e-04;	6.87642e-06;	6.87642e-09
70000;	4.98673e-01;	9.15057e-04;	8.32285e-02;	2.65353e-04;	6.39690e-06;	6.39690e-09
80000;	4.98664e-01;	7.92517e-04;	8.31642e-02;	2.38616e-04;	6.04344e-06;	6.04344e-09
90000;	4.99138e-01;	8.44233e-04;	8.32253e-02;	2.19120e-04;	5.53722e-06;	5.53722e-09
100000;	4.98985e-01;	7.70298e-04;	8.32496e-02;	1.97483e-04;	5.18939e-06;	5.18939e-09
110000;	4.99119e-01;	7.09379e-04;	8.31832e-02;	1.90552e-04;	4.85888e-06;	4.85888e-09
120000;	4.99205e-01;	6.53332e-04;	8.31782e-02;	1.74020e-04;	4.55927e-06;	4.55927e-09
130000;	4.99075e-01;	6.14834e-04;	8.31118e-02;	1.73313e-04;	4.34009e-06;	4.34009e-09
140000;	4.98885e-01;	6.00316e-04;	8.30848e-02;	1.62723e-04;	4.20779e-06;	4.20779e-09
150000;	4.98677e-01;	5.96295e-04;	8.31529e-02;	1.66120e-04;	4.16074e-06;	4.16074e-09
160000;	4.98632e-01;	5.59569e-04;	8.31469e-02;	1.55508e-04;	4.13460e-06;	4.13460e-09
170000;	4.98867e-01;	5.75672e-04;	8.31101e-02;	1.50639e-04;	4.04246e-06;	4.04246e-09
180000;	4.99108e-01;	5.93894e-04;	8.31707e-02;	1.54424e-04;	3.90630e-06;	3.90630e-09
190000;	4.99282e-01;	5.87992e-04;	8.32033e-02;	1.49659e-04;	3.75504e-06;	3.75504e-09
200000;	4.99454e-01;	5.83937e-04;	8.32193e-02;	1.42879e-04;	3.59707e-06;	3.59707e-09
210000;	4.99508e-01;	5.58074e-04;	8.31691e-02;	1.44892e-04;	3.44879e-06;	3.44879e-09
220000;	4.99397e-01;	5.43574e-04;	8.31498e-02;	1.39494e-04;	3.32504e-06;	3.32504e-09
230000;	4.99339e-01;	5.22650e-04;	8.31215e-02;	1.36249e-04;	3.21844e-06;	3.21844e-09
240000;	4.99318e-01;	5.00870e-04;	8.31506e-02;	1.33649e-04;	3.12315e-06;	3.12315e-09
250000;	4.99593e-01;	5.53991e-04;	8.31796e-02;	1.31434e-04;	3.01145e-06;	3.01145e-09
260000;	4.99524e-01;	5.36793e-04;	8.31818e-02;	1.26298e-04;	2.91308e-06;	2.91308e-09
270000;	4.99615e-01;	5.24512e-04;	8.31606e-02;	1.23364e-04;	2.81617e-06;	2.81617e-09
280000;	4.99452e-01;	5.31107e-04;	8.31884e-02;	1.22068e-04;	2.73706e-06;	2.73706e-09
290000;	4.99488e-01;	5.13725e-04;	8.31839e-02;	1.17868e-04;	2.66078e-06;	2.66078e-09
300000;	4.99422e-01;	5.00689e-04;	8.32258e-02;	1.21316e-04;	2.59439e-06;	2.59439e-09
310000;	4.99476e-01;	4.87303e-04;	8.32082e-02;	1.18648e-04;	2.52842e-06;	2.52842e-09
320000;	4.99372e-01;	4.83203e-04;	8.31668e-02;	1.22111e-04;	2.47408e-06;	2.47408e-09
330000;	4.99550e-01;	5.00950e-04;	8.31437e-02;	1.20578e-04;	2.41140e-06;	2.41140e-09
340000;	4.99433e-01;	4.99740e-04;	8.31447e-02;	1.16982e-04;	2.35938e-06;	2.35938e-09
350000;	4.99523e-01;	4.93511e-04;	8.31707e-02;	1.16547e-04;	2.30498e-06;	2.30498e-09
360000;	4.99330e-01;	5.16966e-04;	8.31787e-02;	1.13542e-04;	2.26588e-06;	2.26588e-09
370000;	4.99368e-01;	5.04234e-04;	8.31789e-02;	1.10431e-04;	2.22623e-06;	2.22623e-09
380000;	4.99330e-01;	4.92287e-04;	8.31552e-02;	1.10054e-04;	2.19130e-06;	2.19130e-09
390000;	4.99313e-01;	4.79775e-04;	8.31400e-02;	1.08275e-04;	2.15929e-06;	2.15929e-09
400000;	4.99325e-01;	4.67769e-04;	8.31540e-02;	1.06459e-04;	2.12810e-06;	2.12810e-09
410000;	4.99323e-01;	4.56223e-04;	8.31604e-02;	1.04029e-04;	2.09857e-06;	2.09857e-09
420000;	4.99372e-01;	4.47967e-04;	8.31692e-02;	1.01904e-04;	2.06738e-06;	2.06738e-09
430000;	4.99420e-01;	4.40040e-04;	8.31724e-02;	9.95564e-05;	2.03495e-06;	2.03495e-09
440000;	4.99462e-01;	4.31991e-04;	8.31728e-02;	9.72684e-05;	2.00184e-06;	2.00184e-09
450000;	4.99573e-01;	4.36449e-04;	8.31773e-02;	9.51876e-05;	1.96548e-06;	1.96548e-09
460000;	4.99773e-01;	4.71435e-04;	8.32009e-02;	9.60375e-05;	1.92500e-06;	1.92500e-09
470000;	4.99775e-01;	4.61299e-04;	8.32066e-02;	9.41469e-05;	1.88621e-06;	1.88621e-09
480000;	4.99828e-01;	4.54721e-04;	8.31901e-02;	9.36431e-05;	1.84814e-06;	1.84814e-09
490000;	4.99842e-01;	4.45574e-04;	8.32004e-02;	9.22941e-05;	1.81144e-06;	1.81144e-09
500000;	4.99897e-01;	4.40031e-04;	8.31926e-02;	9.07654e-05;	1.77564e-06;	1.77564e-09
510000;	4.99953e-01;	4.34869e-04;	8.31808e-02;	8.97420e-05;	1.74091e-06;	1.74091e-09
520000;	4.99924e-01;	4.27372e-04;	8.32151e-02;	9.44273e-05;	1.70765e-06;	1.70765e-09
530000;	4.99984e-01;	4.23400e-04;	8.32194e-02;	9.27298e-05;	1.67544e-06;	1.67544e-09
540000;	4.99953e-01;	4.16604e-04;	8.31982e-02;	9.34421e-05;	1.64449e-06;	1.64449e-09
550000;	4.99918e-01;	4.10499e-04;	8.32100e-02;	9.24857e-05;	1.61484e-06;	1.61484e-09
560000;	4.99905e-01;	4.03306e-04;	8.32049e-02;	9.09602e-05;	1.58633e-06;	1.58633e-09
570000;	4.99921e-01;	3.96512e-04;	8.32014e-02;	8.94221e-05;	1.55872e-06;	1.55872e-09
580000;	4.99945e-01;	3.90326e-04;	8.31981e-02;	8.79264e-05;	1.53195e-06;	1.53195e-09
590000;	4.99929e-01;	3.83992e-04;	8.31932e-02;	8.65618e-05;	1.50616e-06;	1.50616e-09
600000;	4.99977e-01;	3.80682e-04;	8.31920e-02;	8.51155e-05;	1.48107e-06;	1.48107e-09
610000;	4.99969e-01;	3.74488e-04;	8.31734e-02;	8.57517e-05;	1.45682e-06;	1.45682e-09
620000;	5.00026e-01;	3.72836e-04;	8.31584e-02;	8.56726e-05;	1.43335e-06;	1.43335e-09
630000;	4.99996e-01;	3.68108e-04;	8.31495e-02;	8.47795e-05;	1.41060e-06;	1.41060e-09
640000;	4.99968e-01;	3.63363e-04;	8.31640e-02;	8.47004e-05;	1.38859e-06;	1.38859e-09
650000;	4.99931e-01;	3.59720e-04;	8.31492e-02;	8.46835e-05;	1.36737e-06;	1.36737e-09
660000;	4.99909e-01;	3.54892e-04;	8.31448e-02;	8.35101e-05;	1.34691e-06;	1.34691e-09
670000;	4.99924e-01;	3.49872e-04;	8.31439e-02;	8.22590e-05;	1.32698e-06;	1.32698e-09
680000;	4.99900e-01;	3.45520e-04;	8.31653e-02;	8.38242e-05;	1.30776e-06;	1.30776e-09
690000;	4.99918e-01;	3.40982e-04;	8.31527e-02;	8.35511e-05;	1.28900e-06;	1.28900e-09
700000;	4.99925e-01;	3.36148e-04;	8.31618e-02;	8.28507e-05;	1.27074e-06;	1.27074e-09
710000;	4.99927e-01;	3.31382e-04;	8.31629e-02;	8.16820e-05;	1.25299e-06;	1.25299e-09
720000;	4.99927e-01;	3.26748e-04;	8.31728e-02;	8.11439e-05;	1.23574e-06;	1.23574e-09
730000;	4.99938e-01;	3.22431e-04;	8.31783e-02;	8.02194e-05;	1.21892e-06;	1.21892e-09
