Exp_N=1;	Exp_N=2;	Exp_N=10;	Exp_N=100
1.30849e-01;	7.47133e-01;	1.04079e+00;	9.54911e-01
1.94283e+00;	4.42935e-01;	9.74612e-01;	9.97510e-01
1.69519e-02;	3.39943e-01;	5.17059e-01;	9.87796e-01
9.00785e-01;	2.16314e-01;	1.29743e+00;	1.21455e+00
2.38400e+00;	2.73036e-01;	1.01754e+00;	8.87962e-01
7.87444e-02;	7.63042e-01;	8.33720e-01;	9.65983e-01
1.82466e-01;	2.02215e+00;	8.08333e-01;	9.18606e-01
2.31966e+00;	7.56386e-01;	1.28035e+00;	1.11779e+00
2.71033e-01;	7.46146e-01;	7.35762e-01;	1.12973e+00
3.71433e-01;	6.63176e-01;	5.30930e-01;	1.02286e+00
1.19231e+00;	1.16130e+00;	1.36298e+00;	1.12705e+00
1.68971e+00;	6.44294e-01;	8.98905e-01;	1.03267e+00
9.35728e-01;	7.73579e-02;	1.00182e+00;	9.26310e-01
1.71067e-01;	8.49285e-01;	1.31756e+00;	1.23227e+00
2.61935e+00;	2.18222e+00;	8.74791e-01;	9.59126e-01
1.63430e-02;	9.98226e-01;	1.36177e+00;	9.25167e-01
2.42055e-01;	1.29500e+00;	1.08777e+00;	1.06809e+00
6.96958e-01;	4.89358e-01;	1.00918e+00;	9.25055e-01
1.19021e+00;	9.61738e-01;	7.21970e-01;	9.69491e-01
9.93754e-03;	2.61322e-01;	6.55466e-01;	1.03500e+00
2.71866e-01;	1.39775e+00;	1.17592e+00;	9.20899e-01
3.77919e-01;	7.43187e-01;	1.47821e+00;	1.13642e+00
9.40051e-01;	1.87381e+00;	1.25113e+00;	9.62355e-01
2.13243e-02;	1.36803e+00;	6.67984e-01;	1.20085e+00
1.91721e+00;	7.35417e-01;	5.33067e-01;	1.02877e+00
1.53615e-01;	2.41934e+00;	1.09998e+00;	9.54477e-01
1.40538e-01;	7.67861e-01;	9.21678e-01;	1.12762e+00
3.39108e-01;	7.84698e-01;	8.87079e-01;	8.12599e-01
7.54697e-01;	2.28059e+00;	1.23536e+00;	1.10960e+00
1.51882e+00;	9.37018e-01;	1.14113e+00;	8.87317e-01
3.48682e-01;	2.51405e-01;	1.38590e+00;	8.86621e-01
8.75524e-01;	6.57226e-01;	1.12121e+00;	9.92436e-01
9.78456e-01;	2.14253e+00;	1.33742e+00;	1.04650e+00
6.94705e-01;	2.28899e-01;	1.03824e+00;	1.01196e+00
2.56374e+00;	3.96077e-01;	1.54413e+00;	8.63125e-01
