Lorentz_N=1;	Lorentz_N=2;	Lorentz_N=10;	Lorentz_N=100
-2.46556e+00;	-4.06120e-01;	3.03832e-01;	-6.68098e-01
2.06919e+00;	-1.68426e+00;	-1.22946e-01;	-4.86547e+01
-1.89192e+01;	-1.29512e+00;	-1.36539e+01;	9.58396e-01
3.03344e-01;	-1.93839e+00;	8.51806e-01;	3.29872e+00
3.35603e+00;	-1.12946e+00;	1.33100e+00;	-6.27681e+00
-4.12396e+00;	8.66617e-02;	-1.42132e+00;	-1.66109e+00
-1.73054e+00;	6.13106e+00;	-6.04022e-01;	-2.15736e-01
3.13432e+00;	-2.69377e-01;	9.54436e-01;	8.30234e-01
-1.08242e+00;	-3.05704e-01;	-2.01415e-01;	1.61082e+00
-6.78428e-01;	-2.71010e-01;	-8.36746e-01;	-9.85536e+00
7.09777e-01;	6.74378e-01;	1.45639e+00;	8.08019e-01
1.52681e+00;	-4.69134e-01;	-9.52166e-01;	-9.87221e-01
3.51880e-01;	-3.06235e+01;	-9.06599e-01;	-3.20529e-01
-1.85703e+00;	2.25130e-01;	1.95474e+00;	2.70580e+00
4.29282e+00;	2.74535e+00;	1.81434e+00;	1.33169e-01
-1.96194e+01;	3.85491e-01;	1.57912e+00;	-1.31027e+01
-1.24831e+00;	9.30110e-01;	-5.81519e-01;	7.72355e+00
5.97516e-03;	-8.24944e+00;	3.85230e-01;	6.68429e-02
7.06771e-01;	8.75569e-02;	-1.42303e+00;	-5.75929e-01
-3.21801e+01;	-1.81704e+00;	-3.39791e+00;	-5.29798e-01
-1.07810e+00;	1.28150e+00;	2.10272e+01;	-8.34475e-01
-6.58163e-01;	7.66582e-02;	2.64003e+00;	3.41598e-01
3.57866e-01;	4.60299e+00;	1.13698e+00;	-7.10555e-01
-1.50647e+01;	9.86010e-01;	-1.46860e+00;	2.54806e+00
2.00894e+00;	2.69342e-02;	-1.84762e+00;	-4.64826e-01
-2.08421e+00;	5.86489e+00;	3.47771e-01;	2.29968e-02
-2.28894e+00;	-2.02954e+00;	1.36053e-01;	-1.31794e-01
-7.87856e-01;	2.53666e-02;	-2.33697e-01;	-1.68190e+00
9.40427e-02;	3.40098e+00;	5.32643e-01;	-8.12329e-01
1.21679e+00;	3.41752e-01;	4.56399e-01;	-6.21331e-01
-7.53859e-01;	-2.15666e+00;	8.71239e-01;	-2.72036e-01
2.68026e-01;	-8.05789e+00;	2.45856e+00;	-1.97151e-01
4.10938e-01;	3.67521e+00;	1.11403e+01;	8.31624e-01
2.44436e-03;	-2.48323e+00;	2.81809e-01;	5.60257e-01
4.05205e+00;	-7.51215e-01;	6.10784e+00;	-5.18208e+00
-3.22117e-01;	4.51713e-01;	-3.22170e+00;	3.90239e+00
4.02081e-01;	5.75764e-01;	3.49574e-01;	-2.79992e+00
-1.39894e+00;	7.16441e-02;	-7.05962e-02;	-1.55131e+01
-6.63183e+00;	3.72320e+00;	-4.36905e+00;	1.41084e+00
-4.99600e-02;	-7.49630e-01;	3.01330e+00;	-2.26419e-01
-9.06668e+00;	-2.51562e+00;	5.91161e-01;	-5.42360e-01
-2.71051e-01;	-3.92060e+00;	1.59432e+02;	-5.69763e-01
-6.99979e+00;	1.45152e+00;	1.47400e+01;	-2.82532e-01
-6.63426e-01;	-4.62628e-01;	-8.00486e+00;	-2.28574e+01
-1.64265e-01;	-1.86167e+00;	-2.03179e+00;	-2.06829e-01
1.37984e+01;	-1.11328e-01;	2.08226e-01;	1.16476e-01
-3.10300e+00;	-6.03697e-01;	4.12833e-01;	-1.13104e+01
-1.95547e+00;	1.56666e-01;	8.50771e-02;	-1.86550e+00
1.35849e+00;	-3.97920e-01;	-1.39899e+00;	2.24824e-01
-5.56528e-01;	-3.62102e+00;	2.12512e-01;	-4.07233e+00
1.76940e-02;	2.82266e+00;	-1.31821e+00;	3.18125e+00
1.26443e+00;	8.10468e-01;	-1.86918e+00;	-3.35978e-01
-1.05483e+01;	4.88906e+00;	-5.48930e-01;	8.70139e-01
-3.68336e-01;	-8.25692e+00;	-5.45855e+00;	-8.31869e+00
4.76853e-01;	3.58526e-01;	-1.40042e+00;	-8.86252e-01
-3.16765e+00;	-1.35223e+00;	-4.98171e-02;	-3.89722e+00
1.70523e+00;	-2.37483e+00;	5.94414e-01;	4.48685e-01
-8.11353e-02;	-9.82761e-02;	-3.13253e+00;	5.96968e-02
-1.98842e+01;	-1.87282e+00;	-1.67377e+00;	1.36597e+00
8.22562e-01;	5.03891e-01;	7.44610e+00;	1.09094e+00
-3.43880e-01;	3.51204e-02;	-9.69594e-02;	1.38366e+00
3.54033e-01;	2.94629e-01;	5.08381e-02;	4.55993e-01
1.50248e-01;	-8.47129e-01;	-5.76316e-01;	1.23466e+00
-9.19379e+00;	-1.20257e+00;	-7.35380e-01;	5.26834e-01
1.62130e+01;	1.23830e+00;	1.47287e-01;	1.82019e+00
-1.47678e+00;	4.19695e-01;	-1.43260e-01;	-2.59353e+00
-6.08808e-01;	-1.18942e+00;	-3.97637e-01;	7.88263e-01
-4.34320e-01;	-1.62374e-01;	-6.36489e-01;	-7.53165e-01
-3.57089e-01;	2.75459e+00;	-5.43405e-03;	8.90015e-01
1.53745e+00;	1.06718e+00;	2.74630e-01;	1.10429e+00
9.22199e-01;	-9.75843e-01;	3.92735e+00;	1.27745e+00
1.03559e+00;	2.83688e+00;	-6.34262e-01;	-2.80073e+01
-5.85214e+00;	-4.79139e-01;	6.15197e-01;	-1.40895e-01
2.46191e+00;	-3.01959e-01;	-8.00445e-01;	-2.14584e-01
1.05253e-01;	-3.44828e+01;	-4.02899e-01;	-1.30521e-01
-2.17741e-01;	-2.56417e-01;	-6.02505e-01;	-2.11197e-01
-1.95086e+01;	2.22142e+00;	-2.13319e+00;	-2.98050e-01
-2.39050e+00;	1.92306e-01;	-4.35740e+00;	2.03174e-01
5.74927e-01;	8.85280e-02;	-3.74948e-01;	-4.67231e-02
8.51047e-01;	1.52639e+00;	-1.25074e-01;	3.50779e-01
-9.24469e-01;	2.49215e+00;	-1.65732e+00;	-7.29682e-01
-1.49067e-01;	-4.86373e-01;	-7.62602e+00;	-7.83285e+00
-5.99779e-01;	-2.10223e+00;	-2.04605e-01;	1.61869e+00
-1.57312e+00;	-1.17471e+00;	1.32792e-02;	-6.25295e+00
-1.03683e+01;	-6.32855e+01;	2.27328e+00;	5.00551e-02
