Uniform_N=1;	Uniform_N=2;	Uniform_N=10;	Uniform_N=100
1.22649e-01;	4.49784e-01;	5.71676e-01;	4.68197e-01
8.56702e-01;	3.17956e-01;	5.32460e-01;	4.85344e-01
1.68090e-02;	2.73672e-01;	3.47158e-01;	5.04276e-01
5.93749e-01;	1.89670e-01;	5.75555e-01;	5.36341e-01
9.07819e-01;	2.37611e-01;	5.40018e-01;	4.88617e-01
7.57239e-02;	5.25443e-01;	4.41445e-01;	5.16863e-01
1.66787e-01;	6.26512e-01;	4.81851e-01;	4.76649e-01
9.01693e-01;	4.61665e-01;	6.28420e-01;	5.54935e-01
2.37409e-01;	4.57021e-01;	4.70688e-01;	5.41509e-01
3.10255e-01;	4.45949e-01;	3.58979e-01;	4.94089e-01
6.96479e-01;	6.80448e-01;	6.36985e-01;	5.34713e-01
8.15426e-01;	4.24307e-01;	5.19314e-01;	5.20812e-01
6.07700e-01;	7.20442e-02;	4.84250e-01;	4.78240e-01
1.57235e-01;	5.67802e-01;	5.51245e-01;	5.60906e-01
9.27150e-01;	8.85436e-01;	3.70293e-01;	5.09280e-01
1.62102e-02;	5.66051e-01;	6.43253e-01;	4.61670e-01
2.14987e-01;	6.98049e-01;	5.40444e-01;	4.98535e-01
5.01902e-01;	3.17913e-01;	5.28509e-01;	4.82873e-01
6.95842e-01;	5.08926e-01;	3.86208e-01;	4.88299e-01
9.88832e-03;	2.20532e-01;	4.02695e-01;	5.09267e-01
2.38043e-01;	5.48617e-01;	4.15528e-01;	4.80898e-01
3.14714e-01;	5.24338e-01;	6.50553e-01;	5.33784e-01
6.09392e-01;	5.41545e-01;	6.12876e-01;	5.13305e-01
2.10986e-02;	7.41073e-01;	3.90729e-01;	5.49941e-01
8.52984e-01;	5.07534e-01;	3.37573e-01;	5.29090e-01
1.42398e-01;	8.50029e-01;	5.44250e-01;	4.97318e-01
1.31110e-01;	4.15661e-01;	5.29648e-01;	5.21630e-01
2.87594e-01;	5.05506e-01;	4.60257e-01;	4.40327e-01
5.29847e-01;	8.84314e-01;	6.27029e-01;	5.21383e-01
7.81030e-01;	5.90448e-01;	5.82020e-01;	4.64817e-01
2.94383e-01;	2.11658e-01;	6.37862e-01;	4.78605e-01
5.83356e-01;	3.72490e-01;	5.20294e-01;	4.97697e-01
6.24109e-01;	8.33037e-01;	4.73780e-01;	5.35618e-01
5.00778e-01;	1.95167e-01;	5.68155e-01;	4.80893e-01
9.22984e-01;	3.18864e-01;	6.86646e-01;	4.68912e-01
4.00808e-01;	6.05472e-01;	3.55081e-01;	5.08246e-01
6.21690e-01;	6.62095e-01;	5.63007e-01;	5.00548e-01
1.97545e-01;	5.21282e-01;	5.05126e-01;	5.06429e-01
4.76384e-02;	8.45555e-01;	3.87372e-01;	4.92744e-01
4.84110e-01;	3.10932e-01;	5.13873e-01;	4.85040e-01
3.49663e-02;	2.70207e-01;	5.92677e-01;	4.96580e-01
4.15746e-01;	4.86753e-01;	5.02352e-01;	4.72445e-01
4.51686e-02;	7.75228e-01;	5.83889e-01;	5.16129e-01
3.13548e-01;	4.04265e-01;	4.26097e-01;	5.12804e-01
4.48176e-01;	2.07987e-01;	5.20327e-01;	5.03727e-01
9.76972e-01;	4.83974e-01;	3.71191e-01;	4.84760e-01
9.92363e-02;	3.46635e-01;	5.61795e-01;	5.13380e-01
1.50470e-01;	5.08021e-01;	5.02546e-01;	4.79443e-01
7.98015e-01;	4.42940e-01;	3.13286e-01;	5.20523e-01
3.38349e-01;	3.45107e-01;	5.35470e-01;	4.92152e-01
5.05632e-01;	8.57873e-01;	4.12430e-01;	4.93862e-01
7.87003e-01;	6.78813e-01;	4.20456e-01;	4.61847e-01
3.00864e-02;	9.20140e-01;	3.94461e-01;	5.36425e-01
3.87663e-01;	2.15494e-01;	3.77451e-01;	4.51372e-01
6.41635e-01;	5.87315e-01;	4.12014e-01;	5.57937e-01
9.73359e-02;	3.14532e-01;	4.78244e-01;	5.01215e-01
8.31174e-01;	1.44644e-01;	5.77626e-01;	5.36317e-01
4.74230e-01;	4.71810e-01;	4.23014e-01;	5.09701e-01
1.59947e-02;	3.76372e-01;	4.92078e-01;	5.43582e-01
7.19108e-01;	5.63167e-01;	5.51369e-01;	5.13581e-01
3.94572e-01;	5.10906e-01;	4.36657e-01;	5.35521e-01
6.08309e-01;	5.87070e-01;	5.22833e-01;	5.66145e-01
5.47470e-01;	2.83162e-01;	4.85072e-01;	5.23712e-01
3.44867e-02;	2.76885e-01;	3.78728e-01;	5.34519e-01
9.80392e-01;	7.77838e-01;	5.79663e-01;	4.66781e-01
1.89466e-01;	5.52202e-01;	4.71658e-01;	4.79878e-01
3.25926e-01;	3.07112e-01;	5.12424e-01;	5.45230e-01
3.69576e-01;	4.55881e-01;	5.41340e-01;	4.50877e-01
3.90827e-01;	8.06588e-01;	4.91375e-01;	5.38407e-01
8.16438e-01;	7.58176e-01;	5.76337e-01;	5.30404e-01
7.37124e-01;	2.79580e-01;	6.87440e-01;	5.17090e-01
7.55564e-01;	8.19072e-01;	4.31201e-01;	5.61895e-01
5.38717e-02;	3.75416e-01;	5.17744e-01;	4.89626e-01
8.77187e-01;	4.55621e-01;	3.73156e-01;	5.17152e-01
5.33380e-01;	4.54659e-01;	4.40848e-01;	4.81834e-01
4.31756e-01;	4.23833e-01;	4.05255e-01;	5.10001e-01
1.63021e-02;	5.58114e-01;	3.10372e-01;	5.01756e-01
1.26115e-01;	5.60086e-01;	3.32228e-01;	4.83179e-01
