Number_block;	pigreco;	error
0;	3.14237;	0
1;	3.14281;	0.000441514
2;	3.14306;	0.000357124
3;	3.1428;	0.000364785
4;	3.14255;	0.000376179
5;	3.14235;	0.000366992
6;	3.14223;	0.000333906
7;	3.14207;	0.000326655
8;	3.142;	0.000298185
9;	3.14195;	0.000270242
10;	3.14193;	0.000245453
11;	3.14193;	0.000224074
12;	3.14192;	0.000206203
13;	3.14188;	0.000196288
14;	3.14185;	0.000184211
15;	3.14185;	0.000172478
16;	3.14184;	0.000162254
17;	3.14184;	0.000152992
18;	3.14183;	0.000144968
19;	3.14181;	0.000138407
20;	3.1418;	0.00013237
21;	3.14178;	0.00012736
22;	3.14177;	0.000122402
23;	3.14176;	0.000117827
24;	3.14174;	0.000114792
25;	3.14172;	0.000111597
26;	3.1417;	0.000108238
27;	3.14169;	0.000105108
28;	3.14168;	0.000102158
29;	3.14167;	9.97203e-05
30;	3.14166;	9.69586e-05
31;	3.14165;	9.4192e-05
32;	3.14164;	9.13465e-05
33;	3.14164;	8.86287e-05
34;	3.14165;	8.6084e-05
35;	3.14165;	8.36912e-05
36;	3.14165;	8.14005e-05
37;	3.14165;	7.9255e-05
38;	3.14164;	7.72385e-05
39;	3.14164;	7.54468e-05
40;	3.14163;	7.37473e-05
41;	3.14163;	7.20464e-05
42;	3.14163;	7.04263e-05
43;	3.14162;	6.88256e-05
44;	3.14163;	6.72822e-05
45;	3.14162;	6.58055e-05
46;	3.14163;	6.43984e-05
47;	3.14163;	6.30446e-05
48;	3.14163;	6.17461e-05
49;	3.14163;	6.05277e-05
50;	3.14163;	5.93511e-05
51;	3.14163;	5.82672e-05
52;	3.14164;	5.7197e-05
53;	3.14164;	5.61286e-05
54;	3.14164;	5.50996e-05
55;	3.14164;	5.41081e-05
56;	3.14164;	5.31577e-05
57;	3.14164;	5.22332e-05
58;	3.14164;	5.13423e-05
59;	3.14164;	5.04806e-05
60;	3.14164;	4.96511e-05
61;	3.14164;	4.88781e-05
62;	3.14164;	4.81052e-05
63;	3.14164;	4.73509e-05
64;	3.14164;	4.66188e-05
65;	3.14164;	4.59072e-05
66;	3.14164;	4.52168e-05
67;	3.14164;	4.4547e-05
68;	3.14164;	4.38981e-05
69;	3.14164;	4.32671e-05
70;	3.14164;	4.26612e-05
71;	3.14164;	4.20907e-05
72;	3.14164;	4.15313e-05
73;	3.14164;	4.09786e-05
74;	3.14163;	4.04554e-05
75;	3.14163;	3.99861e-05
76;	3.14163;	3.9515e-05
77;	3.14163;	3.90297e-05
78;	3.14163;	3.85491e-05
79;	3.14163;	3.80837e-05
80;	3.14162;	3.76894e-05
81;	3.14162;	3.72797e-05
82;	3.14162;	3.69343e-05
83;	3.14162;	3.66093e-05
84;	3.14161;	3.62756e-05
85;	3.14161;	3.59661e-05
86;	3.14161;	3.56798e-05
87;	3.14161;	3.53887e-05
88;	3.1416;	3.50602e-05
89;	3.1416;	3.47032e-05
90;	3.1416;	3.43278e-05
91;	3.1416;	3.39576e-05
92;	3.1416;	3.35921e-05
93;	3.1416;	3.32331e-05
94;	3.1416;	3.28815e-05
95;	3.1416;	3.25375e-05
96;	3.1416;	3.22031e-05
97;	3.1416;	3.1873e-05
98;	3.1416;	3.15494e-05
99;	3.1416;	3.12355e-05
