Number_of_throws;	chi2
1;	1.1312000000e+02
2;	9.6470000000e+01
3;	8.5700000000e+01
4;	1.2307000000e+02
5;	9.1390000000e+01
6;	9.0930000000e+01
7;	8.6150000000e+01
8;	8.8580000000e+01
9;	7.9330000000e+01
10;	9.9420000000e+01
11;	9.0190000000e+01
12;	1.0241000000e+02
13;	6.8020000000e+01
14;	8.0220000000e+01
15;	1.0431000000e+02
16;	9.1590000000e+01
17;	8.5500000000e+01
18;	8.5810000000e+01
19;	8.2530000000e+01
20;	1.0091000000e+02
21;	9.1750000000e+01
22;	1.0071000000e+02
23;	9.9550000000e+01
24;	9.5480000000e+01
25;	1.0828000000e+02
26;	9.8990000000e+01
27;	9.2360000000e+01
28;	1.0493000000e+02
29;	7.9380000000e+01
30;	1.0612000000e+02
31;	1.0861000000e+02
32;	1.0080000000e+02
33;	1.0174000000e+02
34;	9.9630000000e+01
35;	1.1998000000e+02
36;	1.0756000000e+02
37;	9.0900000000e+01
38;	1.0292000000e+02
39;	1.0528000000e+02
40;	9.9080000000e+01
41;	1.1445000000e+02
42;	9.7010000000e+01
43;	8.8640000000e+01
44;	9.2540000000e+01
45;	1.0134000000e+02
46;	9.9090000000e+01
47;	1.1899000000e+02
48;	8.8020000000e+01
49;	1.0885000000e+02
50;	1.2721000000e+02
51;	8.6630000000e+01
52;	7.9990000000e+01
53;	1.0331000000e+02
54;	9.9890000000e+01
55;	9.4020000000e+01
56;	1.3120000000e+02
57;	1.0739000000e+02
58;	1.1611000000e+02
59;	1.1652000000e+02
60;	8.6200000000e+01
61;	1.0816000000e+02
62;	1.2839000000e+02
63;	1.0054000000e+02
64;	1.2068000000e+02
65;	1.0056000000e+02
66;	1.0295000000e+02
67;	9.7010000000e+01
68;	8.9840000000e+01
69;	1.0194000000e+02
70;	1.0945000000e+02
71;	1.0702000000e+02
72;	9.8770000000e+01
73;	1.2359000000e+02
74;	1.0570000000e+02
75;	8.8060000000e+01
76;	8.6820000000e+01
77;	1.0034000000e+02
78;	1.1877000000e+02
79;	9.9360000000e+01
80;	1.2385000000e+02
81;	8.9460000000e+01
82;	8.6300000000e+01
83;	1.0513000000e+02
84;	9.4220000000e+01
85;	1.2046000000e+02
86;	1.0676000000e+02
87;	1.0971000000e+02
88;	8.3360000000e+01
89;	9.9370000000e+01
90;	9.5090000000e+01
91;	9.2360000000e+01
