Generation;	Mean Loss;	Best Loss
0;40.208;32.0241
10;20.5206;19.318
20;14.8173;13.7965
30;14.6372;11.9461
40;11.9174;11.4485
50;12.9288;10.9309
60;11.5508;10.783
70;8.88639;7.73162
80;8.23061;7.40592
90;7.49886;6.5952
100;6.94588;6.34062
110;7.61729;6.34062
120;7.17731;6.30792
130;7.62609;6.30792
140;7.1612;6.30792
150;7.83648;6.22525
160;7.12525;6.22525
170;7.26082;6.22525
180;7.09048;6.22525
190;7.31834;6.22525
200;7.60967;6.22525
210;7.64447;6.22525
220;7.68749;6.22525
230;7.31761;6.22525
240;7.32457;6.22525
250;6.79186;6.22525
260;7.29635;6.22525
270;7.53819;6.22525
280;7.06183;6.22525
290;8.10528;6.22525
300;7.569;6.22525
310;7.89073;6.22525
320;7.40674;6.22525
330;7.49505;6.22525
340;7.55047;6.22525
350;7.08507;6.22525
360;6.98582;6.22525
370;7.67786;6.22525
380;7.44874;6.22525
390;8.20783;6.22525
400;7.78051;6.22525
410;8.31216;6.22525
420;7.68842;6.22525
430;7.5509;6.22525
440;7.46448;6.22525
450;7.51025;6.22525
460;7.18158;6.22525
470;7.79501;6.22525
480;7.49704;6.22525
490;7.80754;6.22525
