Generation;	Mean Loss;	Best Loss
0;451.512;422.271
50;180.028;173.334
100;145.307;136.54
150;125.342;120.267
200;118.256;111.383
250;112.994;104.316
300;103.916;93.362
350;99.9539;89.1895
400;99.9592;88.5574
450;97.9482;86.6812
500;89.8935;83.2646
550;91.5853;81.8355
600;93.2292;81.5323
650;90.4199;81.0446
700;89.847;81.0369
750;90.5052;80.0774
800;88.9894;79.0752
850;89.8641;78.9311
900;89.109;78.9101
950;88.5446;78.9101
1000;91.0128;78.7713
1050;90.179;78.3724
1100;84.0179;78.1052
1150;88.2099;78.1052
1200;86.6162;78.1052
1250;90.4783;78.1052
1300;87.917;78.1052
1350;89.5994;77.8659
1400;89.2418;77.8659
1450;84.6654;77.6156
1500;91.4241;77.6156
