Generation;	Mean Loss;	Best Loss
0;35.1339;30.1456
10;19.5791;18.9849
20;16.3551;15.329
30;14.3634;13.737
40;13.4999;13.0027
50;14.1618;12.6049
60;12.7354;11.9895
70;12.2606;11.4512
80;11.7389;11.4016
90;12.3476;11.4016
100;12.2162;11.4016
110;11.507;11.2406
120;11.7506;11.2406
130;11.8395;11.2406
140;12.1424;11.2105
150;11.0684;10.5917
160;11.2545;10.5264
170;10.7772;10.3679
180;11.8222;10.3602
190;10.9446;10.3602
200;11.0076;10.2544
210;10.8503;10.2544
220;11.1166;10.2544
230;10.8037;10.2544
240;11.7511;10.2544
250;11.7971;10.2544
260;11.3263;10.2544
270;11.0154;10.2544
280;11.5582;10.2544
290;11.2048;10.2544
300;11.1593;10.2544
310;11.1095;10.2544
320;11.1254;10.2544
330;11.2553;10.2544
340;11.0199;10.2544
350;11.2193;10.2544
360;11.7983;10.2544
370;11.2946;10.2544
380;10.9469;10.2544
390;11.0786;10.2544
400;11.2424;10.2544
410;10.7032;10.2544
420;11.0152;10.2544
430;11.2783;10.2544
440;10.6512;10.2544
450;11.464;10.2544
460;11.1898;10.2544
470;11.0366;10.2544
480;10.8277;10.2544
490;10.7855;10.2544
