throws;	uniform_Integral_value;	error;	MCLaurin_Integral_value;	error
1;	9.9471827109e-01;	0.0000000000e+00;	1.0009360472e+00;	0.0000000000e+00
2;	1.0005796034e+00;	5.8613323046e-03;	1.0008329619e+00;	1.0308532847e-04
3;	9.9864564452e-01;	3.8976833780e-03;	1.0016240127e+00;	7.9328658728e-04
4;	9.9713518574e-01;	3.1428416431e-03;	1.0012085297e+00;	6.9805295306e-04
5;	9.9734354364e-01;	2.4433348463e-03;	1.0007727338e+00;	6.9446729314e-04
6;	9.9769084456e-01;	2.0249793533e-03;	1.0004163696e+00;	6.6971539199e-04
7;	9.9739885207e-01;	1.7361502665e-03;	1.0004635586e+00;	5.6797650292e-04
8;	9.9829945400e-01;	1.7526400542e-03;	1.0002397067e+00;	5.4042356849e-04
9;	9.9837009607e-01;	1.5472966686e-03;	1.0002433987e+00;	4.7662308771e-04
10;	9.9729808887e-01;	1.7505716249e-03;	1.0001627702e+00;	4.3386242768e-04
11;	9.9741564254e-01;	1.5878091438e-03;	1.0001919683e+00;	3.9352801429e-04
12;	9.9743432592e-01;	1.4495852164e-03;	1.0000456195e+00;	3.8790663341e-04
13;	9.9712857656e-01;	1.3680290437e-03;	1.0000633001e+00;	3.5725997434e-04
14;	9.9606495663e-01;	1.6539144997e-03;	1.0001582990e+00;	3.4413071953e-04
15;	9.9658033412e-01;	1.6236756765e-03;	1.0002540020e+00;	3.3435742139e-04
16;	9.9682693012e-01;	1.5386981359e-03;	1.0001821948e+00;	3.2089996445e-04
17;	9.9728959108e-01;	1.5175990518e-03;	1.0000975622e+00;	3.1308873848e-04
18;	9.9771476249e-01;	1.4926408982e-03;	1.0001541560e+00;	3.0055913978e-04
19;	9.9751420130e-01;	1.4260707433e-03;	1.0001385744e+00;	2.8472715224e-04
20;	9.9731555146e-01;	1.3673959724e-03;	1.0001159796e+00;	2.7105925277e-04
21;	9.9708886129e-01;	1.3202600815e-03;	1.0000991361e+00;	2.5837837181e-04
22;	9.9719272724e-01;	1.2630963520e-03;	9.9998403633e-01;	2.7191599152e-04
23;	9.9698120501e-01;	1.2253254821e-03;	9.9999605146e-01;	2.6010238733e-04
24;	9.9749569447e-01;	1.2810165493e-03;	9.9989400262e-01;	2.6912719429e-04
25;	9.9760041077e-01;	1.2331620451e-03;	9.9990587724e-01;	2.5841071467e-04
26;	9.9784209526e-01;	1.2091831847e-03;	9.9991362042e-01;	2.4839370251e-04
27;	9.9810986380e-01;	1.1939507892e-03;	9.9988945266e-01;	2.4023568383e-04
28;	9.9800415317e-01;	1.1553659486e-03;	9.9991971235e-01;	2.3346619060e-04
29;	9.9813235241e-01;	1.1221610789e-03;	9.9993647631e-01;	2.2589472344e-04
30;	9.9839669940e-01;	1.1158741511e-03;	9.9999859925e-01;	2.2690480548e-04
31;	9.9886265090e-01;	1.1755645620e-03;	1.0000255581e+00;	2.2111288228e-04
32;	9.9908211332e-01;	1.1591996328e-03;	1.0000210030e+00;	2.1414008119e-04
33;	9.9918393957e-01;	1.1281282541e-03;	1.0000080769e+00;	2.0795169522e-04
34;	9.9908546748e-01;	1.0988662211e-03;	9.9999665126e-01;	2.0206606216e-04
35;	9.9916839495e-01;	1.0702259292e-03;	1.0000486337e+00;	2.0297706168e-04
36;	9.9892692676e-01;	1.0677349898e-03;	1.0000090226e+00;	2.0119606837e-04
37;	9.9887569896e-01;	1.0397391687e-03;	1.0000145448e+00;	1.9576070113e-04
38;	9.9880959604e-01;	1.0141643703e-03;	9.9999464483e-01;	1.9157583176e-04
39;	9.9892411007e-01;	9.9443337475e-04;	9.9999626735e-01;	1.8660603943e-04
40;	9.9893529196e-01;	9.6931825772e-04;	9.9997395019e-01;	1.8324513263e-04
41;	9.9904382606e-01;	9.5159049326e-04;	9.9996917296e-01;	1.7878370004e-04
