Numero_Lanci;Valore_Integrale
99;1.07299
199;0.985318
299;1.03606
399;1.0014
499;1.00468
599;1.01035
699;1.00733
799;1.00711
899;0.997102
999;0.989967
1099;0.991408
1199;0.986961
1299;0.986746
1399;0.98688
1499;0.989748
1599;0.983993
1699;0.984497
1799;0.986285
1899;0.986301
1999;0.989086
2099;0.9911
2199;0.992587
2299;0.994038
2399;0.99335
2499;0.991456
2599;0.991337
2699;0.989446
2799;0.98901
2899;0.988331
2999;0.988185
3099;0.9894
3199;0.990427
3299;0.988049
3399;0.990232
3499;0.991455
3599;0.991834
3699;0.990351
3799;0.990838
3899;0.991133
3999;0.992353
4099;0.99252
4199;0.992518
4299;0.992753
4399;0.993717
4499;0.994086
4599;0.994395
4699;0.994947
4799;0.995093
4899;0.994466
4999;0.994907
5099;0.99467
5199;0.995493
5299;0.994859
5399;0.995722
5499;0.996388
5599;0.996565
5699;0.995469
5799;0.996569
5899;0.99731
5999;0.996772
6099;0.998391
6199;0.997003
6299;0.996922
6399;0.996971
6499;0.996371
6599;0.996378
6699;0.994529
6799;0.994734
6899;0.994095
6999;0.992337
7099;0.99211
7199;0.992021
7299;0.991711
7399;0.993235
7499;0.993382
7599;0.992705
7699;0.993883
7799;0.993169
7899;0.992395
7999;0.992137
8099;0.990966
8199;0.9905
8299;0.990875
8399;0.991035
8499;0.992205
8599;0.992206
8699;0.992534
8799;0.993529
8899;0.994174
8999;0.993887
9099;0.995321
9199;0.996101
9299;0.996574
9399;0.996623
9499;0.997358
9599;0.997685
9699;0.997599
9799;0.998048
9899;0.998477
9999;0.998038
10099;0.998093
10199;0.999006
10299;0.998743
10399;0.999166
10499;0.99968
10599;1.00009
10699;0.999893
10799;0.999765
10899;0.99974
10999;0.999626
11099;0.999789
11199;0.999433
11299;0.999486
11399;0.999624
11499;0.999906
11599;0.99974
11699;0.999992
11799;0.999368
11899;0.999121
11999;0.9993
12099;0.9989
12199;0.999105
12299;0.999211
12399;0.999143
12499;0.999071
12599;0.999555
12699;0.999878
12799;1.00014
12899;0.999469
12999;0.998567
13099;0.998626
13199;0.998741
13299;0.998299
13399;0.998779
13499;0.998744
13599;0.998969
13699;0.998882
13799;0.998486
13899;0.998944
13999;0.999016
14099;0.999455
14199;0.999321
14299;0.99921
14399;1.00002
14499;0.999367
14599;0.999689
14699;0.999369
14799;0.999101
14899;0.999098
14999;0.999007
15099;0.998804
15199;0.998555
15299;0.9981
15399;0.997317
15499;0.996992
15599;0.99677
15699;0.996078
15799;0.995834
15899;0.995677
15999;0.995715
16099;0.995741
16199;0.995593
16299;0.995531
16399;0.995383
16499;0.995505
16599;0.995766
16699;0.995805
16799;0.995852
16899;0.995951
16999;0.996077
17099;0.995982
17199;0.995983
17299;0.99546
17399;0.995682
17499;0.995623
17599;0.995956
17699;0.995959
17799;0.99582
17899;0.995815
17999;0.995969
18099;0.996157
18199;0.996427
18299;0.995814
18399;0.995785
18499;0.995746
18599;0.995807
18699;0.996066
18799;0.995558
18899;0.995299
18999;0.995158
19099;0.995616
19199;0.995853
19299;0.996167
19399;0.99621
19499;0.996109
19599;0.995666
19699;0.995724
19799;0.995675
19899;0.995438
19999;0.995601
20099;0.995776
20199;0.995602
20299;0.995364
20399;0.9956
20499;0.995893
20599;0.995955
20699;0.995946
20799;0.995894
20899;0.995865
20999;0.995942
21099;0.995945
21199;0.99554
21299;0.99559
21399;0.995452
21499;0.995529
21599;0.995422
21699;0.995299
21799;0.995606
21899;0.995539
21999;0.995614
22099;0.995635
22199;0.995627
22299;0.995717
22399;0.99541
22499;0.995591
22599;0.995871
22699;0.995819
22799;0.995996
22899;0.996497
22999;0.996676
23099;0.996391
23199;0.99631
23299;0.996483
23399;0.996629
23499;0.996457
23599;0.996776
23699;0.996883
23799;0.997158
23899;0.997549
23999;0.99749
24099;0.997619
24199;0.997307
24299;0.997486
24399;0.99771
24499;0.997976
24599;0.997494
24699;0.997378
24799;0.997251
24899;0.997436
24999;0.997328
25099;0.997644
25199;0.997463
25299;0.997721
25399;0.997656
25499;0.997845
25599;0.998192
25699;0.998459
25799;0.998649
25899;0.998524
25999;0.998737
26099;0.998827
26199;0.998888
26299;0.998882
26399;0.99895
26499;0.999152
26599;0.999335
26699;0.999225
26799;0.999147
26899;0.9991
26999;0.998988
27099;0.998866
