#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.89635     1.89635           0
           2     1.90041     1.89838  0.00143488
           3     1.87388     1.89022  0.00673758
           4     1.83363     1.87607   0.0132528
           5     1.84787     1.87043   0.0117412
           6     1.84153     1.86561   0.0107265
           7     1.84401     1.86253  0.00962775
           8     1.82544     1.85789  0.00947467
           9     1.83238     1.85506  0.00883572
          10     1.86451       1.856  0.00800258
          11     1.84324     1.85484  0.00735869
          12     1.80853     1.85098  0.00769108
          13     1.77833     1.84539  0.00890139
          14     1.76668     1.83977  0.00988287
          15     1.75993     1.83445   0.0105607
          16     1.74241      1.8287   0.0113599
          17     1.76869     1.82517   0.0112267
          18     1.81313      1.8245   0.0106229
          19     1.82828      1.8247   0.0100656
          20     1.82027     1.82448   0.0095648
          21     1.82106     1.82431  0.00911072
          22     1.78237     1.82241  0.00889383
          23     1.77092     1.82017  0.00878432
          24     1.77448     1.81826  0.00862213
          25     1.76295     1.81605   0.0085564
          26     1.73624     1.81298  0.00876066
          27     1.74435     1.81044   0.0087972
          28     1.77253     1.80909  0.00858658
          29     1.77808     1.80802  0.00835679
          30     1.79258      1.8075  0.00809405
          31     1.80703     1.80749  0.00783296
          32     1.81904     1.80785  0.00759649
          33     1.82018     1.80822  0.00737548
          34     1.80989     1.80827  0.00715872
          35     1.83363       1.809  0.00699074
          36      1.8472     1.81006  0.00687663
          37     1.87259     1.81175  0.00689534
          38     1.88138     1.81358  0.00695312
          39      1.8701     1.81503  0.00692422
          40     1.85324     1.81598  0.00681668
          41     1.83183     1.81637  0.00666136
          42     1.83873      1.8169    0.006524
          43     1.83336     1.81729   0.0063835
          44     1.84097     1.81782  0.00626107
          45     1.85929     1.81875  0.00618937
          46     1.89325     1.82036  0.00626315
          47     1.90102     1.82208  0.00636062
          48     1.88834     1.82346  0.00637615
          49     1.89736     1.82497   0.0064219
          50      1.9072     1.82661  0.00650066
          51     1.92587     1.82856  0.00665815
          52     1.92678     1.83045  0.00679275
          53     1.93088     1.83234  0.00692385
          54     1.93221     1.83419  0.00703829
          55     1.95841     1.83645  0.00726365
          56     1.92302       1.838   0.0072966
          57     1.91576     1.83936    0.007295
          58     1.87383     1.83996   0.0071934
          59     1.87015     1.84047  0.00708966
          60     1.89539     1.84138  0.00703035
          61      1.9288     1.84282  0.00705963
          62     1.91916     1.84405  0.00705234
          63     1.87348     1.84452  0.00695586
          64     1.83906     1.84443   0.0068477
          65     1.80888     1.84388  0.00676415
          66      1.7985      1.8432  0.00669653
          67     1.81554     1.84278  0.00660929
          68     1.81456     1.84237  0.00652511
          69     1.82225     1.84208  0.00643705
          70     1.81528     1.84169  0.00635647
          71     1.77358     1.84073  0.00633893
          72     1.78702     1.83999  0.00629464
          73     1.81596     1.83966  0.00621701
          74     1.80589      1.8392  0.00614972
          75     1.80446     1.83874  0.00608515
          76     1.80118     1.83824  0.00602511
          77     1.79969     1.83774  0.00596763
          78     1.79667     1.83722  0.00591431
          79     1.80141     1.83676  0.00585679
          80     1.80454     1.83636  0.00579742
          81     1.79296     1.83583  0.00575055
          82     1.85156     1.83602  0.00568363
          83     1.89938     1.83678  0.00566618
          84     1.86939     1.83717  0.00561201
          85     1.86836     1.83754  0.00555797
          86     1.90801     1.83836  0.00555343
          87     1.86904     1.83871  0.00550078
          88     1.84274     1.83875  0.00543846
          89     1.83218     1.83868  0.00537786
          90     1.82197     1.83849  0.00532131
          91     1.80971     1.83818  0.00527222
          92     1.84013      1.8382  0.00521496
          93      1.8642     1.83848  0.00516637
          94      1.8496      1.8386  0.00511277
          95     1.80361     1.83823  0.00507219
          96     1.79498     1.83778  0.00503932
          97     1.83377     1.83774  0.00498754
          98     1.86155     1.83798  0.00494256
          99     1.83041      1.8379  0.00489322
         100     1.83766      1.8379  0.00484429
         101      1.8519     1.83804  0.00479831
         102     1.84477     1.83811  0.00475172
         103     1.84362     1.83816  0.00470589
         104     1.84101     1.83819  0.00466072
         105     1.85064     1.83831  0.00461784
         106     1.85688     1.83848   0.0045776
         107     1.84625     1.83855   0.0045354
         108     1.86411     1.83879  0.00449957
         109     1.87604     1.83913  0.00447125
         110     1.83107     1.83906   0.0044312
         111     1.80174     1.83872  0.00440402
         112     1.77649     1.83817  0.00439961
         113     1.76951     1.83756  0.00440242
         114     1.79794     1.83721   0.0043775
         115     1.81006     1.83698   0.0043458
         116     1.81225     1.83676  0.00431356
         117     1.82118     1.83663  0.00427874
         118     1.83775     1.83664  0.00424249
         119     1.87139     1.83693  0.00421688
         120     1.83846     1.83694  0.00418176
         121     1.82092     1.83681  0.00414929
         122     1.81108      1.8366  0.00412064
         123     1.80622     1.83635  0.00409454
         124      1.8017     1.83607  0.00407104
         125     1.80038     1.83579  0.00404847
         126      1.7981     1.83549  0.00402738
         127     1.78233     1.83507  0.00401736
         128     1.78665     1.83469  0.00400375
         129     1.81745     1.83456  0.00397494
         130     1.80041      1.8343  0.00395304
         131     1.78248      1.8339   0.0039426
         132     1.75265     1.83328  0.00396049
         133     1.72666     1.83248  0.00401103
         134     1.74883     1.83186  0.00402938
         135     1.75978     1.83132  0.00403475
         136     1.78271     1.83097  0.00402089
         137     1.80889     1.83081  0.00399477
         138     1.81493     1.83069  0.00396747
         139     1.81164     1.83055   0.0039413
         140     1.77784     1.83018  0.00393109
         141     1.75417     1.82964  0.00393999
         142     1.78314     1.82931  0.00392583
         143      1.7678     1.82888  0.00392187
         144     1.77149     1.82848  0.00391483
         145     1.79741     1.82827  0.00389369
         146     1.79987     1.82807  0.00387188
         147     1.78858     1.82781  0.00385485
         148     1.78669     1.82753   0.0038388
         149     1.78636     1.82725  0.00382297
         150      1.7961     1.82704  0.00380312
         151     1.78266     1.82675  0.00378928
         152     1.76336     1.82633  0.00378723
         153     1.78899     1.82609  0.00377033
         154     1.80888     1.82598   0.0037475
         155     1.83986     1.82607   0.0037244
         156     1.83237     1.82611  0.00370074
         157     1.78767     1.82586  0.00368526
         158      1.7825     1.82559  0.00367214
         159     1.79846     1.82542    0.003653
         160     1.77023     1.82507  0.00364642
         161     1.73942     1.82454  0.00366237
         162     1.74721     1.82406  0.00367074
