#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.504507   -0.504507           0
           2   -0.508667   -0.506587  0.00147074
           3   -0.482045   -0.498406  0.00675096
           4   -0.441984   -0.484301   0.0132235
           5   -0.456178   -0.478676   0.0117141
           6   -0.449998   -0.473897   0.0106925
           7   -0.452378   -0.470822  0.00959676
           8   -0.433841     -0.4662  0.00944511
           9   -0.440865   -0.463385  0.00880516
          10   -0.472978   -0.464344  0.00797674
          11   -0.451639   -0.463189  0.00733473
          12    -0.41685   -0.459327  0.00767299
          13   -0.386655   -0.453737  0.00888885
          14   -0.375013   -0.448114  0.00987364
          15    -0.36821   -0.442787    0.010555
          16   -0.350667    -0.43703   0.0113576
          17   -0.377078   -0.433503   0.0112236
          18   -0.421511   -0.432837   0.0106199
          19   -0.436613   -0.433036   0.0100628
          20   -0.428657   -0.432817  0.00956203
          21   -0.429387   -0.432653  0.00910809
          22   -0.390486   -0.430737  0.00889347
          23   -0.379287     -0.4285  0.00878362
          24   -0.382711   -0.426592  0.00862235
          25   -0.371107   -0.424372  0.00855833
          26   -0.344488     -0.4213  0.00876333
          27   -0.352572   -0.418754   0.0088007
          28   -0.380877   -0.417402  0.00858972
          29   -0.386347   -0.416331  0.00836001
          30     -0.4009   -0.415816  0.00809715
          31   -0.415298     -0.4158  0.00783597
          32   -0.427255   -0.416158  0.00759927
          33    -0.42841   -0.416529  0.00737805
          34    -0.41815   -0.416577   0.0071612
          35   -0.441876     -0.4173  0.00699298
          36   -0.455572   -0.418363  0.00687907
          37   -0.480767   -0.420049  0.00689681
          38   -0.489502   -0.421877  0.00695328
          39   -0.478227   -0.423322  0.00692349
          40    -0.46128   -0.424271  0.00681512
          41   -0.439953   -0.424653  0.00665963
          42   -0.446915   -0.425183  0.00652212
          43    -0.44165   -0.425566  0.00638168
          44   -0.449255   -0.426105  0.00625931
          45   -0.467647   -0.427028  0.00618792
          46   -0.501628    -0.42865  0.00626231
          47    -0.50955   -0.430371  0.00636123
          48    -0.49681   -0.431755  0.00637752
          49   -0.505852   -0.433267  0.00642414
          50   -0.516103   -0.434924  0.00650578
          51   -0.534572   -0.436878  0.00666516
          52   -0.535427   -0.438773  0.00680109
          53   -0.539527   -0.440674  0.00693336
          54   -0.540699   -0.442526  0.00704806
          55   -0.566862   -0.444787  0.00727343
          56   -0.531364   -0.446333  0.00730601
          57   -0.524005   -0.447696   0.0073038
          58   -0.482235   -0.448291  0.00720211
          59   -0.478566   -0.448804   0.0070983
          60   -0.503877   -0.449722  0.00703909
          61   -0.537268   -0.451157  0.00706849
          62   -0.527417   -0.452387  0.00706069
          63   -0.481837   -0.452855  0.00696407
          64   -0.447408    -0.45277  0.00685577
          65   -0.417192   -0.452222  0.00677212
          66   -0.406793   -0.451534   0.0067044
          67   -0.423753   -0.451119  0.00661714
          68   -0.422742   -0.450702  0.00653298
          69   -0.430396   -0.450408  0.00644492
          70   -0.423291    -0.45002  0.00636448
          71   -0.381622   -0.449057  0.00634733
          72   -0.395229   -0.448309  0.00630305
          73   -0.424103   -0.447978  0.00622542
          74   -0.414083    -0.44752  0.00615812
          75   -0.412734   -0.447056  0.00609346
          76   -0.409439   -0.446561  0.00603335
          77   -0.408147   -0.446062  0.00597558
          78   -0.405115   -0.445537  0.00592199
          79   -0.409905   -0.445086  0.00586418
          80   -0.412938   -0.444684  0.00580463
          81   -0.401358   -0.444149  0.00575756
          82   -0.459958   -0.444342  0.00569057
          83   -0.507774   -0.445106  0.00567309
          84    -0.47756   -0.445493   0.0056187
          85   -0.476644   -0.445859  0.00556453
          86   -0.516253   -0.446678  0.00555971
          87   -0.477037   -0.447027  0.00550674
          88   -0.450865    -0.44707  0.00544434
          89   -0.440297   -0.446994   0.0053837
          90   -0.430162   -0.446807  0.00532713
          91   -0.417831   -0.446489   0.0052781
          92   -0.448335   -0.446509  0.00522076
          93   -0.472345   -0.446787  0.00517201
          94   -0.457626   -0.446902  0.00511828
          95   -0.411637   -0.446531  0.00507784
          96    -0.40296   -0.446077  0.00504519
          97   -0.442034   -0.446035  0.00499335
          98   -0.469508   -0.446275  0.00494814
          99   -0.438356   -0.446195   0.0048988
         100   -0.445797   -0.446191  0.00484982
         101   -0.460015   -0.446328  0.00480373
         102   -0.452873   -0.446392  0.00475706
         103   -0.451651   -0.446443  0.00471115
         104    -0.44929    -0.44647  0.00466593
         105   -0.458812   -0.446588  0.00462298
         106   -0.465009   -0.446762  0.00458263
         107   -0.454643   -0.446835  0.00454039
         108   -0.472367   -0.447072   0.0045045
         109   -0.484253   -0.447413  0.00447607
         110   -0.439092   -0.447337  0.00443602
         111   -0.409869      -0.447  0.00440888
         112   -0.384607   -0.446443  0.00440457
         113   -0.377814   -0.445835  0.00440726
         114   -0.406087   -0.445487  0.00438237
         115   -0.418156   -0.445249   0.0043507
         116   -0.420481   -0.445035  0.00431843
         117   -0.429311   -0.444901  0.00428362
         118   -0.445885   -0.444909  0.00424732
         119   -0.479604   -0.445201  0.00422163
         120   -0.446532   -0.445212  0.00418646
         121    -0.42909   -0.445079  0.00415398
         122   -0.419207   -0.444867  0.00412534
         123    -0.41437   -0.444619  0.00409925
         124   -0.409872   -0.444338  0.00407575
         125   -0.408544   -0.444052  0.00405319
         126   -0.406209   -0.443752  0.00403214
         127   -0.390476   -0.443332  0.00402215
         128   -0.394896   -0.442954  0.00400849
         129   -0.425529   -0.442819  0.00397969
         130   -0.408547   -0.442555   0.0039578
         131   -0.390647   -0.442159  0.00394737
         132   -0.360806   -0.441543  0.00396529
         133   -0.334806    -0.44074  0.00401587
         134   -0.357036   -0.440115  0.00403419
         135   -0.368032   -0.439581  0.00403949
         136   -0.391096   -0.439225  0.00402548
         137   -0.417213   -0.439064  0.00399931
         138   -0.423218   -0.438949  0.00397197
         139   -0.419933   -0.438813  0.00394575
         140    -0.38608   -0.438436  0.00393551
         141   -0.362346   -0.437896  0.00394442
         142   -0.391466   -0.437569  0.00393017
         143   -0.376124    -0.43714  0.00392611
         144   -0.379815   -0.436742  0.00391897
         145   -0.405662   -0.436527   0.0038978
         146   -0.407982   -0.436332  0.00387601
         147    -0.39663   -0.436062  0.00385904
         148   -0.394844   -0.435783    0.003843
         149   -0.394438   -0.435506  0.00382721
         150     -0.4042   -0.435297  0.00380738
         151    -0.39073   -0.435002  0.00379359
         152   -0.371647   -0.434585  0.00379146
         153   -0.397159    -0.43434  0.00377456
         154   -0.417114   -0.434229  0.00375171
         155   -0.448024   -0.434318  0.00372856
         156   -0.440516   -0.434357  0.00370487
         157   -0.395738   -0.434111  0.00368943
         158   -0.390764   -0.433837  0.00367627
         159   -0.406745   -0.433667  0.00365709
         160   -0.378418   -0.433321   0.0036505
         161   -0.347582   -0.432789  0.00366647
         162    -0.35561   -0.432312  0.00367465
         163   -0.397695     -0.4321  0.00365824
         164   -0.419089   -0.432021   0.0036368
         165   -0.388095   -0.431754  0.00362448
         166   -0.369006   -0.431376  0.00362231
         167   -0.381379   -0.431077  0.00361297
         168   -0.438441   -0.431121  0.00359173
         169   -0.487392   -0.431454  0.00358588
         170   -0.479507   -0.431736  0.00357591
         171   -0.439635   -0.431783  0.00355529
         172   -0.417766   -0.431701  0.00353556
         173   -0.381371    -0.43141  0.00352707
         174   -0.382616    -0.43113  0.00351793
         175   -0.393437   -0.430914  0.00350441
         176    -0.42473   -0.430879  0.00348468
         177   -0.429455   -0.430871    0.003465
         178   -0.436433   -0.430902  0.00344568
         179   -0.457185   -0.431049  0.00342955
         180   -0.432884    -0.43106  0.00341051
         181   -0.425018   -0.431026  0.00339184
         182    -0.40651   -0.430891  0.00337587
         183   -0.393755   -0.430688  0.00336352
         184   -0.368855   -0.430352  0.00336198
         185   -0.357206   -0.429957  0.00336698
         186   -0.380613   -0.429692  0.00335931
         187   -0.371408    -0.42938  0.00335578
         188   -0.350401    -0.42896  0.00336412
         189   -0.336808   -0.428472  0.00338147
         190   -0.351215   -0.428066  0.00338803
         191   -0.368046   -0.427752  0.00338483
         192   -0.359152   -0.427394  0.00338601
         193   -0.323825   -0.426858  0.00341072
         194   -0.325459   -0.426335  0.00343296
         195   -0.346598   -0.425926  0.00343962
         196   -0.330878   -0.425441  0.00345609
         197   -0.331205   -0.424963  0.00347149
         198   -0.334773   -0.424507  0.00348371
         199   -0.361792   -0.424192  0.00348043
         200   -0.402298   -0.424083  0.00346475
         201     -0.3966   -0.423946  0.00345021
         202   -0.381052   -0.423734  0.00343966
         203   -0.390972   -0.423572   0.0034265
         204   -0.365901   -0.423289  0.00342134
