#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26424     1.26424           0
           2     1.26694     1.26559 0.000956589
           3     1.24925     1.26014  0.00449172
           4     1.22242     1.25071  0.00883518
           5     1.23191     1.24695  0.00782744
           6     1.22769     1.24374  0.00715103
           7     1.22934     1.24168   0.0064185
           8     1.21696     1.23859  0.00631644
           9     1.22159     1.23671  0.00589048
          10     1.24301     1.23734  0.00533505
          11     1.22883     1.23656  0.00490579
          12     1.20569     1.23399  0.00512739
          13     1.18555     1.23026  0.00593426
          14     1.17779     1.22652  0.00658858
          15     1.17328     1.22297  0.00704045
          16     1.16161     1.21913  0.00757323
          17     1.17913     1.21678  0.00748445
          18     1.20875     1.21633  0.00708192
          19     1.21885     1.21646  0.00671043
          20     1.21351     1.21632  0.00637653
          21     1.21404     1.21621  0.00607381
          22     1.18825     1.21494  0.00592922
          23     1.18061     1.21345  0.00585621
          24     1.18299     1.21218  0.00574808
          25      1.1753      1.2107  0.00570427
          26     1.15749     1.20865  0.00584044
          27      1.1629     1.20696   0.0058648
          28     1.18169     1.20606  0.00572439
          29     1.18539     1.20534  0.00557119
          30     1.19506       1.205  0.00539603
          31     1.20469     1.20499  0.00522198
          32     1.21269     1.20523  0.00506433
          33     1.21345     1.20548  0.00491699
          34     1.20659     1.20551  0.00477248
          35     1.22242       1.206  0.00466049
          36     1.23147      1.2067  0.00458442
          37     1.24839     1.20783  0.00459689
          38     1.25425     1.20905  0.00463541
          39     1.24673     1.21002  0.00461614
          40     1.23549     1.21066  0.00454445
          41     1.22122     1.21091  0.00444091
          42     1.22582     1.21127  0.00434933
          43     1.22224     1.21152  0.00425567
          44     1.22731     1.21188  0.00417405
          45     1.23953      1.2125  0.00412625
          46     1.26217     1.21358  0.00417543
          47     1.26734     1.21472  0.00424041
          48     1.25889     1.21564  0.00425077
          49     1.26491     1.21665  0.00428127
          50     1.27147     1.21774  0.00433378
          51     1.28391     1.21904  0.00443877
          52     1.28452      1.2203   0.0045285
          53     1.28725     1.22156   0.0046159
          54     1.28814      1.2228  0.00469219
          55     1.30561      1.2243  0.00484244
          56     1.28202     1.22533   0.0048644
          57     1.27717     1.22624  0.00486334
          58     1.24922     1.22664   0.0047956
          59     1.24677     1.22698  0.00472644
          60      1.2636     1.22759   0.0046869
          61     1.28586     1.22854  0.00470642
          62     1.27944     1.22937  0.00470156
          63     1.24899     1.22968  0.00463724
          64     1.22604     1.22962  0.00456513
          65     1.20592     1.22926  0.00450943
          66       1.199      1.2288  0.00446435
          67     1.21036     1.22852  0.00440619
          68     1.20971     1.22825  0.00435007
          69     1.21483     1.22805  0.00429137
          70     1.21019      1.2278  0.00423765
          71     1.18238     1.22716  0.00422595
          72     1.19135     1.22666  0.00419642
          73     1.21064     1.22644  0.00414467
          74     1.20393     1.22613  0.00409981
          75     1.20297     1.22583  0.00405677
          76     1.20079      1.2255  0.00401674
          77     1.19979     1.22516  0.00397842
          78     1.19778     1.22481  0.00394287
          79     1.20094     1.22451  0.00390453
          80     1.20303     1.22424  0.00386494
          81     1.19531     1.22388   0.0038337
          82     1.23437     1.22401  0.00378908
          83     1.26625     1.22452  0.00377745
          84     1.24626     1.22478  0.00374134
          85     1.24557     1.22502  0.00370531
          86     1.27201     1.22557  0.00370229
          87     1.24602     1.22581  0.00366719
          88     1.22849     1.22584  0.00362564
          89     1.22146     1.22579  0.00358524
          90     1.21465     1.22566  0.00354754
          91     1.20647     1.22545  0.00351481
          92     1.22675     1.22547  0.00347664
          93      1.2428     1.22565  0.00344425
          94     1.23307     1.22573  0.00340851
          95     1.20241     1.22549  0.00338146
          96     1.19666     1.22519  0.00335955
          97     1.22252     1.22516  0.00332503
          98     1.24103     1.22532  0.00329504
          99     1.22027     1.22527  0.00326215
         100      1.2251     1.22527  0.00322953
         101      1.2346     1.22536  0.00319887
         102     1.22985      1.2254  0.00316782
         103     1.22908     1.22544  0.00313726
         104     1.22734     1.22546  0.00310715
         105     1.23376     1.22554  0.00307856
         106     1.23792     1.22565  0.00305173
         107     1.23083      1.2257   0.0030236
         108     1.24274     1.22586  0.00299971
         109      1.2507     1.22609  0.00298083
         110     1.22071     1.22604  0.00295414
         111     1.20116     1.22581  0.00293601
         112     1.18433     1.22544  0.00293307
         113     1.17968     1.22504  0.00293495
         114     1.19863     1.22481  0.00291833
         115     1.20671     1.22465   0.0028972
         116     1.20817     1.22451   0.0028757
         117     1.21412     1.22442   0.0028525
         118     1.22517     1.22443  0.00282833
         119     1.24759     1.22462  0.00281125
         120     1.22564     1.22463  0.00278784
         121     1.21395     1.22454   0.0027662
         122     1.20738      1.2244  0.00274709
         123     1.20415     1.22424  0.00272969
         124     1.20113     1.22405  0.00271403
         125     1.20025     1.22386  0.00269898
         126     1.19873     1.22366  0.00268492
         127     1.18822     1.22338  0.00267824
         128      1.1911     1.22313  0.00266917
         129     1.21163     1.22304  0.00264996
         130     1.20027     1.22286  0.00263536
         131     1.18832      1.2226   0.0026284
         132     1.16843     1.22219  0.00264033
         133     1.15111     1.22166  0.00267402
         134     1.16589     1.22124  0.00268625
         135     1.17319     1.22088  0.00268983
         136     1.18847     1.22064  0.00268059
         137     1.20593     1.22054  0.00266318
         138     1.20995     1.22046  0.00264498
         139     1.20776     1.22037  0.00262753
         140     1.18523     1.22012  0.00262073
         141     1.16945     1.21976  0.00262666
         142     1.18876     1.21954  0.00261722
         143     1.17854     1.21925  0.00261458
         144     1.18099     1.21899  0.00260989
         145     1.19827     1.21885   0.0025958
         146     1.19991     1.21872  0.00258125
         147     1.19239     1.21854   0.0025699
         148     1.19113     1.21835   0.0025592
         149     1.19091     1.21817  0.00254865
         150      1.1974     1.21803  0.00253541
         151     1.18844     1.21783  0.00252618
         152     1.17557     1.21755  0.00252482
         153     1.19266     1.21739  0.00251355
         154     1.20592     1.21732  0.00249834
         155     1.22658     1.21738  0.00248293
         156     1.22158      1.2174  0.00246716
         157     1.19178     1.21724  0.00245684
         158     1.18834     1.21706  0.00244809
         159     1.19897     1.21694  0.00243534
         160     1.18015     1.21671  0.00243095
         161     1.15962     1.21636  0.00244158
