#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.67652     1.67652           0
           2     1.59546     1.63599   0.0286599
           3     1.62397     1.63199   0.0193845
           4     1.60722     1.62579   0.0154953
           5     1.72886     1.64641   0.0222161
           6     1.65333     1.64756   0.0185434
           7     1.59669     1.64029   0.0172599
           8     1.64955     1.64145   0.0151412
           9     1.60004     1.63685   0.0141408
          10     1.66478     1.63964   0.0129997
          11     1.65571      1.6411   0.0118997
          12     1.61069     1.63857   0.0111748
          13     1.72994      1.6456   0.0123291
          14     1.63653     1.64495   0.0114654
          15     1.65156     1.64539   0.0107095
          16     1.63259     1.64459     0.01007
          17     1.65179     1.64501  0.00948656
          18     1.69068     1.64755  0.00929258
          19     1.59609     1.64484  0.00918968
          20     1.60652     1.64293  0.00892771
          21     1.64897     1.64321  0.00850722
          22     1.65149     1.64359  0.00812884
          23     1.62329     1.64271  0.00782319
          24     1.68419     1.64444  0.00768582
          25     1.63734     1.64415  0.00738363
          26      1.6608     1.64479  0.00712737
          27     1.62052     1.64389  0.00691986
          28     1.60001     1.64233  0.00684789
          29     1.68282     1.64372  0.00675262
          30     1.62527     1.64311  0.00655551
          31     1.67922     1.64427  0.00644673
          32     1.60816     1.64314  0.00634327
          33     1.64134     1.64309  0.00615128
          34     1.66537     1.64374  0.00600517
          35     1.69206     1.64513  0.00599013
          36     1.64545     1.64513  0.00582375
          37     1.56954     1.64309  0.00601409
          38     1.65325     1.64336  0.00586176
          39     1.66855       1.644  0.00574695
          40     1.68013     1.64491  0.00567381
          41        1.63     1.64454  0.00554707
          42     1.60131     1.64351   0.0055097
          43     1.67751     1.64431    0.005438
          44      1.6982     1.64553  0.00545062
          45     1.67583      1.6462  0.00537093
          46     1.68135     1.64697  0.00530823
          47     1.54782     1.64486  0.00559883
          48     1.61201     1.64417  0.00552385
          49     1.59567     1.64318  0.00549909
          50       1.698     1.64428  0.00549731
          51     1.67859     1.64495  0.00543052
          52      1.5971     1.64403  0.00540349
          53     1.63586     1.64388  0.00530374
          54     1.62718     1.64357  0.00521453
          55     1.70827     1.64475  0.00525075
          56     1.63029     1.64449  0.00516333
          57     1.63116     1.64425  0.00507803
          58     1.67522     1.64479  0.00501847
          59     1.62747     1.64449  0.00494199
          60     1.67679     1.64503  0.00488885
          61     1.66413     1.64535  0.00481872
          62     1.70981     1.64638  0.00485188
          63     1.61857     1.64594  0.00479491
          64     1.69288     1.64668  0.00477575
          65     1.72567     1.64789  0.00485446
          66     1.64334     1.64782  0.00478139
          67     1.56833     1.64664    0.004855
          68     1.61857     1.64622  0.00480112
          69     1.65511     1.64635  0.00473327
          70     1.63516     1.64619  0.00466835
          71     1.68345     1.64672  0.00463199
          72     1.63671     1.64658  0.00456974
          73     1.68454      1.6471  0.00453663
          74     1.66706     1.64737  0.00448333
          75     1.69793     1.64804  0.00447395
          76     1.59796     1.64738  0.00446335
          77      1.6929     1.64797  0.00444436
          78     1.70048     1.64865  0.00443806
          79     1.65598     1.64874  0.00438285
          80     1.63252     1.64854  0.00433275
          81     1.65496     1.64862  0.00427998
          82     1.66967     1.64887  0.00423548
          83     1.66649     1.64909  0.00418976
