#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11768     1.11768           0
           2     1.06364     1.09066   0.0191066
           3     1.08265     1.08799    0.012923
           4     1.07148     1.08386   0.0103302
           5     1.15257      1.0976   0.0148107
           6     1.10222     1.09837   0.0123622
           7     1.06446     1.09353   0.0115066
           8      1.0997      1.0943   0.0100941
           9     1.06669     1.09123   0.0094272
          10     1.10985     1.09309  0.00866643
          11     1.10381     1.09407  0.00793313
          12     1.07379     1.09238  0.00744985
          13     1.15329     1.09706  0.00821938
          14     1.09102     1.09663  0.00764361
          15     1.10104     1.09693  0.00713967
          16     1.08839     1.09639  0.00671334
          17     1.10119     1.09668  0.00632438
          18     1.12712     1.09837  0.00619506
          19     1.06406     1.09656  0.00612646
          20     1.07101     1.09528  0.00595181
          21     1.09931     1.09548  0.00567148
          22     1.10099     1.09573  0.00541923
          23     1.08219     1.09514  0.00521546
          24      1.1228     1.09629  0.00512388
          25     1.09156      1.0961  0.00492242
          26      1.1072     1.09653  0.00475158
          27     1.08035     1.09593  0.00461324
          28     1.06667     1.09488  0.00456526
          29     1.12188     1.09582  0.00450175
          30     1.08351     1.09541  0.00437034
          31     1.11948     1.09618  0.00429782
          32     1.07211     1.09543  0.00422884
          33     1.09423     1.09539  0.00410085
          34     1.11025     1.09583  0.00400345
          35     1.12804     1.09675  0.00399342
          36     1.09697     1.09676   0.0038825
          37     1.04636     1.09539  0.00400939
          38     1.10217     1.09557  0.00390784
          39     1.11237       1.096   0.0038313
          40     1.12009     1.09661  0.00378254
          41     1.08666     1.09636  0.00369805
          42     1.06754     1.09568  0.00367313
          43     1.11834      1.0962  0.00362533
          44     1.13213     1.09702  0.00363374
          45     1.11722     1.09747  0.00358062
          46      1.1209     1.09798  0.00353882
          47     1.03188     1.09657  0.00373255
          48     1.07467     1.09612  0.00368257
          49     1.06378     1.09546  0.00366606
          50       1.132     1.09619  0.00366487
          51     1.11906     1.09664  0.00362035
          52     1.06473     1.09602  0.00360233
          53     1.09058     1.09592  0.00353583
          54     1.08479     1.09571  0.00347635
          55     1.13885      1.0965   0.0035005
          56     1.08686     1.09632  0.00344222
          57     1.08744     1.09617  0.00338536
          58     1.11681     1.09652  0.00334564
          59     1.08498     1.09633  0.00329466
          60     1.11786     1.09669  0.00325923
          61     1.10942      1.0969  0.00321248
          62     1.13987     1.09759  0.00323458
          63     1.07905      1.0973  0.00319661
          64     1.12859     1.09778  0.00318383
          65     1.15045     1.09859   0.0032363
          66     1.09556     1.09855   0.0031876
          67     1.04555     1.09776  0.00323667
          68     1.07905     1.09748  0.00320075
          69     1.10341     1.09757  0.00315551
          70     1.09011     1.09746  0.00311223
          71      1.1223     1.09781  0.00308799
          72     1.09114     1.09772  0.00304649
          73     1.12302     1.09807  0.00302442
          74     1.11137     1.09825  0.00298889
          75     1.13195      1.0987  0.00298263
          76     1.06531     1.09826  0.00297557
          77      1.1286     1.09865   0.0029629
          78     1.13365      1.0991   0.0029587
          79     1.10399     1.09916   0.0029219
          80     1.08835     1.09903   0.0028885
          81      1.1033     1.09908  0.00285332
          82     1.11311     1.09925  0.00282365
          83     1.11099     1.09939  0.00279318
          84     1.09016     1.09928  0.00276209
          85      1.0847     1.09911  0.00273491
          86     1.14698     1.09967  0.00275917
          87     1.13346     1.10005  0.00275466
          88     1.14627     1.10058  0.00277297
          89     1.09815     1.10055  0.00274195
          90      1.1124     1.10068  0.00271464
          91     1.05781     1.10021  0.00272539
          92     1.07274     1.09991  0.00271207
          93     1.12682      1.1002   0.0026983
          94     1.09354     1.10013  0.00267053
          95     1.07791      1.0999  0.00265264
          96     1.04032     1.09928  0.00269663
          97     1.03989     1.09867  0.00273745
          98     1.10848     1.09877  0.00271135
          99     1.09262      1.0987  0.00268467
         100     1.08698     1.09859  0.00266038
         101     1.10507     1.09865  0.00263482
         102     1.10231     1.09869  0.00260923
         103      1.0817     1.09852   0.0025891
         104     1.14318     1.09895  0.00259957
         105     1.10511     1.09901  0.00257547
         106     1.11699     1.09918  0.00255675
         107     1.07117     1.09892  0.00254622
