#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.67697    -6.67697           0
           2    -6.65053    -6.66375  0.00934662
           3    -6.65187    -6.65979  0.00701961
           4    -6.68031    -6.66492  0.00688847
           5    -6.67156    -6.66625  0.00563748
           6    -6.62151    -6.65879  0.00827035
           7    -6.64466    -6.65677  0.00733131
           8    -6.67977    -6.65965  0.00695543
           9    -6.66194     -6.6599  0.00618728
          10    -6.66375    -6.66029  0.00558051
          11    -6.66764    -6.66096  0.00511309
          12    -6.65542     -6.6605  0.00470774
          13    -6.68278    -6.66221  0.00464733
          14      -6.652    -6.66148  0.00437226
          15    -6.67336    -6.66227  0.00415186
          16    -6.65746    -6.66197  0.00390323
          17    -6.67771     -6.6629  0.00378189
          18    -6.64597    -6.66196  0.00368691
          19    -6.66125    -6.66192  0.00349305
          20    -6.66307    -6.66198  0.00331887
          21    -6.64541    -6.66119  0.00325322
          22    -6.67699    -6.66191  0.00318362
          23    -6.65418    -6.66157  0.00306287
          24    -6.65988     -6.6615  0.00293606
          25    -6.67927    -6.66221  0.00290337
          26    -6.63788    -6.66127  0.00293867
          27    -6.68454    -6.66214  0.00295343
          28    -6.67257    -6.66251  0.00287136
          29     -6.6555    -6.66227   0.0027825
          30    -6.68514    -6.66303  0.00279226
          31    -6.65392    -6.66274  0.00271761
          32    -6.67192    -6.66302  0.00264779
          33    -6.67207     -6.6633  0.00258172
          34     -6.6663    -6.66339   0.0025073
          35    -6.67976    -6.66385  0.00247893
          36    -6.64458    -6.66332  0.00246722
          37    -6.65639    -6.66313  0.00240763
          38    -6.66842    -6.66327  0.00234829
          39    -6.67927    -6.66368  0.00232361
          40    -6.65027    -6.66335  0.00228958
          41    -6.65201    -6.66307  0.00225036
          42    -6.66573    -6.66313  0.00219768
          43    -6.65056    -6.66284  0.00216592
          44    -6.67248    -6.66306  0.00212775
          45    -6.65347    -6.66285  0.00209111
          46     -6.6636    -6.66286  0.00204572
          47    -6.66117    -6.66283  0.00200251
          48    -6.67468    -6.66307  0.00197597
          49    -6.67378    -6.66329  0.00194768
          50    -6.62648    -6.66256  0.00204316
          51    -6.67601    -6.66282  0.00202006
          52    -6.66707     -6.6629  0.00198286
          53    -6.65866    -6.66282  0.00194706
          54    -6.65245    -6.66263  0.00192046
          55    -6.65355    -6.66246  0.00189262
          56    -6.68689     -6.6629  0.00190843
          57    -6.64394    -6.66257  0.00190371
          58    -6.66881    -6.66267  0.00187393
          59     -6.6816      -6.663   0.0018694
          60    -6.63511    -6.66253  0.00189514
          61    -6.66735    -6.66261  0.00186572
          62    -6.67769    -6.66285  0.00185141
          63    -6.65639    -6.66275  0.00182486
          64    -6.64865    -6.66253  0.00180961
          65    -6.66518    -6.66257  0.00178223
          66    -6.66624    -6.66263  0.00175609
          67    -6.63952    -6.66228  0.00176341
          68     -6.6673    -6.66236  0.00173902
          69    -6.67086    -6.66248  0.00171818
          70    -6.67695    -6.66269  0.00170603
          71    -6.64572    -6.66245  0.00169866
          72    -6.67119    -6.66257   0.0016794
          73    -6.66966    -6.66266  0.00165921
          74     -6.6757    -6.66284   0.0016461
          75    -6.63694     -6.6625     0.00166
          76    -6.68365    -6.66277  0.00166134
          77    -6.66119    -6.66275  0.00163989
          78    -6.62528    -6.66227  0.00168776
          79    -6.66574    -6.66232  0.00166697
          80    -6.67848    -6.66252  0.00165833
          81    -6.65988    -6.66249  0.00163818
          82    -6.62112    -6.66198   0.0016941
          83     -6.6754    -6.66214  0.00168138
          84    -6.68093    -6.66237  0.00167617
          85     -6.6677    -6.66243  0.00165762
          86    -6.66823     -6.6625  0.00163972
          87    -6.65978    -6.66247  0.00162117
          88    -6.66115    -6.66245  0.00160282
          89    -6.67017    -6.66254  0.00158715
          90    -6.66157    -6.66253  0.00156956
          91    -6.65993     -6.6625  0.00155257
          92    -6.66269     -6.6625  0.00153569
          93    -6.66728    -6.66255  0.00152004
          94    -6.66634    -6.66259  0.00150441
          95    -6.63243    -6.66228   0.0015217
          96    -6.68058    -6.66247  0.00151775
          97    -6.65666    -6.66241  0.00150328
          98    -6.67644    -6.66255  0.00149475
          99    -6.64643    -6.66239  0.00148848
         100    -6.65865    -6.66235  0.00147407
         101    -6.66208    -6.66235  0.00145948
         102    -6.67182    -6.66244  0.00144812
         103    -6.66059    -6.66242  0.00143417
         104    -6.66723    -6.66247  0.00142113
         105    -6.64364    -6.66229  0.00141886
         106    -6.65218    -6.66219  0.00140868
         107    -6.66812    -6.66225   0.0013966
         108    -6.66705    -6.66229  0.00138438
         109    -6.64927    -6.66217  0.00137683
         110    -6.66416    -6.66219  0.00136443
         111    -6.66853    -6.66225  0.00135333
         112    -6.65091    -6.66215  0.00134503
         113    -6.66154    -6.66214  0.00133314
         114    -6.68479    -6.66234  0.00133617
         115    -6.65396    -6.66227  0.00132653
         116    -6.66004    -6.66225  0.00131524
         117    -6.67145    -6.66233  0.00130635
         118    -6.67044     -6.6624  0.00129708
         119    -6.64145    -6.66222  0.00129807
         120    -6.67287    -6.66231  0.00129028
         121    -6.65231    -6.66223  0.00128226
         122    -6.69916    -6.66253  0.00130699
         123    -6.63749    -6.66232  0.00131212
         124     -6.6641    -6.66234  0.00130162
         125    -6.67046     -6.6624  0.00129283
         126    -6.68253    -6.66256   0.0012924
         127    -6.65406     -6.6625  0.00128396
         128    -6.66624    -6.66253  0.00127426
         129    -6.65141    -6.66244  0.00126729
         130    -6.64253    -6.66229  0.00126676
         131    -6.67117    -6.66235   0.0012589
         132    -6.66509    -6.66238  0.00124954
         133    -6.65423    -6.66231  0.00124164
         134    -6.65733    -6.66228  0.00123293
         135     -6.6708    -6.66234  0.00122541
         136    -6.65772    -6.66231  0.00121688
         137    -6.64387    -6.66217  0.00121541
         138    -6.68476    -6.66234  0.00121757
         139     -6.6629    -6.66234  0.00120882
         140    -6.63557    -6.66215  0.00121521
         141    -6.66291    -6.66215  0.00120661
         142    -6.65845    -6.66213  0.00119839
         143     -6.6716    -6.66219  0.00119184
         144    -6.65693    -6.66216  0.00118412
         145    -6.65816    -6.66213  0.00117628
         146    -6.66288    -6.66213  0.00116823
         147     -6.6618    -6.66213  0.00116029
         148    -6.64249      -6.662  0.00116001
         149    -6.70123    -6.66226  0.00118173
         150    -6.65745    -6.66223  0.00117429
         151    -6.68134    -6.66236  0.00117332
         152    -6.65702    -6.66232  0.00116612
         153    -6.66419    -6.66233  0.00115856
         154    -6.66801    -6.66237  0.00115163
         155    -6.64632    -6.66227  0.00114884
         156       -6.66    -6.66225  0.00114157
         157    -6.66798    -6.66229  0.00113488
         158    -6.67149    -6.66235  0.00112919
         159    -6.67568    -6.66243   0.0011252
         160    -6.65843    -6.66241  0.00111845
         161    -6.65466    -6.66236  0.00111254
         162    -6.64887    -6.66228  0.00110878
         163    -6.65466    -6.66223  0.00110296
         164     -6.6829    -6.66235  0.00110341
         165    -6.65544    -6.66231  0.00109752
         166    -6.66929    -6.66235  0.00109171
         167      -6.651    -6.66229  0.00108729
         168    -6.68691    -6.66243  0.00109066
         169    -6.65001    -6.66236  0.00108668
         170     -6.6628    -6.66236  0.00108029
         171    -6.65914    -6.66234  0.00107414
         172    -6.64926    -6.66227  0.00107058
         173    -6.62926    -6.66208  0.00108126
         174    -6.67801    -6.66217  0.00107892
         175    -6.65335    -6.66212  0.00107393
         176    -6.66487    -6.66213  0.00106794
         177    -6.66942    -6.66217   0.0010627
         178    -6.65862    -6.66215  0.00105692
         179    -6.67038     -6.6622  0.00105201
         180    -6.65004    -6.66213  0.00104833
         181    -6.66485    -6.66215  0.00104265
         182    -6.67111     -6.6622  0.00103808
         183    -6.64695    -6.66211  0.00103575
         184    -6.66239    -6.66212  0.00103012
         185    -6.66609    -6.66214  0.00102477
         186    -6.66388    -6.66215  0.00101931
         187    -6.65602    -6.66211  0.00101438
         188    -6.65427    -6.66207  0.00100985
         189     -6.6659    -6.66209  0.00100471
         190    -6.66973    -6.66213  0.00100022
         191    -6.67656    -6.66221 0.000997832
         192    -6.63733    -6.66208  0.00100101
         193    -6.64741      -6.662 0.000998707
         194    -6.68255    -6.66211  0.00099916
         195    -6.64868    -6.66204 0.000996407
         196    -6.67025    -6.66208 0.000992203
         197    -6.67613    -6.66215 0.000989727
         198    -6.66607    -6.66217 0.000984925
         199    -6.65832    -6.66215 0.000980166
         200    -6.65711    -6.66213  0.00097559
         201    -6.67367    -6.66219 0.000972425
         202    -6.65493    -6.66215 0.000968275
         203    -6.67712    -6.66222  0.00096631
         204    -6.67188    -6.66227 0.000962731
         205    -6.67137    -6.66231 0.000959057
         206    -6.65952     -6.6623 0.000954498
         207    -6.65478    -6.66226 0.000950578
         208    -6.67384    -6.66232 0.000947636
         209    -6.66529    -6.66233 0.000943209
         210    -6.67421    -6.66239 0.000940411
         211    -6.67552    -6.66245 0.000938009
         212    -6.64667    -6.66238 0.000936534
         213    -6.66407    -6.66239 0.000932171
         214    -6.65656    -6.66236 0.000928212
         215    -6.64872     -6.6623 0.000926062
         216    -6.69771    -6.66246 0.000936175
         217    -6.64339    -6.66237 0.000935977
         218    -6.65346    -6.66233 0.000932576
         219    -6.65794    -6.66231 0.000928533
         220    -6.69221    -6.66245 0.000934207
         221    -6.65458    -6.66241 0.000930658
         222    -6.66707    -6.66243 0.000926702
         223    -6.63889    -6.66233  0.00092854
         224    -6.66435    -6.66234 0.000924439
         225    -6.67441    -6.66239 0.000921886
         226    -6.65213    -6.66234 0.000918924
         227    -6.66373    -6.66235 0.000914897
         228    -6.67149    -6.66239 0.000911761
         229    -6.66011    -6.66238 0.000907834
         230    -6.63198    -6.66225  0.00091346
         231    -6.67249    -6.66229  0.00091058
         232    -6.65504    -6.66226 0.000907192
         233    -6.65404    -6.66223 0.000903984
         234    -6.65017    -6.66217 0.000901589
         235     -6.6793    -6.66225 0.000900694
         236    -6.66017    -6.66224 0.000896921
         237    -6.68087    -6.66232 0.000896576
         238    -6.64809    -6.66226 0.000894799
         239     -6.6559    -6.66223 0.000891451
         240    -6.64722    -6.66217 0.000889928
         241    -6.65495    -6.66214 0.000886739
         242    -6.67277    -6.66218 0.000884162
         243    -6.65036    -6.66213 0.000881862
         244    -6.63789    -6.66203 0.000883829
         245    -6.65085    -6.66199   0.0008814
         246    -6.66007    -6.66198 0.000877851
         247    -6.66112    -6.66198 0.000874304
         248    -6.66349    -6.66198   0.0008708
         249    -6.66477    -6.66199 0.000867375
         250    -6.66741    -6.66202 0.000864176
         251    -6.65569    -6.66199   0.0008611
         252    -6.67919    -6.66206 0.000860384
         253    -6.65705    -6.66204 0.000857211
         254    -6.66146    -6.66204 0.000853839
         255    -6.64767    -6.66198 0.000852348
         256    -6.65134    -6.66194  0.00085003
         257    -6.66456    -6.66195 0.000846784
         258    -6.68864    -6.66205 0.000849795
         259    -6.66714    -6.66207 0.000846741
         260    -6.64754    -6.66202 0.000845327
         261    -6.64641    -6.66196   0.0008442
         262    -6.67237      -6.662 0.000841913
         263    -6.68134    -6.66207 0.000841919
         264    -6.65189    -6.66203 0.000839612
         265    -6.65089    -6.66199 0.000837497
         266    -6.66969    -6.66202 0.000834848
         267    -6.66277    -6.66202 0.000831726
         268    -6.65048    -6.66198 0.000829738
         269      -6.658    -6.66196 0.000826785
         270    -6.67743    -6.66202 0.000825706
         271    -6.64495    -6.66196 0.000825059
         272    -6.67444      -6.662 0.000823301
         273    -6.65631    -6.66198  0.00082055
         274    -6.67697    -6.66204 0.000819377
         275    -6.64499    -6.66198  0.00081874
         276    -6.64256    -6.66191  0.00081879
         277    -6.66662    -6.66192 0.000816011
         278    -6.68947    -6.66202 0.000819069
         279    -6.64201    -6.66195 0.000819268
         280    -6.66966    -6.66198 0.000816805
         281    -6.67642    -6.66203 0.000815515
         282     -6.6668    -6.66205 0.000812798
         283    -6.67322    -6.66209 0.000810885
         284    -6.67026    -6.66211 0.000808541
         285     -6.6323    -6.66201 0.000812444
         286    -6.67853    -6.66207 0.000811653
         287    -6.67734    -6.66212 0.000810567
         288    -6.66844    -6.66214  0.00080805
         289    -6.65413    -6.66211 0.000805729
         290    -6.66153    -6.66211 0.000802953
         291    -6.66099    -6.66211 0.000800203
         292    -6.68789     -6.6622 0.000802318
         293     -6.6482    -6.66215    0.000801
         294    -6.65696    -6.66213  0.00079847
         295    -6.65868    -6.66212 0.000795849
         296    -6.66445    -6.66213   0.0007932
         297    -6.67151    -6.66216 0.000791158
         298    -6.64781    -6.66211 0.000789966
         299    -6.68165    -6.66218 0.000790023
         300    -6.63383    -6.66208 0.000793022
         301    -6.66439    -6.66209 0.000790424
         302    -6.68774    -6.66217 0.000792356
         303    -6.64564    -6.66212 0.000791618
         304     -6.6458    -6.66207 0.000790832
         305    -6.67028    -6.66209 0.000788698
         306     -6.6769    -6.66214 0.000787603
         307    -6.63856    -6.66206 0.000788775
         308    -6.66474    -6.66207 0.000786262
         309    -6.67065     -6.6621 0.000784207
         310    -6.65908    -6.66209 0.000781737
         311    -6.65066    -6.66205 0.000780087
         312    -6.65942    -6.66205 0.000777633
         313    -6.67606    -6.66209 0.000776437
         314    -6.65969    -6.66208 0.000774002
         315    -6.67872    -6.66214 0.000773344
         316     -6.6422    -6.66207 0.000773467
         317    -6.66368    -6.66208 0.000771043
         318    -6.68911    -6.66216 0.000773289
         319    -6.63449    -6.66208 0.000775716
         320    -6.67282    -6.66211 0.000774018
         321    -6.66642    -6.66212 0.000771723
         322    -6.66241    -6.66212 0.000769327
         323    -6.68322    -6.66219 0.000769713
         324    -6.66626     -6.6622  0.00076744
         325    -6.65532    -6.66218 0.000765371
         326    -6.66131    -6.66218 0.000763028
         327    -6.66872     -6.6622 0.000760957
         328     -6.6576    -6.66218 0.000758766
         329    -6.65498    -6.66216 0.000756776
         330    -6.66453    -6.66217 0.000754517
         331    -6.66855    -6.66219 0.000752483
         332    -6.65424    -6.66217 0.000750598
         333    -6.66199    -6.66216 0.000748344
         334    -6.66416    -6.66217 0.000746127
         335    -6.67751    -6.66222 0.000745303
         336    -6.63894    -6.66215 0.000746298
         337    -6.66029    -6.66214 0.000744103
         338    -6.67153    -6.66217  0.00074242
         339    -6.66332    -6.66217 0.000740237
         340    -6.66646    -6.66219 0.000738167
         341    -6.67526    -6.66222 0.000736997
         342    -6.65351     -6.6622 0.000735282
         343    -6.67483    -6.66223 0.000734061
         344    -6.65562    -6.66222 0.000732179
         345     -6.6508    -6.66218 0.000730803
         346    -6.65274    -6.66216 0.000729201
         347    -6.67632     -6.6622 0.000728241
         348    -6.65873    -6.66219 0.000726216
         349    -6.67352    -6.66222 0.000724861
         350    -6.65517     -6.6622  0.00072307
         351    -6.65184    -6.66217 0.000721612
         352    -6.68226    -6.66223 0.000721817
         353    -6.66027    -6.66222 0.000719793
         354    -6.65385     -6.6622 0.000718149
         355    -6.67188    -6.66222 0.000716643
         356    -6.64732    -6.66218 0.000715851
         357    -6.65421    -6.66216 0.000714194
         358    -6.66877    -6.66218 0.000712438
         359    -6.67154     -6.6622  0.00071093
         360    -6.65858    -6.66219 0.000709027
         361    -6.64809    -6.66216 0.000708139
         362    -6.67082    -6.66218 0.000706586
         363    -6.66282    -6.66218 0.000704642
         364    -6.64606    -6.66214 0.000704097
         365    -6.66906    -6.66216 0.000702424
         366    -6.64603    -6.66211 0.000701885
         367    -6.67205    -6.66214 0.000700494
         368    -6.65247    -6.66211 0.000699083
         369    -6.65601     -6.6621 0.000697384
         370    -6.67537    -6.66213 0.000696421
         371    -6.64715    -6.66209 0.000695713
         372    -6.65497    -6.66207 0.000694107
         373    -6.65429    -6.66205  0.00069256
         374    -6.67225    -6.66208 0.000691245
         375    -6.67554    -6.66211 0.000690333
         376    -6.65211    -6.66209  0.00068901
         377     -6.6594    -6.66208 0.000687219
         378    -6.65723    -6.66207 0.000685521
         379    -6.65392    -6.66205 0.000684049
         380    -6.66525    -6.66205 0.000682301
         381    -6.67218    -6.66208 0.000681028
         382    -6.64726    -6.66204 0.000680349
         383    -6.65608    -6.66203  0.00067875
         384    -6.68254    -6.66208 0.000679081
         385    -6.67167    -6.66211 0.000677774
         386    -6.65826     -6.6621 0.000676091
         387      -6.653    -6.66207 0.000674753
         388    -6.66481    -6.66208  0.00067305
         389    -6.68751    -6.66214 0.000674487
         390    -6.65142    -6.66212 0.000673318
         391    -6.65753    -6.66211 0.000671698
         392    -6.65872     -6.6621  0.00067004
         393    -6.64726    -6.66206 0.000669398
         394    -6.66086    -6.66206 0.000667706
         395    -6.66099    -6.66205 0.000666021
         396    -6.66662    -6.66206 0.000664439
         397    -6.65501    -6.66205 0.000663002
         398    -6.66006    -6.66204 0.000661355
         399    -6.68812    -6.66211  0.00066292
         400    -6.65266    -6.66208 0.000661684
         401     -6.6824    -6.66213  0.00066197
         402     -6.6182    -6.66202 0.000669285
         403    -6.68571    -6.66208   0.0006702
         404     -6.6679     -6.6621 0.000668696
         405    -6.64742    -6.66206 0.000668027
         406    -6.66655    -6.66207 0.000666473
         407    -6.65749    -6.66206  0.00066493
         408     -6.6692    -6.66208  0.00066353
         409    -6.65544    -6.66206 0.000662107
         410    -6.66478    -6.66207 0.000660525
         411    -6.66081    -6.66207 0.000658925
         412    -6.65886    -6.66206 0.000657372
         413    -6.67456    -6.66209 0.000656476
         414     -6.6502    -6.66206 0.000655518
         415    -6.65699    -6.66205 0.000654053
         416    -6.66762    -6.66206 0.000652618
         417    -6.66149    -6.66206 0.000651054
         418    -6.67285    -6.66209 0.000650008
         419    -6.64503    -6.66205  0.00064973
         420    -6.66642    -6.66206 0.000648267
         421    -6.65726    -6.66204 0.000646827
         422    -6.65763    -6.66203 0.000645379
         423    -6.66037    -6.66203 0.000643865
         424    -6.67591    -6.66206 0.000643178
         425    -6.65177    -6.66204 0.000642121
         426    -6.66114    -6.66204 0.000640617
         427     -6.6748    -6.66207 0.000639813
         428    -6.63756    -6.66201 0.000640874
         429    -6.63669    -6.66195 0.000642093
         430    -6.69585    -6.66203 0.000645422
         431    -6.65506    -6.66201 0.000644127
         432    -6.66472    -6.66202 0.000642666
         433    -6.64863    -6.66199 0.000641926
         434    -6.68587    -6.66204 0.000642801
         435    -6.64541      -6.662 0.000642459
         436    -6.68044    -6.66205 0.000642375
         437    -6.64894    -6.66202 0.000641605
         438    -6.66617    -6.66203  0.00064021
         439    -6.68198    -6.66207 0.000640364
         440    -6.65969    -6.66207 0.000638931
         441    -6.65776    -6.66206 0.000637557
         442    -6.67581    -6.66209 0.000636873
         443    -6.65532    -6.66207 0.000635619
         444    -6.67861    -6.66211 0.000635277
         445     -6.6551    -6.66209 0.000634045
         446    -6.65133    -6.66207 0.000633083
         447    -6.66375    -6.66207 0.000631678
         448    -6.68088    -6.66212 0.000631662
         449    -6.65464     -6.6621 0.000630474
         450    -6.66924    -6.66211 0.000629273
         451    -6.66253    -6.66212 0.000627878
         452    -6.63414    -6.66205 0.000629532
         453    -6.67132    -6.66207 0.000628475
         454    -6.68461    -6.66212 0.000629048
         455    -6.63414    -6.66206 0.000630664
         456     -6.6765    -6.66209 0.000630076
         457    -6.64931    -6.66207 0.000629318
         458    -6.66423    -6.66207 0.000627961
         459    -6.64756    -6.66204 0.000627388
         460    -6.65524    -6.66202 0.000626199
         461    -6.66737    -6.66204 0.000624947
         462    -6.66935    -6.66205 0.000623795
         463    -6.66092    -6.66205 0.000622453
         464    -6.64972    -6.66202 0.000621678
         465     -6.6805    -6.66206  0.00062161
         466    -6.66143    -6.66206 0.000620278
         467    -6.64752    -6.66203 0.000619731
         468    -6.66246    -6.66203 0.000618407
         469    -6.68058    -6.66207 0.000618352
         470      -6.643    -6.66203 0.000618367
         471    -6.65829    -6.66202 0.000617105
         472    -6.68223    -6.66206 0.000617281
         473     -6.6465    -6.66203 0.000616852
         474    -6.64673      -6.662 0.000616394
         475    -6.67932    -6.66204 0.000616175
         476    -6.65757    -6.66203 0.000614952
         477    -6.63614    -6.66197 0.000616053
         478    -6.66272    -6.66197 0.000614766
         479    -6.67099    -6.66199 0.000613771
         480    -6.65932    -6.66199 0.000612517
         481    -6.66017    -6.66198 0.000611255
         482    -6.64718    -6.66195 0.000610758
         483    -6.66973    -6.66197 0.000609706
         484    -6.65138    -6.66195 0.000608839
         485    -6.65726    -6.66194  0.00060766
         486    -6.69179      -6.662 0.000609507
         487    -6.64643    -6.66197 0.000609093
         488    -6.66843    -6.66198 0.000607989
         489    -6.65454    -6.66196 0.000606936
         490     -6.6793      -6.662 0.000606727
         491    -6.65086    -6.66198 0.000605916
         492    -6.65777    -6.66197 0.000604745
         493    -6.66514    -6.66198 0.000603552
         494    -6.64664    -6.66194 0.000603128
         495    -6.66866    -6.66196 0.000602062
         496     -6.6698    -6.66197 0.000601055
         497    -6.66394    -6.66198 0.000599859
         498    -6.66296    -6.66198 0.000598658
         499    -6.63549    -6.66193 0.000599807
         500    -6.66787    -6.66194 0.000598725
         501    -6.65354    -6.66192 0.000597765
         502    -6.68321    -6.66196 0.000598076
