#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.808498    0.808498           0
           2    0.791757    0.800127  0.00591884
           3    0.792344    0.797533  0.00447857
           4    0.811342    0.800985  0.00449685
           5    0.805651    0.801918  0.00369304
           6    0.772792    0.797064   0.0053953
           7     0.78744    0.795689  0.00479651
           8    0.810143    0.797496  0.00452444
           9    0.797636    0.797511  0.00402175
          10    0.799628    0.797723  0.00362514
          11    0.802711    0.798177  0.00332382
          12    0.795169    0.797926  0.00305627
          13    0.811841    0.798996  0.00300275
          14    0.792494    0.798532  0.00282396
          15     0.80438    0.798922  0.00266248
          16    0.795503    0.798708  0.00250463
          17    0.807981    0.799254  0.00241596
          18    0.787833    0.798619  0.00236359
          19    0.797515    0.798561   0.0022399
          20    0.799001    0.798583  0.00212802
          21    0.788597    0.798107  0.00207913
          22     0.80888    0.798597  0.00204147
          23    0.792964    0.798352  0.00196735
          24    0.797819     0.79833   0.0018855
          25    0.809431    0.798774  0.00186163
          26    0.782701    0.798156  0.00188988
          27    0.814574    0.798764  0.00191522
          28    0.805598    0.799008  0.00186231
          29    0.793775    0.798828  0.00180681
          30    0.812938    0.799298  0.00180677
          31    0.791899    0.799059  0.00176418
          32    0.805061    0.799247  0.00171899
          33    0.803908    0.799388   0.0016727
          34    0.801441    0.799448  0.00162459
          35    0.810307    0.799759  0.00160752
          36    0.787336    0.799414  0.00159947
          37    0.795625    0.799311  0.00155952
          38    0.802602    0.799398  0.00152088
          39    0.811532    0.799709  0.00151338
          40    0.790126    0.799469  0.00149438
          41    0.791513    0.799275  0.00147048
          42    0.802012     0.79934  0.00143691
          43    0.791823    0.799166  0.00141409
          44     0.80511    0.799301  0.00138839
          45    0.792917    0.799159  0.00136476
          46    0.799942    0.799176   0.0013352
          47    0.798325    0.799158  0.00130692
          48    0.807155    0.799324  0.00129027
          49    0.806677    0.799474  0.00127263
          50    0.775753       0.799  0.00133268
          51    0.807844    0.799173  0.00131778
          52      0.8025    0.799237  0.00129399
          53    0.795852    0.799174  0.00127115
          54    0.793627    0.799071  0.00125175
          55     0.79372    0.798974  0.00123277
          56    0.814726    0.799255  0.00124243
          57    0.787406    0.799047   0.0012379
          58    0.802945    0.799114  0.00121838
          59    0.811397    0.799322  0.00121539
          60    0.781419    0.799024  0.00123122
          61    0.804032    0.799106  0.00121377
          62    0.809979    0.799281   0.0012068
          63     0.79514    0.799216  0.00118943
          64    0.789955    0.799071  0.00117961
          65    0.801342    0.799106  0.00116198
          66    0.802022     0.79915  0.00114522
          67    0.783792    0.798921  0.00115084
          68    0.801159    0.798954  0.00113438
          69    0.803764    0.799024  0.00112008
          70     0.80937    0.799171  0.00111379
          71    0.787704     0.79901  0.00110975
          72    0.804175    0.799082  0.00109665
          73    0.803956    0.799148  0.00108366
          74    0.807715    0.799264  0.00107518
          75    0.782645    0.799042  0.00108344
          76    0.812479    0.799219  0.00108351
          77    0.797554    0.799198  0.00106966
          78    0.773919    0.798874  0.00110395
          79    0.801105    0.798902  0.00109034
          80    0.809559    0.799035  0.00108481
          81    0.797999    0.799022   0.0010715
          82    0.771669    0.798689  0.00110914
          83    0.807621    0.798796  0.00110099
          84    0.812663    0.798961  0.00110019
          85    0.801816    0.798995  0.00108775
          86    0.802376    0.799034  0.00107582
          87    0.797937    0.799022  0.00106352
          88    0.797301    0.799002  0.00105162
          89    0.802654    0.799043   0.0010406
          90    0.798069    0.799032   0.0010291
          91    0.797556    0.799016  0.00101792
          92    0.798204    0.799007  0.00100689
          93    0.801726    0.799036 0.000996488
          94    0.801719    0.799065 0.000986296
          95    0.779427    0.798858 0.000997342
          96    0.810616    0.798981 0.000994445
          97    0.794042     0.79893 0.000985495
          98    0.808519    0.799028 0.000980284
          99    0.789042    0.798927 0.000975558
         100    0.797119    0.798909  0.00096597
         101    0.798724    0.798907 0.000956408
         102    0.805734    0.798974  0.00094937
         103    0.798382    0.798968  0.00094017
         104    0.801733    0.798995 0.000931506
         105    0.786287    0.798874 0.000930463
         106    0.792865    0.798817  0.00092341
         107    0.802046    0.798847 0.000915273
         108    0.801569    0.798872 0.000907145
         109    0.788433    0.798777 0.000903864
         110    0.798883    0.798778 0.000895648
         111     0.80364    0.798821  0.00088865
         112     0.79181    0.798759 0.000882918
         113    0.798498    0.798756 0.000875107
         114     0.81291    0.798881 0.000876193
         115    0.794167     0.79884 0.000869532
         116    0.796454    0.798819 0.000862279
         117    0.804283    0.798866 0.000856173
         118    0.805027    0.798918 0.000850508
         119     0.78561    0.798806 0.000850682
         120    0.806393    0.798869 0.000845939
         121    0.792562    0.798817 0.000840552
         122    0.822109    0.799008 0.000855068
         123    0.782335    0.798873 0.000858795
         124    0.801088     0.79889 0.000852055
         125    0.804996    0.798939 0.000846637
         126    0.811555    0.799039 0.000845817
         127    0.793018    0.798992 0.000840485
         128    0.801624    0.799013  0.00083417
         129    0.792025    0.798958  0.00082946
         130    0.785622    0.798856   0.0008294
         131    0.803744    0.798893 0.000823908
         132    0.800683    0.798907 0.000817777
         133    0.794036     0.79887 0.000812448
         134    0.795772    0.798847 0.000806714
         135    0.804167    0.798886 0.000801701
         136     0.79603    0.798865 0.000796081
         137     0.78691    0.798778 0.000795038
         138    0.813032    0.798881 0.000795959
         139    0.799526    0.798886 0.000790246
         140    0.782499    0.798769 0.000793223
         141    0.799756    0.798776 0.000787628
         142    0.796587    0.798761 0.000782232
         143    0.805609    0.798808 0.000778227
         144    0.796488    0.798792 0.000772989
         145    0.795607     0.79877  0.00076797
         146    0.798771     0.79877  0.00076271
         147    0.798786    0.798771 0.000757522
         148    0.786261    0.798686 0.000757104
         149    0.823637    0.798853 0.000770319
         150    0.795551    0.798831 0.000765498
         151    0.810563    0.798909 0.000764361
         152    0.795888    0.798889 0.000759591
         153    0.799135    0.798891 0.000754628
         154    0.802053    0.798911 0.000750007
         155     0.78834    0.798843 0.000748262
         156    0.797872    0.798837 0.000743492
         157    0.802125    0.798858 0.000739051
         158    0.804483    0.798893  0.00073523
         159    0.806573    0.798942 0.000732191
         160    0.796586    0.798927 0.000727763
         161    0.794773    0.798901   0.0007237
         162    0.791388    0.798855 0.000720717
         163    0.794221    0.798826 0.000716856
         164    0.812041    0.798907 0.000716999
         165    0.793767    0.798876  0.00071333
         166     0.80376    0.798905 0.000709639
         167    0.791972    0.798864 0.000706603
         168    0.814957     0.79896 0.000708861
         169    0.790953    0.798912 0.000706248
         170    0.798281    0.798908 0.000702103
         171    0.797196    0.798898 0.000698069
         172     0.79083    0.798852 0.000695585
         173    0.777658    0.798729 0.000702269
         174     0.81012    0.798795 0.000701278
         175    0.793264    0.798763 0.000697982
         176    0.799361    0.798766 0.000694024
         177    0.802851    0.798789 0.000690487
         178     0.79603    0.798774 0.000686782
         179    0.803865    0.798802 0.000683534
         180      0.7908    0.798758  0.00068118
         181       0.801     0.79877  0.00067753
         182     0.80444    0.798801 0.000674523
         183    0.788966    0.798748 0.000672975
         184     0.79769    0.798742 0.000669342
         185    0.801525    0.798757 0.000665893
         186    0.799809    0.798763 0.000662337
         187    0.795332    0.798744 0.000659049
         188    0.792852    0.798713 0.000656288
         189    0.802767    0.798734 0.000653166
         190    0.804325    0.798764 0.000650391
         191    0.809592    0.798821 0.000649452
         192    0.783366     0.79874 0.000651039
         193    0.789401    0.798692 0.000649461
         194    0.811592    0.798758 0.000649509
         195    0.790509    0.798716 0.000647554
         196    0.803994    0.798743  0.00064481
         197    0.806992    0.798785 0.000642895
         198    0.801727    0.798799  0.00063982
         199    0.794754    0.798779 0.000636927
         200    0.795194    0.798761 0.000633995
         201    0.805943    0.798797 0.000631847
         202    0.794745    0.798777 0.000629037
         203    0.807747    0.798821 0.000627489
         204    0.804011    0.798847 0.000624928
         205    0.803921    0.798871  0.00062237
         206    0.796636     0.79886 0.000619443
         207    0.794165    0.798838 0.000616866
         208    0.807174    0.798878 0.000615201
         209     0.80068    0.798886 0.000612318
         210    0.806977    0.798925 0.000610613
         211    0.808295    0.798969 0.000609332
         212    0.787853    0.798917  0.00060871
         213    0.800088    0.798922 0.000605877
         214    0.795325    0.798906 0.000603279
         215    0.789752    0.798863 0.000601973
         216    0.821933     0.79897 0.000608587
         217    0.785601    0.798908 0.000608893
         218     0.79327    0.798882 0.000606649
         219    0.796603    0.798872 0.000603968
         220     0.81852    0.798961  0.00060779
         221    0.794419    0.798941 0.000605388
         222    0.800929     0.79895 0.000602727
         223    0.783315     0.79888 0.000604088
         224    0.800235    0.798886 0.000601421
         225    0.805817    0.798916 0.000599537
         226    0.791985    0.798886 0.000597668
         227    0.799793     0.79889 0.000595048
         228    0.805069    0.798917 0.000593055
         229    0.797912    0.798912 0.000590482
         230    0.780372    0.798832 0.000593391
         231    0.806214    0.798864 0.000591683
         232    0.794459    0.798845 0.000589437
         233    0.793786    0.798823 0.000587307
         234    0.790154    0.798786 0.000585964
         235    0.809881    0.798833  0.00058537
         236    0.796304    0.798823 0.000582987
         237     0.81205    0.798878 0.000583193
         238    0.790129    0.798842   0.0005819
         239    0.794847    0.798825 0.000579705
         240    0.789047    0.798784  0.00057872
         241    0.794591    0.798767  0.00057658
         242    0.806531    0.798799 0.000575089
         243    0.792072    0.798771 0.000573389
         244    0.784177    0.798711  0.00057415
         245    0.792008    0.798684 0.000572458
         246    0.798222    0.798682 0.000570134
         247    0.798241     0.79868 0.000567828
         248    0.802221    0.798695 0.000565718
         249    0.800184    0.798701 0.000563478
         250    0.801392    0.798711 0.000561327
         251     0.79448    0.798695 0.000559344
         252    0.809911    0.798739 0.000558892
         253    0.795398    0.798726 0.000556839
         254     0.79887    0.798726 0.000554647
         255    0.789153    0.798689 0.000553741
         256    0.792801    0.798666 0.000552056
         257    0.800555    0.798673 0.000549956
         258    0.815867     0.79874 0.000551848
         259    0.802355    0.798754 0.000549894
         260    0.788579    0.798715 0.000549169
         261    0.788502    0.798676 0.000548457
         262     0.80501      0.7987 0.000546897
         263    0.811334    0.798748 0.000546923
         264    0.791987    0.798722 0.000545451
         265    0.792199    0.798698 0.000543947
         266    0.804109    0.798718 0.000542283
         267    0.799803    0.798722 0.000540267
         268    0.791891    0.798696 0.000538852
         269    0.796715    0.798689 0.000536899
         270    0.808616    0.798726 0.000536168
         271    0.787374    0.798684 0.000535823
         272     0.80745    0.798716 0.000534822
         273    0.794008    0.798699 0.000533141
         274    0.809532    0.798738 0.000532659
         275    0.787704    0.798698 0.000532231
         276    0.787011    0.798656 0.000531985
         277    0.801244    0.798665 0.000530146
         278    0.816934    0.798731 0.000532297
         279    0.785172    0.798682 0.000532603
         280     0.80336    0.798699 0.000530962
         281    0.807498     0.79873 0.000529995
