#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46422    -5.46422           0
           2     -5.4629    -5.46356 0.000468353
           3    -5.46336    -5.46349 0.000317021
           4     -5.4633    -5.46344 0.000241533
           5    -5.46309    -5.46337 0.000203413
           6    -5.46233     -5.4632 0.000232591
           7     -5.4635    -5.46324  0.00020323
           8    -5.46455     -5.4634  0.00023477
           9    -5.46549    -5.46364 0.000302057
          10    -5.46431     -5.4637 0.000279283
          11    -5.46358    -5.46369 0.000254133
          12    -5.46267    -5.46361 0.000246829
          13    -5.46502    -5.46372 0.000250738
          14    -5.46326    -5.46368  0.00023497
          15    -5.46679    -5.46389 0.000296808
          16    -5.46421    -5.46391 0.000278932
          17    -5.46574    -5.46402 0.000282614
          18    -5.46422    -5.46403 0.000267129
          19    -5.46498    -5.46408 0.000257741
          20    -5.46456     -5.4641  0.00024599
          21    -5.46252    -5.46403 0.000245612
          22    -5.46367    -5.46401 0.000234994
          23    -5.46473    -5.46404 0.000226876
          24    -5.46315      -5.464  0.00022046
          25    -5.46512    -5.46405 0.000216125
          26    -5.46383    -5.46404 0.000207983
          27    -5.46268    -5.46399 0.000206331
          28    -5.46417      -5.464 0.000199065
          29    -5.46484    -5.46403 0.000194316
          30    -5.46573    -5.46408 0.000196005
          31    -5.46607    -5.46415 0.000199911
          32    -5.46433    -5.46415 0.000193743
          33    -5.46621    -5.46422 0.000197649
          34    -5.46414    -5.46421 0.000191847
          35     -5.4643    -5.46422 0.000186382
          36    -5.46357     -5.4642 0.000182059
          37    -5.46296    -5.46416 0.000180198
          38    -5.46452    -5.46417 0.000175695
          39    -5.46197    -5.46412 0.000180073
          40    -5.46508    -5.46414 0.000177179
          41    -5.46474    -5.46416  0.00017346
          42    -5.46272    -5.46412 0.000172686
          43    -5.46283    -5.46409 0.000171274
          44    -5.46481    -5.46411 0.000168168
          45    -5.46409    -5.46411 0.000164431
          46    -5.46369     -5.4641 0.000161109
          47    -5.46368    -5.46409 0.000157928
          48    -5.46395    -5.46409 0.000154665
          49    -5.46376    -5.46408 0.000151651
          50    -5.46285    -5.46406 0.000150609
          51    -5.46424    -5.46406   0.0001477
          52    -5.46332    -5.46404  0.00014555
          53    -5.46488    -5.46406 0.000143662
          54    -5.46201    -5.46402 0.000145945
          55    -5.46297      -5.464  0.00014454
          56     -5.4648    -5.46402 0.000142662
          57    -5.46283      -5.464 0.000141666
          58    -5.46439      -5.464 0.000139386
          59     -5.4645    -5.46401 0.000137277
          60    -5.46298    -5.46399 0.000136061
          61     -5.4613    -5.46395 0.000140818
          62    -5.46272    -5.46393 0.000139946
          63    -5.46367    -5.46393 0.000137784
          64    -5.46371    -5.46392 0.000135672
          65    -5.46317    -5.46391 0.000134083
          66    -5.46321     -5.4639 0.000132474
          67    -5.46384     -5.4639 0.000130501
          68    -5.46556    -5.46392 0.000130858
          69    -5.46522    -5.46394 0.000130294
          70     -5.4629    -5.46393 0.000129289
          71    -5.46416    -5.46393  0.00012751
          72    -5.46493    -5.46395 0.000126487
          73    -5.46373    -5.46394 0.000124788
          74    -5.46413    -5.46394 0.000123126
          75    -5.46297    -5.46393  0.00012217
          76    -5.46494    -5.46395 0.000121275
          77    -5.46486    -5.46396  0.00012028
          78     -5.4644    -5.46396 0.000118875
          79    -5.46409    -5.46396  0.00011738
          80    -5.46414    -5.46397 0.000115934
          81    -5.46289    -5.46395 0.000115269
          82    -5.46361    -5.46395 0.000113937
          83    -5.46396    -5.46395 0.000112565
          84    -5.46193    -5.46393 0.000113762
          85    -5.46498    -5.46394 0.000113095
          86    -5.46467    -5.46395 0.000112101
          87    -5.46288    -5.46393 0.000111483
          88     -5.4652    -5.46395 0.000111141
          89    -5.46619    -5.46397  0.00011271
          90    -5.46447    -5.46398  0.00011159
          91    -5.46359    -5.46397 0.000110445
          92    -5.46539    -5.46399 0.000110308
          93     -5.4647      -5.464 0.000109382
          94    -5.46377      -5.464 0.000108247
          95    -5.46329    -5.46399 0.000107361
          96    -5.46466    -5.46399 0.000106468
          97     -5.4656    -5.46401 0.000106645
          98    -5.46366    -5.46401 0.000105618
          99    -5.46287      -5.464 0.000105172
         100    -5.46297    -5.46399 0.000104623
         101    -5.46399    -5.46399 0.000103587
         102    -5.46322    -5.46398 0.000102843
         103    -5.46302    -5.46397 0.000102267
         104    -5.46463    -5.46398 0.000101479
         105    -5.46421    -5.46398 0.000100537
         106    -5.46288    -5.46397 0.000100117
         107    -5.46505    -5.46398 9.96937e-05
         108     -5.4647    -5.46398 9.89941e-05
         109    -5.46662    -5.46401 0.000100986
         110    -5.46584    -5.46402 0.000101425
         111    -5.46307    -5.46402 0.000100875
         112     -5.4632    -5.46401 0.000100238
         113    -5.46379    -5.46401 9.93701e-05
         114    -5.46543    -5.46402 9.92794e-05
         115    -5.46271    -5.46401 9.90651e-05
         116    -5.46536    -5.46402 9.88907e-05
         117    -5.46503    -5.46403 9.84194e-05
         118     -5.4629    -5.46402 9.80519e-05
         119    -5.46304    -5.46401 9.75729e-05
         120    -5.46328      -5.464 9.69517e-05
         121    -5.46346      -5.464 9.62537e-05
         122    -5.46599    -5.46402 9.68407e-05
         123    -5.46399    -5.46402 9.60537e-05
         124    -5.46247      -5.464 9.60886e-05
         125    -5.46297      -5.464 9.56752e-05
         126     -5.4652      -5.464 9.53933e-05
         127    -5.46453    -5.46401 9.47322e-05
         128     -5.4638    -5.46401 9.40055e-05
         129    -5.46338      -5.464 9.34037e-05
         130     -5.4641      -5.464  9.2688e-05
         131    -5.46555    -5.46401 9.27304e-05
         132    -5.46406    -5.46402 9.20286e-05
         133    -5.46317    -5.46401 9.15532e-05
         134    -5.46367    -5.46401 9.09046e-05
         135    -5.46455    -5.46401  9.0319e-05
         136    -5.46367    -5.46401 8.96888e-05
         137    -5.46351      -5.464 8.91083e-05
         138    -5.46521    -5.46401 8.88912e-05
         139    -5.46361    -5.46401 8.82983e-05
         140    -5.46182    -5.46399 8.90396e-05
         141    -5.46328    -5.46399  8.8553e-05
         142    -5.46357    -5.46399 8.79781e-05
         143    -5.46318    -5.46398 8.75419e-05
         144    -5.46219    -5.46397 8.78103e-05
         145    -5.46475    -5.46397 8.73701e-05
         146    -5.46473    -5.46398 8.69234e-05
         147    -5.46362    -5.46398 8.63667e-05
         148     -5.4631    -5.46397 8.59844e-05
         149    -5.46578    -5.46398 8.62605e-05
         150    -5.46412    -5.46398 8.56906e-05
         151     -5.4655    -5.46399 8.57075e-05
         152    -5.46319    -5.46399  8.5308e-05
         153    -5.46549      -5.464 8.53116e-05
         154    -5.46493      -5.464 8.49737e-05
         155    -5.46381      -5.464 8.44345e-05
         156    -5.46319      -5.464 8.40548e-05
         157     -5.4648      -5.464  8.3673e-05
         158    -5.46477    -5.46401 8.32825e-05
         159    -5.46582    -5.46402 8.35381e-05
         160    -5.46355    -5.46402 8.30679e-05
         161     -5.4625    -5.46401 8.30869e-05
         162    -5.46179    -5.46399 8.36976e-05
         163    -5.46333    -5.46399 8.32819e-05
         164    -5.46484    -5.46399 8.29341e-05
         165    -5.46479      -5.464  8.2571e-05
         166    -5.46365      -5.464 8.21006e-05
         167    -5.46304    -5.46399 8.18095e-05
         168    -5.46448    -5.46399 8.13737e-05
         169    -5.46358    -5.46399 8.09298e-05
         170    -5.46537      -5.464 8.08615e-05
         171    -5.46334      -5.464 8.04794e-05
         172    -5.46302    -5.46399 8.02128e-05
         173    -5.46278    -5.46398 8.00548e-05
         174    -5.46283    -5.46398 7.98664e-05
         175    -5.46345    -5.46397 7.94666e-05
         176    -5.46583    -5.46398 7.97139e-05
         177    -5.46514    -5.46399 7.95318e-05
         178    -5.46458    -5.46399 7.91529e-05
         179    -5.46458      -5.464 7.87781e-05
         180    -5.46384      -5.464 7.83455e-05
         181    -5.46334    -5.46399 7.79953e-05
         182    -5.46444      -5.464 7.76063e-05
         183     -5.4635    -5.46399 7.72289e-05
         184    -5.46586      -5.464 7.74714e-05
         185    -5.46381      -5.464   7.706e-05
         186    -5.46417      -5.464  7.6651e-05
         187    -5.46302      -5.464  7.6421e-05
         188    -5.46499      -5.464 7.61977e-05
         189    -5.46175    -5.46399 7.67193e-05
         190    -5.46324    -5.46399 7.64171e-05
         191    -5.46217    -5.46398 7.66072e-05
         192    -5.46228    -5.46397 7.67178e-05
         193    -5.46331    -5.46396 7.63953e-05
         194    -5.46516    -5.46397 7.62508e-05
         195    -5.46292    -5.46397 7.60513e-05
         196    -5.46426    -5.46397 7.56779e-05
         197    -5.46564    -5.46398 7.57712e-05
         198    -5.46347    -5.46397 7.54307e-05
         199    -5.46619    -5.46398 7.58694e-05
         200    -5.46431    -5.46399  7.5508e-05
         201    -5.46476    -5.46399 7.52297e-05
         202    -5.46281    -5.46398 7.50839e-05
         203     -5.4655    -5.46399  7.5084e-05
         204    -5.46586      -5.464  7.5272e-05
         205    -5.46549    -5.46401 7.52542e-05
         206    -5.46457    -5.46401 7.49379e-05
         207    -5.46353    -5.46401 7.46117e-05
         208    -5.46308      -5.464 7.43859e-05
         209    -5.46427    -5.46401  7.4041e-05
         210    -5.46374      -5.464 7.36989e-05
         211    -5.46308      -5.464 7.34809e-05
         212    -5.46489      -5.464 7.32546e-05
         213    -5.46394      -5.464 7.29113e-05
         214    -5.46358      -5.464 7.25981e-05
         215    -5.46409      -5.464 7.22615e-05
         216    -5.46481    -5.46401 7.20238e-05
         217    -5.46499    -5.46401 7.18336e-05
         218    -5.46356    -5.46401 7.15339e-05
         219    -5.46304      -5.464 7.13443e-05
         220    -5.46443    -5.46401 7.10469e-05
         221    -5.46295      -5.464 7.08849e-05
         222    -5.46568    -5.46401 7.09669e-05
         223    -5.46392    -5.46401 7.06498e-05
         224    -5.46399    -5.46401 7.03344e-05
         225    -5.46568    -5.46402 7.04142e-05
         226    -5.46415    -5.46402 7.01052e-05
         227    -5.46404    -5.46402 6.97964e-05
         228    -5.46388    -5.46402 6.94928e-05
         229    -5.46324    -5.46401 6.92711e-05
         230    -5.46142      -5.464 6.98809e-05
         231    -5.46317      -5.464 6.96716e-05
         232    -5.46335    -5.46399 6.94266e-05
         233    -5.46336    -5.46399  6.9182e-05
         234    -5.46494      -5.464 6.90039e-05
         235    -5.46448      -5.464 6.87414e-05
         236    -5.46571      -5.464 6.88327e-05
         237     -5.4628      -5.464 6.87302e-05
         238     -5.4629      -5.464 6.85967e-05
         239    -5.46363    -5.46399 6.83271e-05
         240    -5.46365    -5.46399 6.80576e-05
         241    -5.46307    -5.46399 6.78836e-05
         242    -5.46297    -5.46398 6.77332e-05
         243    -5.46225    -5.46398 6.78295e-05
         244    -5.46162    -5.46397 6.82359e-05
         245    -5.46284    -5.46396 6.81132e-05
         246    -5.46274    -5.46396 6.80173e-05
         247    -5.46376    -5.46396 6.77465e-05
         248    -5.46016    -5.46394 6.91812e-05
         249    -5.46449    -5.46394 6.89388e-05
         250    -5.46533    -5.46395 6.88842e-05
         251    -5.46397    -5.46395 6.86098e-05
         252    -5.46433    -5.46395 6.83538e-05
         253    -5.46395    -5.46395 6.80836e-05
         254    -5.46315    -5.46395 6.78877e-05
         255    -5.46394    -5.46395 6.76215e-05
         256    -5.46214    -5.46394 6.77238e-05
         257    -5.46372    -5.46394 6.74656e-05
         258    -5.46484    -5.46394 6.72934e-05
         259    -5.46361    -5.46394  6.7046e-05
         260    -5.46467    -5.46394 6.68468e-05
         261    -5.46366    -5.46394 6.65996e-05
         262    -5.46486    -5.46395 6.64367e-05
         263    -5.46434    -5.46395 6.62009e-05
         264    -5.46391    -5.46395 6.59503e-05
         265    -5.46259    -5.46394 6.59013e-05
         266    -5.46353    -5.46394 6.56724e-05
         267    -5.46306    -5.46394 6.55089e-05
         268    -5.46264    -5.46393 6.54438e-05
         269    -5.46293    -5.46393 6.53071e-05
         270    -5.46451    -5.46393 6.51004e-05
         271    -5.46388    -5.46393 6.48604e-05
         272    -5.46327    -5.46393 6.46681e-05
         273    -5.46529    -5.46393 6.46243e-05
         274    -5.46268    -5.46393 6.45514e-05
         275    -5.46343    -5.46393  6.4342e-05
         276    -5.46204    -5.46392 6.44698e-05
         277    -5.46475    -5.46392 6.43067e-05
         278    -5.46407    -5.46392 6.40774e-05
         279    -5.46425    -5.46393 6.38582e-05
         280    -5.46462    -5.46393 6.36781e-05
         281    -5.46518    -5.46393 6.36065e-05
         282    -5.46329    -5.46393 6.34224e-05
         283    -5.46555    -5.46394 6.34549e-05
         284    -5.46464    -5.46394 6.32799e-05
         285    -5.46518    -5.46394 6.32072e-05
         286      -5.464    -5.46394 6.29864e-05
         287    -5.46376    -5.46394 6.27703e-05
         288    -5.46356    -5.46394 6.25666e-05
         289    -5.46227    -5.46394 6.26153e-05
         290    -5.46381    -5.46394 6.24009e-05
         291    -5.46288    -5.46393 6.22915e-05
         292    -5.46483    -5.46393 6.21543e-05
         293    -5.46425    -5.46394 6.19515e-05
         294     -5.4639    -5.46394 6.17409e-05
