#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0338643  -0.0338643           0
           2  -0.0493025  -0.0415834  0.00545824
           3   -0.102598  -0.0619217   0.0170001
           4   -0.184661  -0.0926064   0.0294742
           5   -0.240785   -0.122242   0.0354769
           6   -0.267556   -0.146461   0.0369166
           7   -0.290441    -0.16703   0.0369309
           8   -0.309394   -0.184825     0.03635
           9   -0.331364   -0.201107   0.0357723
          10   -0.376392   -0.218636    0.036236
          11   -0.389881   -0.234203   0.0361315
          12   -0.371381   -0.245635   0.0348821
          13    -0.36098   -0.254508   0.0333081
          14   -0.358972   -0.261969   0.0317538
          15   -0.348382    -0.26773   0.0301549
          16   -0.355861   -0.273238   0.0287689
          17    -0.33976   -0.277151   0.0273414
          18   -0.349053   -0.281146   0.0261126
          19   -0.369724   -0.285808    0.025151
          20   -0.366481   -0.289842   0.0242148
          21    -0.37051   -0.293683   0.0233644
          22   -0.418261   -0.299346   0.0229783
          23   -0.422784   -0.304712   0.0225973
          24   -0.403344   -0.308822   0.0220263
          25   -0.402969   -0.312588   0.0214648
          26   -0.394633   -0.315744   0.0208699
          27   -0.371849   -0.317822   0.0202001
          28   -0.359193   -0.319299   0.0195326
          29    -0.34535   -0.320197   0.0188797
          30   -0.333779    -0.32065   0.0182558
          31   -0.330432   -0.320966   0.0176697
          32   -0.342961   -0.321653   0.0171308
          33   -0.373889   -0.323236   0.0166847
          34   -0.370397   -0.324623   0.0162515
          35   -0.376613   -0.326108   0.0158549
          36   -0.388637   -0.327845   0.0155094
          37   -0.420634   -0.330353   0.0152916
          38   -0.447164   -0.333427    0.015195
          39   -0.452967   -0.336492   0.0151114
          40   -0.443837   -0.339176     0.01497
          41   -0.461931    -0.34217   0.0149013
          42    -0.46766   -0.345158    0.014843
          43   -0.479395    -0.34828   0.0148225
          44   -0.462666   -0.350879   0.0147118
          45    -0.45378   -0.353166   0.0145615
          46   -0.432808   -0.354897   0.0143475
          47   -0.419133   -0.356264   0.0141072
          48   -0.423468   -0.357664   0.0138826
          49   -0.397323   -0.358473   0.0136229
          50    -0.38511   -0.359006   0.0133608
          51   -0.385426   -0.359524   0.0131089
          52    -0.40355   -0.360371   0.0128841
          53   -0.458464   -0.362222   0.0127732
          54   -0.493981   -0.364662   0.0127676
          55   -0.522002   -0.367522    0.012852
          56   -0.492653   -0.369757   0.0128153
          57   -0.435709   -0.370914   0.0126425
          58   -0.405456   -0.371509   0.0124386
          59   -0.389401   -0.371813   0.0122315
          60   -0.396591   -0.372226   0.0120346
          61   -0.435561   -0.373264    0.011882
          62   -0.441462   -0.374364   0.0117412
          63   -0.449614   -0.375558   0.0116154
          64   -0.453381   -0.376774   0.0114974
          65   -0.438135   -0.377718   0.0113592
          66   -0.452196   -0.378847    0.011243
          67   -0.479695   -0.380352   0.0111755
          68   -0.461917   -0.381551   0.0110753
          69   -0.469892   -0.382832   0.0109885
          70   -0.440184   -0.383651   0.0108621
          71   -0.406107   -0.383967   0.0107137
          72   -0.425078   -0.384538   0.0105801
          73   -0.417959   -0.384996   0.0104451
          74    -0.43859    -0.38572    0.010329
          75   -0.462966    -0.38675   0.0102425
          76   -0.469976   -0.387845   0.0101661
          77   -0.451225   -0.388669   0.0100673
          78    -0.39382   -0.388735  0.00993848
          79   -0.373455   -0.388541  0.00981456
          80   -0.395785   -0.388632  0.00969229
          81   -0.411693   -0.388916  0.00957681
          82    -0.40546   -0.389118  0.00946215
          83    -0.44087   -0.389742  0.00936867
          84   -0.448492   -0.390441  0.00928321
          85   -0.424438   -0.390841   0.0091826
          86   -0.382835   -0.390748   0.0090763
          87   -0.363147   -0.390431  0.00897752
          88   -0.372252   -0.390224  0.00887788
          89   -0.398569   -0.390318  0.00877862
          90   -0.401063   -0.390437  0.00868189
          91   -0.399782    -0.39054   0.0085871
          92   -0.385077   -0.390481  0.00849396
          93   -0.397309   -0.390554  0.00840295
          94   -0.408954    -0.39075  0.00831583
          95   -0.413449   -0.390989  0.00823173
          96   -0.425246   -0.391346  0.00815371
          97   -0.410286   -0.391541  0.00807199
          98   -0.472556   -0.392368  0.00803185
          99   -0.503832   -0.393493  0.00802924
         100    -0.50469   -0.394605  0.00802558
         101    -0.45497   -0.395203  0.00796834
         102   -0.431282   -0.395557  0.00789807
         103   -0.411604   -0.395713  0.00782292
         104   -0.384475   -0.395604  0.00774845
         105   -0.411638   -0.395757  0.00767616
         106   -0.419581   -0.395982  0.00760703
         107   -0.452576   -0.396511   0.0075543
         108   -0.428667   -0.396809  0.00749022
         109   -0.394043   -0.396783  0.00742155
         110   -0.363852   -0.396484  0.00736011
         111   -0.343364   -0.396005  0.00730935
         112   -0.341085   -0.395515  0.00726052
         113   -0.352007    -0.39513  0.00720647
         114   -0.335145   -0.394604  0.00716244
         115   -0.333845   -0.394075  0.00711961
         116   -0.394639    -0.39408  0.00705824
         117   -0.385883    -0.39401  0.00699826
         118   -0.367161   -0.393783  0.00694265
         119   -0.346002   -0.393381  0.00689591
         120   -0.382013   -0.393286  0.00683909
         121   -0.441743   -0.393687  0.00679429
         122   -0.442892    -0.39409  0.00675056
         123   -0.413861   -0.394251  0.00669759
         124   -0.414408   -0.394413  0.00664555
         125    -0.37888   -0.394289  0.00659355
         126   -0.405622   -0.394379  0.00654183
         127   -0.455823   -0.394863  0.00650818
         128   -0.481345   -0.395539  0.00649232
         129   -0.447358    -0.39594   0.0064544
         130   -0.429567   -0.396199  0.00640993
         131    -0.42401   -0.396411  0.00636452
         132   -0.435987   -0.396711  0.00632336
         133   -0.474414   -0.397295  0.00630275
         134   -0.492176   -0.398003  0.00629536
         135   -0.486798   -0.398661  0.00628299
         136   -0.460744   -0.399118  0.00625336
         137   -0.451811   -0.399502  0.00621953
         138   -0.470133   -0.400014  0.00619548
         139   -0.456764   -0.400422  0.00616435
         140   -0.434322   -0.400664  0.00612507
         141   -0.377104   -0.400497  0.00608391
         142   -0.382551   -0.400371  0.00604238
         143   -0.395744   -0.400339  0.00600021
         144   -0.377352   -0.400179  0.00596066
