#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.901216    0.901216           0
           2    0.911137    0.906177  0.00350745
           3    0.946513    0.919622   0.0112245
           4     1.00118    0.940012   0.0195621
           5     1.03867    0.959744   0.0235881
           6     1.05646    0.975863   0.0245543
           7     1.07178    0.989565   0.0245741
           8     1.08437     1.00142   0.0241915
           9       1.099     1.01226   0.0238099
          10     1.12905     1.02394    0.024124
          11     1.13811     1.03432   0.0240604
          12     1.12573     1.04194   0.0232301
          13     1.11875     1.04784   0.0221819
          14     1.11745     1.05282   0.0211474
          15     1.11031     1.05665    0.020082
          16     1.11533     1.06032   0.0191588
          17     1.10465     1.06292   0.0182084
          18     1.11075     1.06558   0.0173895
          19     1.12458     1.06869   0.0167493
          20     1.12241     1.07137   0.0161258
          21     1.12502     1.07393   0.0155589
          22     1.15686      1.0777   0.0153015
          23     1.16006     1.08128   0.0150494
          24     1.14695     1.08401    0.014669
          25     1.14681     1.08653   0.0142957
          26     1.14125     1.08863   0.0138999
          27     1.12603     1.09002   0.0134539
          28     1.11763       1.091   0.0130095
          29     1.10832      1.0916   0.0125746
          30     1.10065      1.0919   0.0121591
          31     1.09843     1.09211   0.0117687
          32     1.10661     1.09256   0.0114096
          33     1.12733     1.09362   0.0111124
          34       1.125     1.09454   0.0108238
          35     1.12911     1.09553   0.0105596
          36     1.13713     1.09668   0.0103293
          37     1.15846     1.09835   0.0101841
          38     1.17615      1.1004   0.0101198
          39     1.18005     1.10244   0.0100643
          40     1.17393     1.10423  0.00997011
          41     1.18599     1.10623  0.00992437
          42     1.18973     1.10821  0.00988523
          43     1.19759     1.11029  0.00987144
          44     1.18659     1.11203   0.0097982
          45     1.18043     1.11355  0.00969768
          46     1.16655      1.1147  0.00955507
          47     1.15746     1.11561  0.00939498
          48     1.16035     1.11654  0.00924537
          49     1.14287     1.11708  0.00907229
          50     1.13484     1.11743   0.0088978
          51     1.13489     1.11778  0.00872992
          52     1.14703     1.11834  0.00858014
          53     1.18363     1.11957  0.00850623
          54     1.20734     1.12119  0.00850258
          55     1.22605      1.1231  0.00855904
          56     1.20648     1.12459  0.00853473
          57      1.1686     1.12536  0.00841985
          58      1.1483     1.12576  0.00828396
          59      1.1376     1.12596  0.00814599
          60     1.14234     1.12623   0.0080148
          61     1.16834     1.12692  0.00791308
          62     1.17236     1.12765  0.00781931
          63     1.17772     1.12845  0.00773547
          64     1.18031     1.12926  0.00765693
          65     1.17019     1.12989  0.00756498
          66      1.1795     1.13064   0.0074876
          67     1.19783     1.13164   0.0074427
          68     1.18597     1.13244    0.007376
          69     1.19135      1.1333  0.00731834
          70      1.1716     1.13384  0.00723422
          71     1.14888     1.13406  0.00713542
          72     1.16149     1.13444  0.00704649
          73     1.15672     1.13474  0.00695657
          74     1.17055     1.13523  0.00687937
          75     1.18667     1.13591  0.00682176
          76     1.19148     1.13664  0.00677107
          77     1.17894     1.13719  0.00670538
          78     1.14073     1.13724  0.00661957
          79     1.12706     1.13711  0.00653703
          80     1.14184     1.13717  0.00645558
          81     1.15247     1.13736  0.00637865
          82     1.14838     1.13749  0.00630227
          83     1.17183      1.1379  0.00623991
          84     1.17699     1.13837  0.00618295
          85       1.161     1.13864  0.00611594
          86     1.13323     1.13857  0.00604515
          87     1.12014     1.13836  0.00597937
          88     1.12619     1.13822  0.00591303
          89     1.14367     1.13828   0.0058469
          90      1.1454     1.13836  0.00578247
          91     1.14451     1.13843  0.00571932
          92     1.13474     1.13839   0.0056573
          93      1.1429     1.13844  0.00559667
          94     1.15067     1.13857  0.00553865
          95     1.15365     1.13873  0.00548262
          96     1.16156     1.13897  0.00543066
          97      1.1515      1.1391  0.00537622
          98     1.19289     1.13964  0.00534931
          99     1.21385     1.14039  0.00534753
         100      1.2144     1.14113  0.00534501
         101     1.18129     1.14153  0.00530686
         102      1.1654     1.14177  0.00525999
         103     1.15242     1.14187  0.00520994
         104     1.13431      1.1418  0.00516035
         105     1.15239      1.1419  0.00511219
         106     1.15771     1.14205  0.00506613
         107     1.17984      1.1424  0.00503109
         108     1.16394      1.1426  0.00498845
         109      1.1408     1.14258  0.00494272
         110     1.12067     1.14238  0.00490179
         111     1.10703     1.14206  0.00486797
         112     1.10543     1.14174  0.00483549
         113     1.11276     1.14148  0.00479949
         114     1.10153     1.14113  0.00477017
         115     1.10051     1.14078  0.00474174
         116     1.14103     1.14078  0.00470087
         117     1.13529     1.14073  0.00466092
         118     1.12276     1.14058  0.00462391
         119     1.10867     1.14031  0.00459282
         120      1.1326     1.14025    0.004555
         121     1.17245     1.14051  0.00452512
         122     1.17331     1.14078  0.00449601
         123     1.15393     1.14089  0.00446073
         124     1.15427       1.141  0.00442606
         125     1.13049     1.14091  0.00439145
         126      1.1484     1.14097    0.004357
         127     1.18183     1.14129  0.00433455
         128     1.19892     1.14175    0.004324
         129     1.17636     1.14201   0.0042988
         130     1.16441     1.14219  0.00426918
         131     1.16069     1.14233  0.00423893
         132      1.1687     1.14253  0.00421153
         133     1.19428     1.14292   0.0041978
         134     1.20608     1.14339  0.00419285
         135     1.20259     1.14383  0.00418466
         136     1.18527     1.14413  0.00416498
         137     1.17926     1.14439  0.00414246
         138     1.19146     1.14473  0.00412646
         139     1.18251       1.145  0.00410572
         140     1.16774     1.14516   0.0040796
         141     1.12948     1.14505  0.00405219
         142     1.13304     1.14497  0.00402453
         143     1.14188     1.14494  0.00399645
         144     1.12963     1.14484  0.00397011
         145     1.13393     1.14476  0.00394344
         146     1.13061     1.14467  0.00391762
         147      1.1063     1.14441  0.00389965
         148     1.11041     1.14418  0.00388007
         149     1.14682     1.14419  0.00385407
         150     1.14993     1.14423  0.00382856
         151      1.1337     1.14416  0.00380384
         152     1.14026     1.14414   0.0037789
         153     1.14767     1.14416  0.00375427
         154     1.14694     1.14418  0.00372994
         155     1.18818     1.14446  0.00371666
         156     1.19767      1.1448  0.00370846
         157     1.17854     1.14502  0.00369105
         158     1.16553     1.14515  0.00366997
         159     1.14001     1.14511  0.00364704
         160     1.13673     1.14506  0.00362462
         161     1.14152     1.14504  0.00360217
         162     1.14642     1.14505  0.00357995
         163     1.14713     1.14506  0.00355801
         164     1.13958     1.14503  0.00353647
         165     1.13045     1.14494  0.00351614
         166     1.14878     1.14496  0.00349503
         167     1.15692     1.14503  0.00347484
         168     1.16675     1.14516  0.00345656
         169     1.15835     1.14524  0.00343699
         170     1.13705     1.14519  0.00341711
         171     1.12619     1.14508  0.00339893
         172     1.12004     1.14494  0.00338228
         173     1.12601     1.14483   0.0033645
         174     1.11746     1.14467  0.00334884
         175     1.09228     1.14437  0.00334306
         176     1.08437     1.14403   0.0033414
         177     1.07833     1.14366  0.00334307
         178     1.09232     1.14337   0.0033367
         179     1.12249     1.14325   0.0033201
         180      1.1337      1.1432  0.00330208
         181     1.10926     1.14301  0.00328916
         182      1.1084     1.14282  0.00327658
         183     1.11292     1.14266  0.00326275
         184     1.12788     1.14258    0.003246
         185     1.13249     1.14252  0.00322892
         186     1.13402     1.14248  0.00321188
         187     1.14893     1.14251  0.00319489
         188     1.15169     1.14256  0.00317827
         189      1.1475     1.14259  0.00316156
         190     1.13647     1.14256  0.00314508
         191     1.14076     1.14255  0.00312863
         192     1.15112     1.14259  0.00311265
         193     1.14964     1.14263  0.00309674
         194     1.15383     1.14269  0.00308132
         195     1.17913     1.14287  0.00307118
         196     1.17781     1.14305  0.00306068
         197     1.18019     1.14324  0.00305094
         198     1.19122     1.14348  0.00304514
         199     1.18653      1.1437  0.00303751
         200     1.17646     1.14386  0.00302674
         201     1.17561     1.14402   0.0030158
         202     1.14614     1.14403  0.00300089
         203     1.12631     1.14394  0.00298737
         204      1.1207     1.14383   0.0029749
         205     1.12865     1.14376  0.00296131
         206     1.13069     1.14369  0.00294761
         207     1.10699     1.14351   0.0029387
         208     1.09762     1.14329  0.00293285
         209     1.10783     1.14312  0.00292372
         210       1.118       1.143  0.00291224
         211     1.12615     1.14292  0.00289954
         212     1.13015     1.14286  0.00288649
         213     1.13513     1.14283  0.00287316
         214     1.13927     1.14281  0.00285978
         215     1.13624     1.14278  0.00284665
         216      1.1319     1.14273  0.00283391
         217     1.13159     1.14268  0.00282132
         218      1.1415     1.14267  0.00280838
         219     1.13282     1.14263  0.00279592
         220     1.16318     1.14272  0.00278477
         221     1.21359     1.14304  0.00279057
         222     1.20076      1.1433  0.00279009
         223     1.17907     1.14346  0.00278218
         224     1.15978     1.14354  0.00277072
         225     1.15871      1.1436  0.00275922
         226     1.17472     1.14374  0.00275045
         227     1.19455     1.14396  0.00274742
         228     1.19744      1.1442  0.00274537
         229     1.21855     1.14452  0.00275251
         230     1.23159      1.1449  0.00276645
         231     1.21902     1.14522  0.00277302
         232     1.20014     1.14546  0.00277115
         233     1.18618     1.14564  0.00276476
         234      1.1909     1.14583  0.00275971
         235     1.17241     1.14594  0.00275028
         236     1.16164     1.14601  0.00273943
         237     1.15574     1.14605  0.00272818
         238     1.13712     1.14601  0.00271698
         239      1.1412     1.14599  0.00270568
         240     1.17034     1.14609  0.00269631
         241     1.18209     1.14624  0.00268926
         242     1.17956     1.14638  0.00268167
         243     1.18475     1.14654  0.00267527
         244     1.17923     1.14667  0.00266766
         245     1.17976     1.14681  0.00266019
         246     1.19426       1.147  0.00265636
         247     1.19486     1.14719  0.00265266
         248      1.1847     1.14734  0.00264628
         249     1.16461     1.14741  0.00263656
         250     1.18531     1.14757  0.00263036
         251     1.18901     1.14773  0.00262506
         252     1.19052      1.1479  0.00262013
         253     1.20647     1.14813  0.00261998
         254     1.20322     1.14835  0.00261863
         255     1.20137     1.14856   0.0026166
         256     1.19394     1.14873  0.00261238
         257     1.19962     1.14893  0.00260971
         258     1.20304     1.14914  0.00260801
         259     1.20339     1.14935  0.00260633
         260     1.16885     1.14943  0.00259739
         261     1.17973     1.14954  0.00259003
         262     1.17667     1.14965  0.00258221
         263     1.18168     1.14977  0.00257527
         264     1.16917     1.14984  0.00256656
         265     1.16227     1.14989   0.0025573
         266     1.15746     1.14992  0.00254785
         267     1.14876     1.14991  0.00253831
         268     1.16833     1.14998  0.00252977
         269     1.18403     1.15011  0.00252353
         270     1.19411     1.15027  0.00251944
         271     1.19285     1.15043  0.00251504
         272     1.17055      1.1505  0.00250688
         273     1.17231     1.15058  0.00249897
         274     1.16423     1.15063  0.00249034
         275     1.13492     1.15057  0.00248194
         276     1.11263     1.15044  0.00247675
         277     1.11835     1.15032  0.00247052
         278     1.12431     1.15023   0.0024634
         279     1.13096     1.15016  0.00245554
         280     1.12708     1.15008  0.00244816
         281     1.14812     1.15007  0.00243945
         282     1.18468     1.15019  0.00243389
         283      1.1717     1.15027  0.00242647
         284     1.14858     1.15026  0.00241794
         285     1.16593     1.15032  0.00241008
         286     1.17955     1.15042  0.00240382
         287     1.20016     1.15059  0.00240169
         288     1.17869     1.15069  0.00239533
         289     1.14155     1.15066  0.00238725
         290     1.11197     1.15052  0.00238274
         291     1.10329     1.15036  0.00238007
         292      1.1227     1.15027  0.00237381
         293     1.12539     1.15018  0.00236723
         294     1.12169     1.15009  0.00236116
         295     1.10586     1.14994  0.00235791
         296     1.10757     1.14979  0.00235428
         297     1.11736     1.14968  0.00234889
         298     1.13324     1.14963  0.00234165
         299     1.15512     1.14965  0.00233389
         300     1.17175     1.14972  0.00232727
         301     1.17102     1.14979  0.00232062
         302      1.1829      1.1499  0.00231552
         303     1.17558     1.14999  0.00230943
         304     1.16561     1.15004  0.00230241
         305     1.15339     1.15005  0.00229488
         306     1.14256     1.15002  0.00228751
         307      1.1363     1.14998   0.0022805
         308     1.14987     1.14998   0.0022731
         309     1.12934     1.14991  0.00226672
         310     1.13823     1.14987  0.00225972
         311     1.13539     1.14983  0.00225294
         312     1.15025     1.14983  0.00224571
         313     1.16876     1.14989  0.00223935
         314     1.18984     1.15002  0.00223584
         315     1.16558     1.15007  0.00222928
         316     1.16292     1.15011   0.0022226
         317     1.17202     1.15018  0.00221666
         318     1.16976     1.15024  0.00221055
         319     1.14957     1.15024  0.00220362
         320     1.13591     1.15019  0.00219719
         321      1.1475     1.15018  0.00219036
         322      1.1659     1.15023   0.0021841
         323     1.19218     1.15036  0.00218119
         324     1.18792     1.15048  0.00217754
         325     1.19361     1.15061  0.00217488
         326     1.19301     1.15074   0.0021721
         327     1.20361      1.1509  0.00217146
         328     1.20894     1.15108  0.00217204
