#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.38187     1.38187           0
           2     1.39721     1.38954  0.00542343
           3     1.45157     1.41021   0.0172646
           4     1.53402     1.44117   0.0297692
           5     1.58821     1.47058   0.0354834
           6     1.61726     1.49502   0.0370464
           7     1.63768      1.5154   0.0369363
           8     1.65771     1.53319   0.0363514
           9     1.68131     1.54965   0.0358449
          10     1.72768     1.56745   0.0364141
          11     1.74324     1.58343   0.0364421
          12     1.71643     1.59452   0.0350502
          13     1.70277     1.60284   0.0333285
          14     1.70397     1.61007    0.031721
          15     1.72434     1.61768   0.0305074
          16     1.73011     1.62471   0.0293988
          17     1.73859     1.63141   0.0284224
          18     1.71565     1.63609    0.027226
          19     1.69388     1.63913   0.0259624
          20     1.68618     1.64148   0.0247706
          21     1.72209     1.64532   0.0238866
          22     1.77693      1.6513    0.023538
          23     1.79788     1.65768   0.0233614
          24     1.80892     1.66398   0.0232225
          25     1.78222     1.66871   0.0227701
          26      1.7519     1.67191    0.022118
          27     1.74616     1.67466   0.0214691
          28     1.71335     1.67604   0.0207468
          29     1.69099     1.67656   0.0200378
          30     1.68711     1.67691   0.0193729
          31      1.6861      1.6772   0.0187503
          32     1.69508     1.67776   0.0181726
          33     1.70286     1.67852   0.0176379
          34     1.71464     1.67959   0.0171511
          35     1.74887     1.68157   0.0167749
          36     1.77758     1.68423   0.0165196
          37     1.76262     1.68635   0.0162084
          38     1.77589     1.68871   0.0159522
          39     1.76128     1.69057   0.0156513
          40     1.72802      1.6915    0.015288
          41     1.71238     1.69201   0.0149236
          42        1.73     1.69292   0.0145957
          43     1.77863     1.69491   0.0143917
          44     1.79507     1.69719   0.0142435
          45     1.82486     1.70002   0.0142068
          46     1.82154     1.70267   0.0141414
          47     1.79077     1.70454   0.0139642
          48     1.80695     1.70667   0.0138353
          49      1.8329     1.70925   0.0137907
          50      1.8194     1.71145   0.0136897
          51     1.74944      1.7122   0.0134415
          52     1.72078     1.71236   0.0131841
          53     1.73236     1.71274   0.0129407
          54     1.74875     1.71341   0.0127182
          55     1.75929     1.71424   0.0125143
          56     1.77506     1.71533   0.0123379
          57     1.77279     1.71634   0.0121625
          58     1.75374     1.71698   0.0119699
          59     1.76667     1.71782   0.0117966
          60     1.76171     1.71855   0.0116227
          61     1.72497     1.71866   0.0114326
          62     1.72472     1.71876   0.0112486
          63      1.7379     1.71906   0.0110742
          64      1.7698     1.71985   0.0109295
          65     1.75613     1.72041   0.0107756
          66     1.74851     1.72084   0.0106207
          67     1.72847     1.72095   0.0104628
          68     1.73712     1.72119   0.0103117
          69     1.78455     1.72211    0.010203
          70     1.79061     1.72309   0.0101041
          71     1.78158     1.72391  0.00999531
          72     1.75146     1.72429  0.00986381
          73       1.756     1.72473  0.00973825
          74     1.80992     1.72588  0.00967446
          75     1.79648     1.72682  0.00959115
          76     1.76029     1.72726  0.00947506
          77     1.75867     1.72767  0.00936078
          78     1.77897     1.72833  0.00926385
          79     1.78014     1.72898  0.00916978
          80     1.82837     1.73022  0.00913893
          81     1.80092      1.7311  0.00906768
          82     1.75499     1.73139  0.00896178
          83     1.77321     1.73189  0.00886796
          84     1.78531     1.73253  0.00878516
          85     1.75274     1.73277  0.00868503
          86     1.73003     1.73273   0.0085841
          87     1.74365     1.73286  0.00848635
          88     1.74948     1.73305  0.00839201
          89     1.74846     1.73322  0.00829951
          90     1.74284     1.73333  0.00820798
          91     1.75653     1.73358  0.00812174
          92      1.7622     1.73389  0.00803941
          93     1.75117     1.73408  0.00795512
          94     1.74404     1.73419  0.00787119
          95     1.71002     1.73393  0.00779244
          96     1.70249      1.7336  0.00771815
          97     1.70315     1.73329  0.00764497
          98     1.69115     1.73286  0.00757904
          99     1.69391     1.73247  0.00751269
         100     1.68098     1.73195  0.00745519
         101      1.6777     1.73142   0.0074007
         102     1.67955     1.73091  0.00734559
         103     1.71989      1.7308  0.00727505
         104     1.73044      1.7308   0.0072051
         105     1.75768     1.73105  0.00714103
         106     1.76674     1.73139  0.00708159
         107     1.75297     1.73159  0.00701828
         108     1.73104     1.73159  0.00695329
         109     1.70208     1.73132  0.00689477
         110     1.69651       1.731  0.00683935
         111     1.72217     1.73092  0.00677819
         112     1.74504     1.73105  0.00671885
         113     1.76295     1.73133  0.00666532
         114     1.75727     1.73156  0.00661073
         115      1.7775     1.73195  0.00656531
         116     1.75813     1.73218  0.00651259
         117     1.76734     1.73248  0.00646386
         118     1.77093     1.73281  0.00641729
         119     1.76865     1.73311  0.00637042
         120     1.81243     1.73377  0.00635154
         121     1.81056      1.7344  0.00633068
         122     1.80626     1.73499  0.00630612
