#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.37795     1.37795           0
           2     1.37739     1.37767 0.000198473
           3     1.37715      1.3775 0.000193716
           4     1.37712      1.3774 0.000166586
           5     1.37724     1.37737 0.000136646
           6     1.37716     1.37733 0.000118467
           7     1.37715     1.37731 0.000104314
           8     1.37721      1.3773 9.20617e-05
           9     1.37713     1.37728 8.37595e-05
          10     1.37714     1.37726 7.65554e-05
          11      1.3773     1.37727 6.96782e-05
          12      1.3772     1.37726  6.4086e-05
          13     1.37715     1.37725 5.97394e-05
          14     1.37711     1.37724 5.62957e-05
          15     1.37714     1.37724 5.29213e-05
          16     1.37712     1.37723 5.00629e-05
          17     1.37705     1.37722 4.82542e-05
          18      1.3772     1.37722 4.55863e-05
          19     1.37712     1.37721 4.34899e-05
          20     1.37709     1.37721  4.1753e-05
          21     1.37707      1.3772 4.02321e-05
          22     1.37716      1.3772 3.84374e-05
          23     1.37718      1.3772 3.67778e-05
          24       1.377     1.37719 3.61597e-05
          25     1.37706     1.37718 3.50998e-05
          26     1.37726     1.37719 3.38728e-05
          27     1.37728     1.37719 3.28133e-05
          28     1.37706     1.37718 3.19628e-05
          29      1.3771     1.37718 3.09798e-05
          30      1.3773     1.37719 3.01983e-05
          31     1.37728     1.37719 2.93889e-05
          32     1.37719     1.37719 2.84706e-05
          33     1.37713     1.37719 2.76694e-05
          34     1.37707     1.37718 2.70752e-05
          35     1.37714     1.37718 2.63292e-05
          36      1.3771     1.37718 2.57091e-05
          37     1.37702     1.37718 2.53798e-05
          38     1.37722     1.37718 2.47436e-05
          39     1.37704     1.37717 2.43707e-05
          40     1.37687     1.37717  2.4879e-05
          41     1.37709     1.37716 2.43347e-05
          42     1.37703     1.37716 2.39537e-05
          43     1.37698     1.37716 2.37801e-05
          44     1.37697     1.37715 2.36095e-05
          45     1.37694     1.37715 2.35549e-05
          46     1.37698     1.37714 2.33262e-05
          47     1.37706     1.37714 2.28953e-05
          48     1.37698     1.37714 2.26578e-05
          49     1.37709     1.37714  2.2217e-05
          50     1.37706     1.37714 2.18304e-05
          51       1.377     1.37713  2.1571e-05
          52     1.37714     1.37713 2.11566e-05
          53     1.37683     1.37713 2.14991e-05
          54     1.37713     1.37713  2.1101e-05
          55     1.37699     1.37713 2.08697e-05
          56     1.37708     1.37713 2.05103e-05
          57     1.37685     1.37712 2.06918e-05
          58     1.37718     1.37712 2.03566e-05
          59     1.37687     1.37712 2.04383e-05
          60     1.37703     1.37712 2.01531e-05
          61     1.37722     1.37712 1.98917e-05
          62     1.37726     1.37712 1.97036e-05
          63     1.37706     1.37712 1.94159e-05
          64     1.37706     1.37712 1.91338e-05
          65     1.37692     1.37711 1.90767e-05
          66     1.37708     1.37711 1.87949e-05
          67     1.37701     1.37711 1.85822e-05
          68       1.377     1.37711 1.83819e-05
          69     1.37707     1.37711 1.81262e-05
          70     1.37703     1.37711 1.79025e-05
          71     1.37714     1.37711 1.76544e-05
          72     1.37703     1.37711 1.74427e-05
          73     1.37715     1.37711 1.72119e-05
          74     1.37721     1.37711 1.70282e-05
          75     1.37721     1.37711 1.68531e-05
          76     1.37715     1.37711 1.66404e-05
          77     1.37718     1.37711 1.64469e-05
          78     1.37723     1.37711 1.63086e-05
          79     1.37731     1.37712  1.6288e-05
          80     1.37728     1.37712 1.62153e-05
          81     1.37725     1.37712 1.60927e-05
          82     1.37717     1.37712 1.59077e-05
          83     1.37725     1.37712 1.57914e-05
          84     1.37721     1.37712 1.56341e-05
          85      1.3772     1.37712  1.5475e-05
          86     1.37722     1.37713 1.53352e-05
          87     1.37714     1.37713 1.51598e-05
          88     1.37719     1.37713 1.50029e-05
          89     1.37713     1.37713 1.48344e-05
          90     1.37714     1.37713 1.46707e-05
          91     1.37712     1.37713 1.45097e-05
          92     1.37716     1.37713 1.43562e-05
          93     1.37702     1.37713 1.42446e-05
          94     1.37702     1.37712 1.41348e-05
          95     1.37706     1.37712  1.4004e-05
          96     1.37711     1.37712 1.38589e-05
          97       1.377     1.37712 1.37727e-05
          98     1.37713     1.37712 1.36323e-05
          99     1.37697     1.37712 1.35785e-05
         100     1.37708     1.37712  1.3448e-05
         101     1.37695     1.37712 1.34189e-05
         102     1.37699     1.37712 1.33498e-05
         103     1.37709     1.37712  1.3223e-05
         104     1.37709     1.37712 1.30977e-05
         105     1.37698     1.37712  1.3038e-05
         106     1.37687     1.37711 1.31259e-05
         107     1.37696     1.37711  1.3085e-05
         108     1.37697     1.37711  1.3034e-05
         109     1.37696     1.37711 1.29898e-05
         110     1.37692     1.37711 1.29815e-05
         111     1.37694     1.37711 1.29548e-05
         112     1.37702     1.37711  1.2861e-05
         113       1.377      1.3771 1.27788e-05
         114     1.37702      1.3771  1.2687e-05
         115     1.37681      1.3771 1.28287e-05
         116     1.37686      1.3771 1.28901e-05
         117     1.37698      1.3771 1.28217e-05
         118     1.37689      1.3771 1.28295e-05
         119       1.377      1.3771 1.27466e-05
         120     1.37701      1.3771 1.26615e-05
         121     1.37686     1.37709 1.27065e-05
         122     1.37715     1.37709 1.26119e-05
         123     1.37714     1.37709 1.25142e-05
         124     1.37701     1.37709 1.24338e-05
         125     1.37699     1.37709 1.23633e-05
         126     1.37705     1.37709 1.22695e-05
         127     1.37702     1.37709 1.21872e-05
         128     1.37714     1.37709 1.20972e-05
         129     1.37697     1.37709 1.20374e-05
         130     1.37699     1.37709 1.19699e-05
         131     1.37697     1.37709  1.1915e-05
         132     1.37698     1.37709 1.18556e-05
         133     1.37689     1.37709  1.1863e-05
         134     1.37703     1.37709 1.17822e-05
         135     1.37693     1.37709 1.17528e-05
         136     1.37705     1.37708 1.16698e-05
         137     1.37697     1.37708 1.16139e-05
         138     1.37697     1.37708 1.15575e-05
         139     1.37716     1.37708 1.14876e-05
         140     1.37699     1.37708 1.14254e-05
         141     1.37701     1.37708 1.13547e-05
         142     1.37706     1.37708 1.12764e-05
         143     1.37697     1.37708 1.12267e-05
         144     1.37702     1.37708 1.11576e-05
         145     1.37702     1.37708 1.10883e-05
         146     1.37701     1.37708 1.10218e-05
         147     1.37718     1.37708 1.09685e-05
         148       1.377     1.37708 1.09066e-05
         149     1.37702     1.37708  1.0841e-05
         150     1.37716     1.37708 1.07805e-05
         151     1.37718     1.37708 1.07273e-05
         152      1.3771     1.37708 1.06577e-05
         153     1.37708     1.37708  1.0588e-05
         154     1.37698     1.37708 1.05411e-05
         155     1.37691     1.37708 1.05312e-05
         156     1.37689     1.37708 1.05315e-05
         157     1.37699     1.37708 1.04809e-05
         158     1.37692     1.37708 1.04591e-05
         159     1.37697     1.37708 1.04141e-05
         160     1.37686     1.37707 1.04368e-05
         161     1.37699     1.37707 1.03862e-05
         162     1.37701     1.37707 1.03303e-05
         163     1.37709     1.37707 1.02675e-05
         164     1.37693     1.37707 1.02436e-05
         165     1.37692     1.37707 1.02232e-05
         166     1.37707     1.37707 1.01616e-05
         167     1.37725     1.37707 1.01552e-05
         168     1.37715     1.37707  1.0105e-05
         169     1.37725     1.37707 1.00988e-05
         170     1.37706     1.37707 1.00397e-05
         171     1.37713     1.37707 9.98629e-06
         172      1.3771     1.37708 9.92919e-06
         173     1.37698     1.37707  9.8859e-06
         174     1.37705     1.37707 9.83002e-06
         175     1.37706     1.37707 9.77416e-06
         176     1.37691     1.37707 9.76049e-06
         177     1.37693     1.37707 9.73749e-06
         178     1.37695     1.37707 9.70671e-06
         179     1.37705     1.37707 9.65327e-06
         180     1.37707     1.37707 9.59964e-06
         181     1.37703     1.37707 9.54909e-06
         182     1.37699     1.37707 9.50627e-06
         183     1.37705     1.37707  9.4551e-06
         184     1.37701     1.37707  9.4098e-06
         185     1.37691     1.37707 9.39699e-06
         186     1.37704     1.37707 9.34795e-06
         187     1.37715     1.37707 9.30758e-06
         188     1.37705     1.37707 9.25871e-06
         189     1.37702     1.37707 9.21382e-06
         190     1.37715     1.37707 9.17409e-06
         191     1.37717     1.37707 9.13962e-06
         192     1.37703     1.37707 9.09397e-06
         193     1.37709     1.37707 9.04756e-06
         194     1.37718     1.37707 9.01721e-06
         195     1.37719     1.37707 8.99039e-06
         196     1.37735     1.37707 9.05319e-06
         197     1.37723     1.37707  9.0432e-06
         198     1.37721     1.37707 9.02373e-06
         199     1.37726     1.37708 9.02571e-06
         200     1.37726     1.37708 9.02764e-06
         201     1.37721     1.37708 9.00848e-06
         202      1.3772     1.37708 8.98445e-06
         203     1.37726     1.37708 8.98565e-06
         204     1.37726     1.37708 8.98643e-06
         205     1.37732     1.37708 9.02161e-06
         206     1.37728     1.37708 9.02828e-06
         207     1.37712     1.37708 8.98656e-06
         208     1.37714     1.37708 8.94764e-06
         209     1.37719     1.37708 8.91956e-06
         210     1.37712     1.37708  8.8789e-06
         211     1.37705     1.37708 8.83818e-06
         212     1.37701     1.37708 8.80386e-06
         213     1.37703     1.37708 8.76598e-06
         214     1.37699     1.37708 8.73523e-06
         215     1.37701     1.37708  8.7008e-06
         216     1.37698     1.37708 8.67228e-06
         217     1.37701     1.37708 8.63886e-06
         218     1.37714     1.37708 8.60416e-06
         219     1.37722     1.37708 8.58959e-06
         220     1.37723     1.37708 8.57579e-06
         221     1.37711     1.37708 8.53798e-06
         222     1.37715     1.37708 8.50504e-06
         223     1.37724     1.37708 8.49475e-06
         224       1.377     1.37708 8.46463e-06
         225     1.37702     1.37708 8.43104e-06
         226     1.37699     1.37708 8.40324e-06
         227     1.37695     1.37708 8.38719e-06
         228     1.37697     1.37708 8.36485e-06
         229     1.37707     1.37708 8.32844e-06
         230     1.37689     1.37708 8.33438e-06
         231      1.3769     1.37708 8.33645e-06
         232     1.37679     1.37708   8.394e-06
         233     1.37684     1.37708 8.41758e-06
         234     1.37674     1.37708 8.50425e-06
         235     1.37685     1.37707 8.52229e-06
         236     1.37676     1.37707 8.59176e-06
         237     1.37694     1.37707 8.57512e-06
         238     1.37698     1.37707 8.54752e-06
         239     1.37708     1.37707 8.51179e-06
         240     1.37701     1.37707 8.47975e-06
         241     1.37697     1.37707 8.45592e-06
         242     1.37711     1.37707 8.42225e-06
         243     1.37719     1.37707 8.40164e-06
         244     1.37708     1.37707 8.36727e-06
         245     1.37707     1.37707 8.33312e-06
         246     1.37707     1.37707 8.29928e-06
         247     1.37713     1.37707 8.26915e-06
         248     1.37721     1.37707 8.25364e-06
         249     1.37723     1.37707 8.24589e-06
         250       1.377     1.37707 8.21892e-06
         251     1.37707     1.37707  8.1862e-06
         252     1.37705     1.37707  8.1544e-06
         253     1.37721     1.37707 8.13916e-06
         254     1.37716     1.37707 8.11365e-06
         255     1.37716     1.37707 8.08865e-06
         256     1.37716     1.37708 8.06338e-06
         257     1.37725     1.37708 8.06233e-06
         258     1.37722     1.37708 8.05131e-06
         259     1.37704     1.37708 8.02179e-06
         260     1.37704     1.37708 7.99203e-06
         261     1.37713     1.37708 7.96454e-06
         262     1.37718     1.37708 7.94482e-06
         263     1.37705     1.37708 7.91539e-06
         264     1.37716     1.37708 7.89132e-06
         265     1.37698     1.37708  7.8702e-06
         266     1.37704     1.37708 7.84186e-06
         267     1.37705     1.37708  7.8131e-06
         268     1.37708     1.37708 7.78396e-06
         269     1.37701     1.37708 7.75903e-06
         270     1.37708     1.37708  7.7303e-06
         271     1.37702     1.37708 7.70472e-06
         272     1.37704     1.37708 7.67781e-06
         273     1.37711     1.37708 7.65054e-06
         274     1.37703     1.37708 7.62432e-06
         275     1.37704     1.37708 7.59784e-06
         276     1.37711     1.37708 7.57156e-06
         277     1.37703     1.37708 7.54637e-06
         278     1.37711     1.37708 7.52034e-06
         279     1.37704     1.37708 7.49479e-06
         280     1.37701     1.37708 7.47181e-06
         281     1.37709     1.37708 7.44539e-06
         282     1.37708     1.37708 7.41899e-06
         283     1.37706     1.37708 7.39289e-06
         284     1.37707     1.37708 7.36695e-06
         285     1.37714     1.37708 7.34498e-06
         286     1.37708     1.37708 7.31931e-06
         287     1.37707     1.37708 7.29383e-06
         288     1.37718     1.37708 7.27748e-06
         289     1.37714     1.37708 7.25591e-06
         290     1.37717     1.37708 7.23855e-06
         291     1.37709     1.37708 7.21375e-06
         292     1.37714     1.37708 7.19277e-06
         293     1.37717     1.37708  7.1755e-06
         294     1.37722     1.37708 7.16824e-06
         295     1.37721     1.37708 7.15717e-06
         296     1.37709     1.37708 7.13314e-06
         297     1.37724     1.37708 7.13102e-06
         298     1.37724     1.37708 7.12668e-06
         299     1.37708     1.37708 7.10285e-06
         300       1.377     1.37708 7.08397e-06
         301     1.37703     1.37708 7.06239e-06
         302     1.37719     1.37708 7.04911e-06
         303     1.37707     1.37708 7.02589e-06
         304     1.37723     1.37708 7.02081e-06
         305     1.37702     1.37708 7.00057e-06
         306     1.37711     1.37708 6.97844e-06
         307     1.37727     1.37708 6.98256e-06
         308     1.37723     1.37708 6.97681e-06
         309     1.37704     1.37708 6.95522e-06
         310     1.37712     1.37708 6.93389e-06
         311     1.37713     1.37708 6.91345e-06
         312     1.37724     1.37708  6.9094e-06
         313     1.37714     1.37708 6.88992e-06
         314     1.37714     1.37708  6.8705e-06
         315     1.37717     1.37708 6.85411e-06
         316     1.37718     1.37708 6.83944e-06
         317     1.37701     1.37708 6.82152e-06
         318      1.3771     1.37708 6.80037e-06
         319     1.37735     1.37708 6.83108e-06
         320     1.37722     1.37708 6.82236e-06
         321     1.37721     1.37708 6.81321e-06
         322     1.37719     1.37708 6.80018e-06
         323     1.37712     1.37708 6.78023e-06
         324     1.37733     1.37708 6.80057e-06
         325     1.37699     1.37708 6.78563e-06
         326     1.37711     1.37708 6.76515e-06
         327     1.37702     1.37708 6.74747e-06
         328     1.37719     1.37708 6.73407e-06
         329     1.37718     1.37708 6.72002e-06
         330     1.37711     1.37709 6.70025e-06
         331     1.37712     1.37709 6.68075e-06
         332     1.37715     1.37709 6.66387e-06
         333     1.37709     1.37709 6.64392e-06
         334     1.37721     1.37709 6.63532e-06
         335     1.37714     1.37709 6.61737e-06
         336       1.377     1.37709 6.60208e-06
         337     1.37704     1.37709 6.58366e-06
         338       1.377     1.37709 6.56898e-06
         339     1.37699     1.37709 6.55546e-06
         340     1.37692     1.37708  6.5549e-06
         341     1.37689     1.37708 6.55973e-06
         342     1.37723     1.37708 6.55377e-06
         343     1.37697     1.37708 6.54313e-06
         344       1.377     1.37708  6.5284e-06
         345     1.37705     1.37708 6.51016e-06
         346     1.37721     1.37708 6.50193e-06
         347     1.37721     1.37708 6.49378e-06
         348      1.3771     1.37708 6.47534e-06
         349     1.37706     1.37708  6.4573e-06
         350     1.37719     1.37708 6.44585e-06
         351     1.37727     1.37709 6.44913e-06
         352       1.377     1.37709 6.43581e-06
         353     1.37697     1.37708 6.42624e-06
         354     1.37692     1.37708  6.4254e-06
         355     1.37696     1.37708 6.41723e-06
         356     1.37695     1.37708 6.41053e-06
         357     1.37692     1.37708 6.40796e-06
         358     1.37685     1.37708 6.42357e-06
         359     1.37684     1.37708 6.44205e-06
         360     1.37679     1.37708 6.47338e-06
         361      1.3769     1.37708 6.47466e-06
         362     1.37681     1.37708 6.49843e-06
         363      1.3769     1.37708 6.49889e-06
         364     1.37702     1.37708 6.48329e-06
         365     1.37718     1.37708 6.47166e-06
         366     1.37707     1.37708 6.45404e-06
         367     1.37705     1.37708 6.43683e-06
         368     1.37715     1.37708 6.42225e-06
         369     1.37714     1.37708  6.4069e-06
         370     1.37707     1.37708  6.3896e-06
         371     1.37709     1.37708 6.37242e-06
         372     1.37714     1.37708  6.3575e-06
         373      1.3772     1.37708 6.34918e-06
         374      1.3772     1.37708 6.34055e-06
         375     1.37712     1.37708 6.32472e-06
         376     1.37732     1.37708 6.33925e-06
         377     1.37717     1.37708  6.3265e-06
         378     1.37722     1.37708 6.31985e-06
         379     1.37712     1.37708 6.30401e-06
         380     1.37714     1.37708 6.28943e-06
         381     1.37728     1.37708  6.2949e-06
         382     1.37724     1.37708 6.29227e-06
         383     1.37723     1.37708 6.28738e-06
         384     1.37712     1.37708 6.27174e-06
         385     1.37718     1.37708 6.26071e-06
         386     1.37723     1.37708 6.25642e-06
         387     1.37711     1.37708  6.2406e-06
         388     1.37706     1.37708 6.22495e-06
         389     1.37702     1.37708 6.21091e-06
         390     1.37706     1.37708 6.19526e-06
         391     1.37713     1.37708 6.18074e-06
         392     1.37706     1.37708 6.16517e-06
         393     1.37697     1.37708 6.15571e-06
         394     1.37706     1.37708 6.14043e-06
         395     1.37691     1.37708  6.1398e-06
         396     1.37682     1.37708 6.15954e-06
         397     1.37686     1.37708  6.1691e-06
         398     1.37677     1.37708 6.20173e-06
         399      1.3768     1.37708 6.22533e-06
         400     1.37679     1.37708 6.25274e-06
         401     1.37675     1.37708 6.29254e-06
         402     1.37681     1.37708 6.31232e-06
         403     1.37675     1.37708 6.35046e-06
         404     1.37688     1.37708 6.35371e-06
         405     1.37694     1.37708 6.34647e-06
         406     1.37682     1.37708 6.36192e-06
         407     1.37686     1.37708 6.36816e-06
         408     1.37703     1.37708 6.35373e-06
         409     1.37709     1.37708 6.33837e-06
         410     1.37704     1.37708  6.3236e-06
         411     1.37695     1.37707 6.31511e-06
         412     1.37709     1.37707  6.2999e-06
         413       1.377     1.37707 6.28732e-06
         414     1.37707     1.37707 6.27213e-06
