#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.86648     1.86648           0
           2     1.58657     1.72653   0.0989627
           3     1.58484      1.6793   0.0764189
           4     1.59404     1.65798   0.0602134
           5     1.52758      1.6319   0.0535217
           6     1.58402     1.62392   0.0451924
           7     1.58756     1.61873   0.0390338
           8     1.56948     1.61257   0.0346365
           9     1.62757     1.61424   0.0308281
          10     1.63904     1.61672   0.0278449
          11     1.58139     1.61351   0.0254981
          12     1.58659     1.61126   0.0234717
          13     1.49174     1.60207   0.0233976
          14     1.60616     1.60236   0.0217282
          15     1.57282     1.60039   0.0203687
          16      1.5968     1.60017   0.0190969
          17      1.5806     1.59902   0.0180082
          18     1.56925     1.59736   0.0170836
          19     1.63779     1.59949   0.0163164
          20     1.52425     1.59573   0.0159284
          21     1.59688     1.59578     0.01517
          22     1.50995     1.59188   0.0149738
          23     1.50418     1.58807   0.0148003
          24     1.59932     1.58854   0.0141911
          25     1.59708     1.58888   0.0136275
          26      1.5515     1.58744    0.013179
          27     1.56645     1.58666   0.0127138
          28     1.60544     1.58733   0.0122774
          29     1.64275     1.58925   0.0120019
          30     1.56659     1.58849   0.0116255
          31     1.51226     1.58603   0.0115077
          32     1.57765     1.58577    0.011151
          33     1.52341     1.58388   0.0109721
          34     1.50104     1.58144   0.0109165
          35     1.53067     1.57999   0.0107006
          36     1.56903     1.57969   0.0104077
          37     1.57849     1.57966   0.0101264
          38     1.55414     1.57898   0.0098822
          39     1.58792     1.57921  0.00963147
          40     1.53349     1.57807  0.00945827
          41     1.58807     1.57831  0.00923073
          42     1.58095     1.57838  0.00901116
          43     1.57124     1.57821  0.00880313
          44     1.57819     1.57821  0.00860305
          45     1.57108     1.57805  0.00841334
          46     1.58234     1.57814  0.00823095
          47     1.56306     1.57782  0.00806208
          48     1.66377     1.57961  0.00809051
          49     1.60442     1.58012  0.00794121
          50     1.62015     1.58092  0.00782264
          51     1.62534     1.58179  0.00771759
          52     1.60112     1.58216  0.00757812
          53     1.56435     1.58183  0.00744259
          54     1.57832     1.58176  0.00730505
          55      1.5488     1.58116  0.00719676
          56      1.5231     1.58013  0.00714256
          57     1.57156     1.57998  0.00701883
          58     1.59413     1.58022  0.00690206
          59     1.56919     1.58003  0.00678761
          60     1.57468     1.57994  0.00667507
          61     1.60774      1.5804  0.00658117
          62     1.56253     1.58011  0.00648133
          63     1.66215     1.58141  0.00650794
          64     1.55728     1.58104  0.00641718
          65     1.65013      1.5821  0.00640589
          66     1.55968     1.58176  0.00631783
          67     1.59331     1.58193  0.00622588
          68     1.52427     1.58108  0.00619181
          69     1.55144     1.58065  0.00611696
          70     1.63087     1.58137   0.0060715
          71     1.58723     1.58145  0.00598654
          72     1.61829     1.58197  0.00592522
          73     1.58234     1.58197  0.00584405
          74     1.58384       1.582  0.00576513
          75     1.60158     1.58226  0.00569418
          76     1.56311     1.58201  0.00562482
          77     1.59381     1.58216  0.00555386
          78     1.55101     1.58176    0.005497
          79     1.63389     1.58242  0.00546688
          80     1.55413     1.58207  0.00540996
          81     1.54941     1.58166  0.00535818
          82     1.60662     1.58197  0.00530147
          83     1.62884     1.58253  0.00526759
          84     1.58312     1.58254  0.00520489
          85     1.56042     1.58228  0.00515015
          86      1.5373     1.58176  0.00511676
          87     1.55753     1.58148  0.00506552
          88     1.60951      1.5818  0.00501797
          89      1.5899     1.58189  0.00496241
          90     1.59321     1.58201  0.00490887
          91     1.58016     1.58199  0.00485497
          92     1.65179     1.58275  0.00486112
          93     1.56512     1.58256  0.00481254
          94     1.54408     1.58215  0.00477872
          95     1.55212     1.58184  0.00473887
          96     1.58536     1.58187  0.00468965
          97     1.56479      1.5817   0.0046446
          98     1.50484     1.58091  0.00466295
          99     1.58168     1.58092  0.00461586
         100     1.50644     1.58018   0.0046294
         101     1.58241      1.5802  0.00458362
         102     1.53276     1.57973  0.00456222
         103     1.58296     1.57976  0.00451803
         104      1.5189     1.57918  0.00451233
         105     1.55982     1.57899  0.00447312
         106     1.64633     1.57963   0.0044758
         107     1.59428     1.57977  0.00443606
         108     1.57824     1.57975  0.00439501
         109     1.63269     1.58024  0.00438144
         110     1.46643      1.5792   0.0044621
         111     1.58204     1.57923  0.00442197
         112     1.56433      1.5791  0.00438449
         113     1.50832     1.57847   0.0043902
         114      1.5609     1.57832  0.00435439
         115     1.59281     1.57844  0.00431835
         116     1.56168      1.5783  0.00428354
         117     1.58703     1.57837  0.00424758
         118     1.55929     1.57821  0.00421466
         119     1.64335     1.57876  0.00421464
         120     1.58612     1.57882  0.00417997
         121     1.59315     1.57894   0.0041471
         122     1.55974     1.57878  0.00411609
         123      1.6207     1.57912  0.00409672
         124       1.628     1.57951   0.0040826
         125     1.51883     1.57903   0.0040787
         126      1.5413     1.57873   0.0040573
         127      1.6161     1.57902  0.00403601
         128     1.61462      1.5793  0.00401405
         129     1.60501      1.5795  0.00398788
         130     1.57916      1.5795   0.0039572
         131     1.59238      1.5796  0.00392822
         132     1.58655     1.57965  0.00389881
         133     1.58432     1.57968  0.00386965
         134     1.63899     1.58013    0.003866
         135     1.63137     1.58051  0.00385595
         136     1.63673     1.58092  0.00384969
         137     1.59879     1.58105   0.0038238
         138     1.55873     1.58089  0.00379951
         139     1.60506     1.58106  0.00377616
         140     1.54799     1.58083  0.00375657
         141     1.60394     1.58099   0.0037335
         142     1.64023     1.58141  0.00373045
         143      1.4939      1.5808  0.00375421
         144     1.58538     1.58083  0.00372828
         145      1.6059       1.581  0.00370657
         146     1.62285     1.58129  0.00369225
         147     1.56818      1.5812  0.00366821
         148     1.57962     1.58119  0.00364344
         149     1.60048     1.58132  0.00362129
         150     1.62538     1.58161  0.00360904
         151     1.51771     1.58119  0.00360987
         152     1.56634     1.58109  0.00358744
         153     1.63051     1.58141   0.0035785
         154     1.61939     1.58166  0.00356375
         155     1.65311     1.58212  0.00357044
         156     1.63704     1.58247  0.00356487
         157     1.59302     1.58254   0.0035428
         158      1.5699     1.58246  0.00352128
         159     1.59674     1.58255  0.00350028
         160     1.56637     1.58245  0.00347986
         161     1.59536     1.58253  0.00345917
         162     1.57517     1.58248  0.00343812
         163     1.61026     1.58265  0.00342124
         164     1.61552     1.58285  0.00340625
         165     1.62357      1.5831  0.00339453
         166     1.59053     1.58315  0.00337438
         167     1.52711     1.58281  0.00337081
         168     1.53617     1.58253  0.00336216
         169     1.63736     1.58286  0.00335788
         170      1.6044     1.58298  0.00334052
         171     1.64373     1.58334  0.00333982
         172     1.51972     1.58297  0.00334082
         173     1.64518     1.58333   0.0033408
         174     1.56416     1.58322  0.00332342
         175     1.62964     1.58348    0.003315
         176     1.54041     1.58324  0.00330518
         177      1.5209     1.58289  0.00330522
         178     1.55628     1.58274  0.00329003
         179     1.49677     1.58226  0.00330652
         180     1.63115     1.58253  0.00329928
         181     1.58074     1.58252  0.00328107
         182     1.67138     1.58301  0.00329917
         183     1.53567     1.58275  0.00329127
         184     1.62903       1.583  0.00328298
         185     1.55034     1.58282  0.00326997
         186     1.51769     1.58247  0.00327109
         187     1.52383     1.58216   0.0032686
         188     1.53686     1.58192  0.00326008
         189     1.58984     1.58196   0.0032431
         190      1.5796     1.58195  0.00322606
         191     1.64072     1.58226  0.00322381
         192      1.5118     1.58189  0.00322783
         193     1.56942     1.58182  0.00321176
         194     1.60559     1.58195  0.00319754
         195     1.63819     1.58223  0.00319412
         196     1.48266     1.58173  0.00321797
         197     1.59257     1.58178  0.00320211
         198     1.63059     1.58203  0.00319541
         199     1.59515     1.58209  0.00318003
         200     1.53111     1.58184  0.00317434
         201     1.55252     1.58169  0.00316189
         202     1.62615     1.58191  0.00315389
         203     1.55502     1.58178  0.00314114
         204     1.61356     1.58194   0.0031296
         205     1.57173     1.58189  0.00311473
         206     1.59627     1.58196  0.00310039
         207     1.59828     1.58204  0.00308642
         208     1.58198     1.58204  0.00307158
         209     1.62667     1.58225   0.0030643
         210     1.60409     1.58235  0.00305147
         211     1.58789     1.58238  0.00303712
         212     1.55616     1.58226  0.00302531
         213     1.53156     1.58202  0.00302046
         214     1.52873     1.58177  0.00301659
         215     1.59689     1.58184  0.00300338
         216     1.56207     1.58175  0.00299086
         217     1.56467     1.58167  0.00297812
         218     1.53947     1.58148  0.00297074
         219     1.51022     1.58115  0.00297494
         220     1.59078     1.58119  0.00296174
         221      1.5909     1.58124  0.00294866
         222     1.53987     1.58105  0.00294126
         223     1.62468     1.58125  0.00293458
         224      1.6158      1.5814  0.00292553
         225     1.58165      1.5814  0.00291253
         226     1.55913      1.5813  0.00290131
         227     1.58059      1.5813  0.00288853
         228     1.52672     1.58106  0.00288576
         229     1.65239     1.58137  0.00288992
         230     1.61295     1.58151  0.00288061
         231     1.53628     1.58131  0.00287479
         232     1.56303     1.58124  0.00286348
         233     1.61625     1.58139  0.00285513
         234     1.57616     1.58136  0.00284301
         235     1.60929     1.58148   0.0028334
         236     1.56233      1.5814  0.00282255
         237     1.60947     1.58152  0.00281313
         238     1.62033     1.58168  0.00280603
         239     1.62263     1.58185  0.00279952
         240     1.66983     1.58222  0.00281175
         241     1.56782     1.58216  0.00280072
         242     1.61944     1.58231  0.00279338
         243     1.55478      1.5822  0.00278418
         244     1.61728     1.58234  0.00277648
         245     1.55716     1.58224  0.00276705
         246     1.60988     1.58235  0.00275808
         247     1.60076     1.58243  0.00274792
         248     1.58852     1.58245  0.00273695
         249     1.58964     1.58248  0.00272611
         250     1.58928     1.58251  0.00271534
         251     1.57118     1.58246   0.0027049
         252     1.64225      1.5827  0.00270455
