#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.32057    -5.32057           0
           2    -5.03018    -5.17538    0.102669
           3    -5.03573    -5.12883   0.0782909
           4    -5.05468    -5.11029   0.0608729
           5     -5.0324    -5.09471   0.0506522
           6    -5.05803     -5.0886   0.0425775
           7    -5.05646    -5.08401   0.0367418
           8    -4.96518    -5.06915   0.0350229
           9     -5.0104    -5.06263    0.031734
          10    -4.99704    -5.05607   0.0292305
          11    -5.04564    -5.05512   0.0265886
          12    -5.00012    -5.05054   0.0247647
          13    -5.08828    -5.05344   0.0230293
          14    -4.98732    -5.04872   0.0218633
          15     -5.0135    -5.04637   0.0205314
          16     -5.0163    -5.04449    0.019334
          17    -5.03662    -5.04403   0.0182022
          18     -5.0513    -5.04443   0.0171955
          19    -5.01697    -5.04299   0.0163511
          20    -4.97818    -5.03975   0.0158513
          21    -5.05059    -5.04026   0.0151049
          22    -4.93433    -5.03545   0.0151664
          23    -5.05008    -5.03608   0.0145203
          24    -4.91259    -5.03094    0.014799
          25    -5.02127    -5.03055   0.0142121
          26    -5.02991    -5.03053   0.0136655
          27    -5.05511    -5.03144   0.0131897
          28    -5.01651     -5.0309   0.0127294
          29    -5.05058    -5.03158   0.0123085
          30     -5.0038    -5.03066    0.011933
          31    -5.03424    -5.03077   0.0115486
          32    -4.99302    -5.02959   0.0112478
          33     -5.0317    -5.02966   0.0109071
          34    -5.03728    -5.02988   0.0105886
          35    -5.03482    -5.03002   0.0102871
          36    -5.06647    -5.03103    0.010051
          37    -5.00969    -5.03046   0.0097959
          38    -4.98965    -5.02938  0.00959679
          39     -5.0355    -5.02954    0.009352
          40    -4.99961    -5.02879  0.00914809
          41    -5.04458    -5.02918  0.00893306
          42    -5.06983    -5.03014  0.00877266
          43    -5.06887    -5.03104  0.00861474
          44    -4.99077    -5.03013  0.00846744
          45    -5.01451    -5.02978  0.00828638
          46    -4.98726    -5.02886  0.00815764
          47    -5.07441    -5.02983  0.00804143
          48    -4.93334    -5.02782  0.00812124
          49    -5.07849    -5.02885  0.00802106
          50    -4.97096    -5.02769  0.00794376
          51    -4.98606    -5.02688  0.00782983
          52    -5.06297    -5.02757  0.00770996
          53    -5.01317     -5.0273  0.00756927
          54    -4.96426    -5.02613  0.00751858
          55    -4.96078    -5.02494  0.00747519
          56    -4.98968    -5.02431  0.00736818
          57    -4.97212     -5.0234   0.0072956
          58    -5.01282    -5.02322  0.00717209
          59    -5.05988    -5.02384   0.0070774
          60     -5.0774    -5.02473  0.00701551
          61    -5.04434    -5.02505  0.00690786
          62     -5.0706    -5.02579  0.00683541
          63    -5.01088    -5.02555    0.006731
          64    -5.00009    -5.02515  0.00663757
          65    -4.97749    -5.02442  0.00657583
          66    -5.03604    -5.02459  0.00647856
          67    -4.98605    -5.02402  0.00640735
          68    -4.98025    -5.02338  0.00634537
          69    -5.01907    -5.02331  0.00625371
          70    -4.98303    -5.02274  0.00619079
          71    -4.91544    -5.02123  0.00628535
          72    -5.01173    -5.02109  0.00619944
          73    -5.02153     -5.0211  0.00611452
          74    -5.00475    -5.02088  0.00603588
          75    -4.96918    -5.02019  0.00599463
          76    -4.99132    -5.01981  0.00592778
          77    -5.05287    -5.02024  0.00586632
          78    -4.98539    -5.01979   0.0058081
          79     -5.0005    -5.01955  0.00573971
          80    -5.03571    -5.01975  0.00567152
          81    -5.00643    -5.01959  0.00560389
          82    -5.02776    -5.01969  0.00553643
          83      -4.975    -5.01915  0.00549584
          84    -5.07844    -5.01985  0.00547555
          85    -5.03066    -5.01998  0.00541261
          86    -5.02494    -5.02004  0.00534998
          87    -4.99985    -5.01981  0.00529351
          88    -5.02862    -5.01991  0.00523431
          89    -5.05576    -5.02031  0.00519097
          90    -5.07901    -5.02096   0.0051741
          91     -5.0278    -5.02104  0.00511779
