#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.907886    0.907886           0
           2     0.93575    0.921818  0.00985125
           3    0.924056    0.922564  0.00659568
           4    0.936497    0.926047  0.00579401
           5    0.927263     0.92629  0.00464031
           6    0.933424    0.927479  0.00401633
           7    0.931609    0.928069  0.00348564
           8    0.929556    0.928255  0.00305489
           9    0.933664    0.928856  0.00277395
          10    0.928642    0.928835  0.00249664
          11    0.935957    0.929482  0.00235212
          12    0.937954    0.930188  0.00225957
          13    0.923803    0.929697  0.00213847
          14    0.920105    0.929012   0.0020926
          15    0.921011    0.928479  0.00201993
          16    0.927572    0.928422  0.00189448
          17    0.924587    0.928196  0.00179642
          18    0.937975    0.928739  0.00177686
          19    0.936678    0.929157  0.00173176
          20    0.921713    0.928785   0.0016847
          21    0.928701    0.928781  0.00160448
          22    0.938829    0.929238  0.00159522
          23    0.912585    0.928514  0.00168217
          24    0.935551    0.928807  0.00163743
          25    0.929834    0.928848  0.00157245
          26    0.933091    0.929011  0.00152042
          27    0.921466    0.928732  0.00148956
          28    0.932354    0.928861  0.00144197
          29    0.933049    0.929006  0.00139946
          30    0.929127     0.92901  0.00135282
          31    0.936447    0.929249  0.00133028
          32    0.932176    0.929341  0.00129185
          33    0.925128    0.929213  0.00125899
          34    0.924564    0.929077  0.00122937
          35    0.931501    0.929146  0.00119619
          36    0.928046    0.929115  0.00116336
          37     0.93749    0.929342  0.00115372
          38    0.921414    0.929133  0.00114207
          39    0.915316    0.928779  0.00116644
          40    0.934005    0.928909  0.00114458
          41    0.937124     0.92911  0.00113406
          42    0.936291    0.929281  0.00111988
          43    0.918117    0.929021  0.00112352
          44    0.920205    0.928821  0.00111571
          45     0.94175    0.929108  0.00112731
          46    0.921853     0.92895  0.00111378
          47    0.934172    0.929061  0.00109561
          48    0.917186    0.928814  0.00110036
          49    0.932628    0.928892  0.00108066
          50    0.925717    0.928828  0.00106091
          51    0.918542    0.928627  0.00105911
          52    0.931062    0.928673  0.00103977
          53    0.923704     0.92858  0.00102437
          54    0.934585    0.928691  0.00101142
          55    0.932142    0.928754 0.000994978
          56    0.916925    0.928542 0.000999381
          57     0.93348    0.928629 0.000985594
          58    0.936653    0.928767 0.000978262
          59    0.928678    0.928766 0.000961682
          60    0.929181    0.928773 0.000945679
          61    0.938441    0.928931 0.000943365
          62    0.938443    0.929085  0.00094054
          63    0.911301    0.928802 0.000967042
          64    0.938854    0.928959 0.000964601
          65    0.939459    0.929121 0.000963192
          66    0.924058    0.929044 0.000951648
          67    0.931277    0.929078 0.000938027
          68    0.930236    0.929095 0.000924388
          69    0.932575    0.929145 0.000912366
          70    0.926675     0.92911 0.000900014
          71     0.92053    0.928989 0.000895415
          72    0.924898    0.928932 0.000884779
          73    0.933992    0.929001 0.000875369
          74    0.925435    0.928953 0.000864866
          75    0.939542    0.929094 0.000864781
          76    0.934969    0.929172  0.00085685
          77    0.919617    0.929048 0.000854659
          78    0.939766    0.929185 0.000854677
          79    0.925831    0.929143 0.000844912
          80    0.930391    0.929158 0.000834495
          81    0.939721    0.929289 0.000834319
          82    0.922052      0.9292 0.000828798
          83    0.939232    0.929321 0.000827578
          84    0.937257    0.929416 0.000823101
          85    0.919203    0.929296 0.000822141
          86    0.932262     0.92933 0.000813304
          87    0.934538     0.92939 0.000806155
          88    0.922605    0.929313 0.000800673
          89    0.935556    0.929383 0.000794743
          90    0.929928    0.929389 0.000785936
          91    0.939564    0.929501 0.000785213
          92    0.930014    0.929506 0.000776697
          93    0.924361    0.929451 0.000770314
          94    0.921092    0.929362 0.000767236
          95    0.923296    0.929298 0.000761812
          96    0.935824    0.929366 0.000756903
          97     0.94022    0.929478 0.000757325
          98    0.924163    0.929424 0.000751537
          99    0.933737    0.929467 0.000745207
         100    0.933326    0.929506 0.000738754
         101    0.932026    0.929531 0.000731861
         102    0.922651    0.929464 0.000727787
         103    0.930669    0.929475 0.000720815
         104    0.919092    0.929375 0.000720766
         105    0.924616     0.92933 0.000715325
         106    0.935822    0.929391 0.000711194
         107    0.927729    0.929376 0.000704717
         108    0.929542    0.929377 0.000698194
         109       0.929    0.929374 0.000691797
         110     0.92512    0.929335 0.000686588
         111    0.930998     0.92935 0.000680566
         112     0.94752    0.929512 0.000693556
         113    0.914585     0.92938 0.000699886
         114     0.93273     0.92941 0.000694364
         115    0.942293    0.929522 0.000697304
         116    0.927371    0.929503 0.000691539
         117    0.919576    0.929418 0.000690815
         118    0.927013    0.929398 0.000685261
         119    0.934209    0.929438 0.000680694
         120    0.926437    0.929413 0.000675481
         121    0.929404    0.929413 0.000669898
         122    0.921326    0.929347 0.000667679
         123    0.927404    0.929331 0.000662438
         124    0.934694    0.929374 0.000658506
         125    0.919205    0.929293 0.000658244
         126    0.917318    0.929198 0.000659845
         127    0.935713    0.929249 0.000656641
         128    0.923346    0.929203 0.000653128
         129    0.944907    0.929325 0.000659312
         130    0.926912    0.929306 0.000654502
         131    0.923872    0.929265 0.000650819
         132    0.927684    0.929253 0.000645999
         133    0.927073    0.929237  0.00064135
         134    0.925565    0.929209 0.000637148
         135    0.941968    0.929304   0.0006394
         136    0.933041    0.929331 0.000635288
         137    0.920045    0.929263 0.000634257
         138    0.923905    0.929225 0.000630848
         139     0.93081    0.929236 0.000626413
         140    0.924723    0.929204 0.000622767
         141    0.929594    0.929206 0.000618357
         142    0.919531    0.929138 0.000617745
         143    0.944579    0.929246  0.00062279
         144    0.922636      0.9292 0.000620154
         145    0.932095     0.92922 0.000616199
         146    0.931423    0.929235 0.000612163
         147    0.926785    0.929219 0.000608225
         148    0.923509     0.92918 0.000605338
         149    0.928169    0.929173 0.000601313
         150    0.929159    0.929173 0.000597304
         151    0.922849    0.929131 0.000594815
         152    0.932185    0.929152 0.000591241
         153     0.93557    0.929193 0.000588863
         154    0.936223    0.929239 0.000586806
         155    0.915048    0.929148  0.00059012
         156    0.954309    0.929309 0.000607979
         157    0.898445    0.929112 0.000635093
         158    0.930836    0.929123 0.000631167
         159    0.946347    0.929231 0.000636426
         160     0.90631    0.929088 0.000648372
         161    0.923225    0.929052 0.000645367
         162    0.945271    0.929152 0.000649103
         163    0.912942    0.929052 0.000652694
         164    0.923624    0.929019 0.000649553
         165    0.933379    0.929046 0.000646154
         166    0.921347    0.928999 0.000643924
         167    0.942856    0.929082 0.000645391
         168    0.937557    0.929133 0.000643518
         169    0.920386    0.929081 0.000641789
         170    0.928782    0.929079 0.000638016
         171    0.934571    0.929111 0.000635093
