#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.61708    -6.61708           0
           2    -6.66048    -6.63878    0.015345
           3     -6.6376    -6.63839    0.010235
           4    -6.65836    -6.64338  0.00881052
           5    -6.64852    -6.64441  0.00710793
           6    -6.65171    -6.64563  0.00602646
           7    -6.64666    -6.64577  0.00516734
           8    -6.65327    -6.64671  0.00460552
           9    -6.66766    -6.64904  0.00464483
          10    -6.64677    -6.64881  0.00418588
          11     -6.6382    -6.64785   0.0039149
          12    -6.64718    -6.64779  0.00358905
          13    -6.66044    -6.64876  0.00344243
          14    -6.62922    -6.64737   0.0034682
          15    -6.63369    -6.64646  0.00335473
          16     -6.6412    -6.64613  0.00316108
          17    -6.64436    -6.64602  0.00297684
          18    -6.65536    -6.64654  0.00285632
          19    -6.64876    -6.64666  0.00270836
          20    -6.65978    -6.64732  0.00265119
          21     -6.6265    -6.64632  0.00270395
          22    -6.64962    -6.64647  0.00258519
          23    -6.65756    -6.64696  0.00251732
          24    -6.64873    -6.64703  0.00241352
          25    -6.64754    -6.64705  0.00231706
          26    -6.63658    -6.64665  0.00226268
          27    -6.66051    -6.64716  0.00223638
          28    -6.63661    -6.64678  0.00218804
          29      -6.663    -6.64734  0.00218288
          30     -6.6314    -6.64681  0.00217385
          31    -6.65976    -6.64723  0.00214347
          32     -6.6624     -6.6477  0.00212824
          33     -6.6106    -6.64658  0.00234199
          34    -6.64545    -6.64655  0.00227334
          35    -6.67084    -6.64724  0.00231194
          36    -6.64626    -6.64721  0.00224788
          37    -6.63642    -6.64692  0.00220598
          38    -6.66282    -6.64734  0.00218722
          39    -6.61976    -6.64663  0.00224257
          40      -6.657    -6.64689  0.00220142
          41    -6.65867    -6.64718   0.0021664
          42    -6.64792     -6.6472  0.00211489
          43    -6.64442    -6.64713   0.0020667
          44     -6.6416    -6.64701  0.00202354
          45    -6.64766    -6.64702  0.00197863
          46    -6.65203    -6.64713  0.00193861
          47     -6.6304    -6.64677  0.00192978
          48     -6.6489    -6.64682  0.00189008
          49     -6.6471    -6.64682  0.00185152
          50    -6.65289    -6.64694  0.00181845
          51    -6.64009    -6.64681  0.00178775
          52    -6.64062    -6.64669  0.00175733
          53    -6.64795    -6.64671  0.00172434
          54    -6.64275    -6.64664  0.00169397
          55    -6.62716    -6.64629  0.00169979
          56    -6.65454    -6.64643  0.00167582
          57    -6.67398    -6.64692  0.00171468
          58    -6.59662    -6.64605  0.00189177
          59    -6.65658    -6.64623   0.0018681
          60    -6.67408    -6.64669  0.00189376
          61    -6.64758    -6.64671  0.00186277
          62    -6.64031     -6.6466  0.00183558
          63    -6.65005    -6.64666  0.00180726
          64    -6.62385     -6.6463  0.00181382
          65    -6.65675    -6.64646  0.00179302
          66    -6.65958    -6.64666  0.00177683
          67    -6.64949     -6.6467  0.00175081
          68    -6.63077    -6.64647  0.00174067
          69    -6.66752    -6.64678  0.00174197
          70    -6.65497    -6.64689  0.00172102
          71    -6.64438    -6.64686  0.00169714
          72    -6.63433    -6.64668  0.00168246
          73     -6.6733    -6.64705  0.00169847
          74    -6.63489    -6.64688  0.00168344
          75    -6.64925    -6.64691  0.00166129
          76    -6.65517    -6.64702  0.00164298
          77    -6.65033    -6.64707   0.0016222
          78    -6.64853    -6.64709  0.00160151
          79    -6.64555    -6.64707  0.00158136
          80    -6.63927    -6.64697  0.00156459
          81    -6.63671    -6.64684  0.00155039
          82     -6.6548    -6.64694  0.00153452
          83    -6.66082    -6.64711  0.00152511
          84    -6.63583    -6.64697  0.00151285
          85    -6.64286    -6.64692  0.00149582
          86    -6.63996    -6.64684  0.00148062
          87    -6.66099      -6.647   0.0014725
          88    -6.63587    -6.64688   0.0014612
          89    -6.65466    -6.64697  0.00144739
          90    -6.63593    -6.64684  0.00143649
          91    -6.65277    -6.64691  0.00142218
          92    -6.64153    -6.64685  0.00140793
          93    -6.64451    -6.64682  0.00139301
