#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.812766    0.812766           0
           2     0.84547    0.829118   0.0115626
           3    0.827013    0.828416  0.00772965
           4    0.843587    0.832209  0.00666302
           5    0.837104    0.833188  0.00540186
           6    0.837321    0.833877  0.00454526
           7    0.833207    0.833781  0.00389695
           8     0.84491    0.835172  0.00364967
           9    0.848601    0.836664  0.00353602
          10    0.828468    0.835845  0.00327604
          11    0.847618    0.836915  0.00314821
          12    0.810685    0.834729  0.00356481
          13    0.840459     0.83517  0.00331774
          14    0.827039    0.834589  0.00313118
          15    0.835703    0.834663  0.00292332
          16    0.837484     0.83484  0.00274592
          17    0.834691    0.834831  0.00258441
          18    0.834502    0.834813  0.00244089
          19    0.832889    0.834711  0.00231453
          20    0.834533    0.834702  0.00219882
          21     0.83355    0.834648  0.00209479
          22    0.851602    0.835418  0.00213664
          23        0.81    0.834313  0.00231195
          24    0.837572    0.834449   0.0022196
          25    0.831733     0.83434  0.00213348
          26    0.838603    0.834504  0.00205771
          27    0.838945    0.834669  0.00198806
          28    0.831533    0.834557  0.00192021
          29    0.839545    0.834729  0.00186169
          30    0.825348    0.834416   0.0018257
          31    0.838343    0.834543  0.00177119
          32    0.838819    0.834676  0.00172088
          33    0.839406     0.83482  0.00167469
          34    0.843146    0.835065  0.00164324
          35    0.830037    0.834921  0.00160256
          36    0.835505    0.834937  0.00155812
          37    0.840158    0.835078  0.00152239
          38    0.841218     0.83524  0.00149088
          39     0.84543    0.835501  0.00147537
          40    0.819987    0.835113  0.00148859
          41     0.83857    0.835198  0.00145467
          42      0.8285    0.835038  0.00142875
          43    0.846678    0.835309  0.00142093
          44    0.831347    0.835219  0.00139149
          45    0.839043    0.835304  0.00136316
          46    0.849763    0.835618  0.00136928
          47     0.82998    0.835498   0.0013454
          48    0.831537    0.835416  0.00131989
          49    0.815757    0.835014  0.00135256
          50    0.854213    0.835398  0.00137893
          51    0.836721    0.835424  0.00135214
          52    0.828797    0.835297  0.00133213
          53      0.8515    0.835603  0.00134162
          54    0.828302    0.835467  0.00132357
          55    0.831682    0.835399  0.00130129
          56    0.840493     0.83549  0.00128123
          57    0.841788      0.8356  0.00126351
          58    0.841783    0.835707  0.00124621
          59    0.832945     0.83566  0.00122597
          60    0.828888    0.835547  0.00121072
          61     0.82905     0.83544  0.00119555
          62    0.850153    0.835678  0.00119958
          63    0.830318    0.835593  0.00118355
          64    0.853385    0.835871  0.00119726
          65     0.83308    0.835828  0.00117961
          66    0.826287    0.835683  0.00117057
          67     0.84815    0.835869  0.00116779
          68      0.8419    0.835958  0.00115398
          69    0.838293    0.835992  0.00113775
          70    0.826489    0.835856  0.00112957
          71     0.83768    0.835882  0.00111395
          72    0.836223    0.835886  0.00109849
          73    0.845862    0.836023  0.00109191
          74    0.822102    0.835835  0.00109324
          75     0.83893    0.835876  0.00107944
          76    0.849037    0.836049  0.00107904
          77    0.833501    0.836016  0.00106553
          78    0.836944    0.836028  0.00105194
          79    0.840729    0.836088   0.0010403
          80    0.841909     0.83616  0.00102984
          81    0.821311    0.835977  0.00103331
          82    0.850235    0.836151  0.00103524
          83    0.829792    0.836074   0.0010256
          84    0.832131    0.836027  0.00101446
          85    0.841131    0.836088   0.0010043
          86    0.835027    0.836075 0.000992699
          87    0.842308    0.836147 0.000983871
          88    0.834033    0.836123 0.000972984
          89    0.843291    0.836203 0.000965379
          90    0.841443    0.836262 0.000956407
          91    0.837265    0.836273  0.00094596
          92    0.832731    0.836234 0.000936461
          93    0.840891    0.836284 0.000927729
          94    0.838671     0.83631 0.000918207
          95    0.814954    0.836085 0.000935656
          96     0.86596    0.836396 0.000976291
          97     0.82065    0.836234 0.000979628
          98    0.825631    0.836125 0.000975588
          99    0.848621    0.836252 0.000973863
         100    0.831268    0.836202 0.000965399
         101    0.846599    0.836305 0.000961313
         102    0.824267    0.836187 0.000959105
         103    0.849456    0.836316 0.000958407
         104    0.839637    0.836348 0.000949723
         105    0.827235    0.836261 0.000944635
         106    0.823473     0.83614 0.000943395
