#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.36053    -5.36053           0
           2    -5.35851    -5.35952 0.000714211
           3    -5.35883    -5.35929  0.00051192
           4      -5.357    -5.35872 0.000626872
           5    -5.35877    -5.35873 0.000501588
           6    -5.35892    -5.35876 0.000419023
           7    -5.35845    -5.35872 0.000361575
           8    -5.35693    -5.35849 0.000379027
           9    -5.35672     -5.3583 0.000384984
          10    -5.35716    -5.35818 0.000362947
          11    -5.35708    -5.35808 0.000343431
          12    -5.35646    -5.35795 0.000340347
          13     -5.3576    -5.35792  0.00031524
          14    -5.35673    -5.35784 0.000303983
          15    -5.35538    -5.35767 0.000324838
          16    -5.35823    -5.35771 0.000306412
          17    -5.35754     -5.3577 0.000288551
          18    -5.35475    -5.35753 0.000315563
          19    -5.35612    -5.35746 0.000307546
          20    -5.35681    -5.35743 0.000293866
          21    -5.35802    -5.35746 0.000281213
          22    -5.35766    -5.35746 0.000268579
          23    -5.35576    -5.35739 0.000266962
          24     -5.3582    -5.35742 0.000257986
          25    -5.35816    -5.35745 0.000249345
          26    -5.35677    -5.35743 0.000241124
          27    -5.35623    -5.35738 0.000236239
          28    -5.35841    -5.35742 0.000230626
          29    -5.35686     -5.3574 0.000223484
          30    -5.35799    -5.35742 0.000216891
          31    -5.35849    -5.35745   0.0002126
          32    -5.35809    -5.35747 0.000206881
          33    -5.35792    -5.35749 0.000201055
          34    -5.35796     -5.3575 0.000195616
          35    -5.35793    -5.35751 0.000190406
          36    -5.35814    -5.35753 0.000185905
          37    -5.35879    -5.35757 0.000183978
          38    -5.35976    -5.35762  0.00018802
          39    -5.35685     -5.3576 0.000184233
          40    -5.35706    -5.35759 0.000180128
          41    -5.35659    -5.35757 0.000177373
          42    -5.35608    -5.35753 0.000176652
          43    -5.35709    -5.35752 0.000172844
          44    -5.35859    -5.35754  0.00017063
          45    -5.35658    -5.35752 0.000168182
          46    -5.35848    -5.35754 0.000165807
          47    -5.35836    -5.35756 0.000163179
          48    -5.35749    -5.35756 0.000159786
          49     -5.3568    -5.35754 0.000157266
          50    -5.35672    -5.35753 0.000154989
          51     -5.3573    -5.35752 0.000152013
          52    -5.35821    -5.35754 0.000149657
          53    -5.35742    -5.35753  0.00014685
          54    -5.35911    -5.35756 0.000147017
          55     -5.3581    -5.35757  0.00014467
          56    -5.35684    -5.35756 0.000142676
