#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.999808   -0.999808           0
           2          -1   -0.999904 6.78823e-05
           3          -1   -0.999936 5.22558e-05
           4          -1   -0.999952 4.15692e-05
           5          -1   -0.999962  3.4346e-05
           6          -1   -0.999968 2.92119e-05
           7          -1   -0.999973 2.53939e-05
           8          -1   -0.999976 2.24499e-05
           9          -1   -0.999979 2.01133e-05
          10          -1   -0.999981 1.82147e-05
          11          -1   -0.999983 1.66423e-05
          12          -1   -0.999984 1.53188e-05
          13          -1   -0.999985 1.41898e-05
          14          -1   -0.999986 1.32154e-05
          15          -1   -0.999987  1.2366e-05
          16          -1   -0.999988 1.16189e-05
          17          -1   -0.999989 1.09569e-05
          18          -1   -0.999989 1.03661e-05
          19          -1    -0.99999 9.83574e-06
          20          -1    -0.99999 9.35692e-06
