#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      0.2072      0.2072           0
           2           0      0.1036   0.0732563
           3           0   0.0690667   0.0563927
           4           0      0.0518   0.0448601
           5           0     0.04144   0.0370651
           6           0   0.0345333   0.0315245
           7           0      0.0296   0.0274043
           8           0      0.0259   0.0242272
           9           0   0.0230222   0.0217056
          10           0     0.02072   0.0196567
          11           0   0.0188364   0.0179598
          12           0   0.0172667   0.0165316
          13           0   0.0159385   0.0153132
          14           0      0.0148   0.0142616
          15           0   0.0138133   0.0133449
          16           0     0.01295   0.0125388
          17           0   0.0121882   0.0118243
          18           0   0.0115111   0.0111868
          19           0   0.0109053   0.0106144
          20           0     0.01036   0.0100977
