#   N_BLOCK:  ACCEPTANCE:
           1    0.678403
           2    0.679276
           3    0.679148
           4     0.67901
           5    0.679065
           6    0.679102
           7    0.679127
           8    0.679088
           9    0.679147
          10    0.679143
          11    0.679096
          12     0.67916
          13    0.679228
          14    0.679233
          15     0.67922
          16      0.6792
          17    0.679228
          18    0.679238
          19    0.679276
          20    0.679243
