#   N_BLOCK:  ACCEPTANCE:
           1     7.8e-05
           2     3.9e-05
           3     2.6e-05
           4    1.95e-05
           5    1.56e-05
           6     1.3e-05
           7 1.11429e-05
           8    9.75e-06
           9 8.66667e-06
          10     7.8e-06
          11 7.09091e-06
          12     6.5e-06
          13       6e-06
          14 5.57143e-06
          15     5.2e-06
          16   4.875e-06
          17 4.58824e-06
          18 4.33333e-06
          19 4.10526e-06
          20     3.9e-06
