#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.01982    -1.01982           0
           2       -1.02    -1.01991 6.53932e-05
           3       -1.02    -1.01994 5.03397e-05
           4       -1.02    -1.01995  4.0045e-05
           5       -1.02    -1.01996 3.30867e-05
           6       -1.02    -1.01997 2.81408e-05
           7       -1.02    -1.01997 2.44628e-05
           8       -1.02    -1.01998 2.16268e-05
           9       -1.02    -1.01998 1.93758e-05
          10       -1.02    -1.01998 1.75468e-05
          11       -1.02    -1.01998  1.6032e-05
          12       -1.02    -1.01998 1.47571e-05
          13       -1.02    -1.01999 1.36695e-05
          14       -1.02    -1.01999 1.27309e-05
          15       -1.02    -1.01999 1.19126e-05
          16       -1.02    -1.01999 1.11929e-05
          17       -1.02    -1.01999 1.05551e-05
          18       -1.02    -1.01999 9.98604e-06
          19       -1.02    -1.01999  9.4751e-06
          20       -1.02    -1.01999 9.01384e-06
