#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      3.3152      3.3152           0
           2           0      1.6576      1.1721
           3           0     1.10507    0.902283
           4           0      0.8288    0.717762
           5           0     0.66304    0.593041
           6           0    0.552533    0.504392
           7           0      0.4736    0.438468
           8           0      0.4144    0.387636
           9           0    0.368356    0.347289
          10           0     0.33152    0.314507
          11           0    0.301382    0.287356
          12           0    0.276267    0.264505
          13           0    0.255015    0.245011
          14           0      0.2368    0.228186
          15           0    0.221013    0.213519
          16           0      0.2072    0.200621
          17           0    0.195012    0.189189
          18           0    0.184178    0.178989
          19           0    0.174484     0.16983
          20           0     0.16576    0.161563
