#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.99955    -0.99955           0
           2          -1   -0.999775 0.000159099
           3          -1    -0.99985 0.000122474
           4          -1   -0.999888 9.74279e-05
           5          -1    -0.99991 8.04984e-05
           6          -1   -0.999925 6.84653e-05
           7          -1   -0.999936  5.9517e-05
           8          -1   -0.999944 5.26171e-05
           9          -1    -0.99995 4.71405e-05
          10          -1   -0.999955 4.26907e-05
          11          -1   -0.999959 3.90053e-05
          12          -1   -0.999962 3.59035e-05
          13          -1   -0.999965 3.32574e-05
          14          -1   -0.999968 3.09736e-05
          15          -1    -0.99997 2.89828e-05
          16          -1   -0.999972 2.72319e-05
          17          -1   -0.999974 2.56802e-05
          18          -1   -0.999975 2.42956e-05
          19          -1   -0.999976 2.30525e-05
          20          -1   -0.999977 2.19303e-05
