#   N_BLOCK:  ACCEPTANCE:
           1     7.4e-05
           2     3.7e-05
           3 2.46667e-05
           4    1.85e-05
           5    1.48e-05
           6 1.23333e-05
           7 1.05714e-05
           8    9.25e-06
           9 8.22222e-06
          10     7.4e-06
          11 6.72727e-06
          12 6.16667e-06
          13 5.69231e-06
          14 5.28571e-06
          15 4.93333e-06
          16   4.625e-06
          17 4.35294e-06
          18 4.11111e-06
          19 3.89474e-06
          20     3.7e-06
