#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.9917     49.9917           0
           2          50     49.9959  0.00293025
           3          50     49.9972  0.00225571
           4          50     49.9979   0.0017944
           5          50     49.9983   0.0014826
           6          50     49.9986  0.00126098
           7          50     49.9988  0.00109617
           8          50      49.999 0.000969089
           9          50     49.9991 0.000868222
          10          50     49.9992 0.000786269
          11          50     49.9992 0.000718391
          12          50     49.9993 0.000661263
          13          50     49.9994 0.000612527
          14          50     49.9994 0.000570465
          15          50     49.9994 0.000533798
          16          50     49.9995 0.000501551
          17          50     49.9995 0.000472973
          18          50     49.9995 0.000447472
          19          50     49.9996 0.000424576
          20          50     49.9996 0.000403907
