#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999752    0.999752           0
           2           1    0.999876 8.76812e-05
           3           1    0.999917 6.74971e-05
           4           1    0.999938 5.36936e-05
           5           1     0.99995 4.43636e-05
           6           1    0.999959  3.7732e-05
           7           1    0.999965 3.28005e-05
           8           1    0.999969 2.89978e-05
           9           1    0.999972 2.59796e-05
          10           1    0.999975 2.35273e-05
          11           1    0.999977 2.14962e-05
          12           1    0.999979 1.97868e-05
          13           1    0.999981 1.83285e-05
          14           1    0.999982 1.70699e-05
          15           1    0.999983 1.59727e-05
          16           1    0.999985 1.50078e-05
          17           1    0.999985 1.41527e-05
          18           1    0.999986 1.33896e-05
          19           1    0.999987 1.27045e-05
          20           1    0.999988  1.2086e-05
