#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.01984    -1.01984           0
           2       -1.02    -1.01992 5.52675e-05
           3       -1.02    -1.01995 4.25449e-05
           4       -1.02    -1.01996 3.38443e-05
           5       -1.02    -1.01997 2.79634e-05
           6       -1.02    -1.01997 2.37833e-05
           7       -1.02    -1.01998 2.06749e-05
           8       -1.02    -1.01998  1.8278e-05
           9       -1.02    -1.01998 1.63755e-05
          10       -1.02    -1.01998 1.48298e-05
          11       -1.02    -1.01999 1.35496e-05
          12       -1.02    -1.01999 1.24721e-05
          13       -1.02    -1.01999 1.15529e-05
          14       -1.02    -1.01999 1.07595e-05
          15       -1.02    -1.01999  1.0068e-05
          16       -1.02    -1.01999 9.45976e-06
          17       -1.02    -1.01999 8.92074e-06
          18       -1.02    -1.01999 8.43976e-06
          19       -1.02    -1.01999 8.00793e-06
          20       -1.02    -1.01999  7.6181e-06
