Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            0.10;	1;	0;	0;	0;	500;	0;	-1;	0
            0.11;	1;	0;	0;	0;	454.545;	2.87498e-06;	-1;	0
            0.12;	1;	0;	0;	0;	416.667;	2.60965e-06;	-1;	0
            0.13;	1;	0;	0;	0;	384.615;	2.04718e-06;	-1;	0
            0.14;	1;	0;	0;	0;	357.143;	1.70598e-07;	-1;	0
            0.15;	1;	0;	0;	0;	333.333;	1.36479e-06;	-1;	0
            0.16;	1;	0;	0;	0;	312.5;	0;	-1;	0
            0.17;	1;	0;	0;	0;	294.118;	1.60942e-06;	-1;	0
            0.18;	1;	0;	0;	0;	277.778;	1.00927e-06;	-1;	0
            0.19;	1;	0;	0;	0;	263.158;	3.8147e-07;	-1;	0
            0.20;	1;	0;	0;	0;	250;	0;	-1;	0
            0.21;	1;	7.98291e-09;	1.4511e-06;	1.44965e-06;	238.095;	3.97718e-06;	-1;	1.59867e-08
            0.22;	0.999997;	3.1329e-06;	0.000102415;	9.71091e-05;	227.271;	0.00123515;	-0.999999;	1.18377e-06
            0.23;	0.999997;	3.13645e-06;	0.000109421;	8.95092e-05;	217.39;	0.00118306;	-0.999999;	1.19245e-06
            0.24;	0.999981;	1.49822e-05;	0.000363839;	0.000232147;	208.327;	0.00489619;	-0.999995;	3.40276e-06
            0.25;	0.99997;	1.65514e-05;	0.000569346;	0.000245623;	199.99;	0.00521571;	-0.999991;	3.89784e-06
            0.26;	0.722052;	0.0308739;	0.000696745;	0.000277885;	192.295;	0.00642817;	-0.999988;	4.78726e-06
            0.27;	0.713327;	0.0312368;	0.00179141;	0.000529252;	185.141;	0.0160322;	-0.999967;	9.94131e-06
            0.28;	0.712969;	0.0312308;	0.00365276;	0.00101538;	178.458;	0.036891;	-0.999926;	2.10473e-05
            0.29;	0.178089;	0.043854;	0.00493711;	0.00099793;	172.269;	0.0364126;	-0.999893;	2.20767e-05
            0.30;	0.242288;	0.0431603;	0.00705951;	0.00122248;	166.443;	0.0477874;	-0.999836;	2.90879e-05
            0.31;	0.036782;	0.0443701;	0.010606;	0.001569;	160.925;	0.0641629;	-0.999735;	4.0043e-05
            0.32;	-0.283421;	0.0420713;	0.0149218;	0.002046;	155.694;	0.0918182;	-0.999595;	5.85432e-05
            0.33;	-0.171367;	0.0429287;	0.0219855;	0.00225003;	150.682;	0.101306;	-0.999368;	6.75721e-05
            0.34;	0.103074;	0.0430693;	0.0262093;	0.00219034;	146.069;	0.101633;	-0.999205;	6.96042e-05
            0.35;	0.146722;	0.0424213;	0.0323998;	0.00240887;	141.599;	0.11627;	-0.998953;	8.20386e-05
            0.36;	0.0140296;	0.0424167;	0.0406421;	0.00253742;	137.261;	0.126572;	-0.99861;	9.11481e-05
            0.37;	-0.00913235;	0.041754;	0.0502128;	0.00286059;	133.049;	0.151042;	-0.998173;	0.00011087
            0.38;	-0.119884;	0.0406805;	0.0597905;	0.00296285;	129.061;	0.159224;	-0.997703;	0.000121529
            0.39;	-0.119821;	0.0391858;	0.0788771;	0.00331671;	124.717;	0.187383;	-0.996775;	0.000145848
            0.40;	-0.0775695;	0.0376087;	0.0994963;	0.00355548;	120.417;	0.212487;	-0.995662;	0.000170158
            0.41;	-0.060519;	0.0362122;	0.1191;	0.00366116;	116.309;	0.226288;	-0.994515;	0.000186592
            0.42;	-0.0383068;	0.0350809;	0.137087;	0.00363525;	112.398;	0.231651;	-0.99333;	0.000197135
            0.43;	-0.0866913;	0.0332392;	0.159455;	0.00363452;	108.301;	0.243323;	-0.991787;	0.000211184
            0.44;	-0.0671701;	0.0316767;	0.182335;	0.00354879;	104.196;	0.25988;	-0.990033;	0.000230295
            0.45;	-0.0292051;	0.0299961;	0.210483;	0.00357064;	99.8293;	0.272693;	-0.98777;	0.000247864
            0.46;	-0.0414847;	0.0276329;	0.231189;	0.00341856;	95.8386;	0.283904;	-0.985681;	0.000263689
            0.47;	0.00216607;	0.0257046;	0.253911;	0.00323788;	91.8358;	0.283449;	-0.983311;	0.000269399
            0.48;	0.0176927;	0.0240725;	0.277471;	0.00314515;	87.4281;	0.311169;	-0.980378;	0.000299979
            0.49;	0.0114675;	0.0222387;	0.298137;	0.00281748;	83.3027;	0.309118;	-0.977478;	0.000303109
            0.50;	0.0142101;	0.0199653;	0.318468;	0.00245882;	79.2713;	0.297137;	-0.974375;	0.000298053
            0.51;	-0.00145231;	0.0183959;	0.337144;	0.00223917;	75.1531;	0.293847;	-0.970965;	0.000299752
            0.52;	0.0036629;	0.0161713;	0.352149;	0.00203667;	71.1828;	0.300725;	-0.967411;	0.000314562
            0.53;	0.00888282;	0.015232;	0.367791;	0.00185804;	67.0583;	0.296582;	-0.963415;	0.000318873
            0.54;	0.0147734;	0.0140286;	0.378902;	0.00165261;	63.6487;	0.280603;	-0.959979;	0.000307728
            0.55;	0.0112515;	0.0134807;	0.389396;	0.001467;	60.1055;	0.273323;	-0.95607;	0.000304588
            0.56;	0.0126317;	0.012366;	0.396938;	0.00141979;	56.6789;	0.269767;	-0.952081;	0.00030707
            0.57;	0.00485502;	0.0113449;	0.405016;	0.00134533;	53.2644;	0.252187;	-0.947868;	0.000292597
            0.58;	0.000923896;	0.0102821;	0.408378;	0.00136207;	50.1046;	0.245379;	-0.943682;	0.000293043
            0.59;	0.00716009;	0.00943414;	0.41288;	0.00135509;	47.3201;	0.23837;	-0.939686;	0.000290052
            0.60;	0.00715063;	0.00863952;	0.417226;	0.00137725;	44.5058;	0.23162;	-0.935387;	0.000291236
            0.61;	0.000256704;	0.00808022;	0.420011;	0.00139898;	41.7671;	0.216683;	-0.930969;	0.000275728
            0.62;	0.00302179;	0.00770527;	0.421126;	0.00144599;	39.2083;	0.210666;	-0.926611;	0.000274277
            0.63;	0.00315731;	0.00719387;	0.422402;	0.00148496;	37.0185;	0.200819;	-0.922443;	0.000265493
            0.64;	0.00914791;	0.00656932;	0.425231;	0.00140703;	35.0198;	0.189759;	-0.918299;	0.000260828
            0.65;	0.009914;	0.00614795;	0.426939;	0.00135385;	33.0682;	0.174768;	-0.914035;	0.000248015
            0.66;	0.00548314;	0.00578782;	0.428702;	0.00135366;	31.1796;	0.163271;	-0.909697;	0.000238037
            0.67;	0.00774762;	0.00539905;	0.429957;	0.00134073;	29.4837;	0.150887;	-0.905431;	0.00023065
            0.68;	0.00612015;	0.00510886;	0.430939;	0.00128212;	27.8549;	0.141131;	-0.901132;	0.000221737
            0.69;	0.00650871;	0.00470239;	0.431687;	0.00125924;	26.3806;	0.128947;	-0.896833;	0.000209524
            0.70;	0.00434118;	0.00436668;	0.431011;	0.00120409;	24.8327;	0.117489;	-0.892242;	0.000202744
