Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            0.10;	1;	0;	-3.10751e-09;	0;	500;	0;	-1.02;	2.98023e-09
            0.11;	1;	0;	-2.56819e-09;	1.25975e-17;	454.545;	2.87498e-06;	-1.02;	2.98023e-09
            0.12;	1;	0;	-2.158e-09;	9.53435e-18;	416.667;	2.60965e-06;	-1.02;	2.98023e-09
            0.13;	1;	0;	-1.83877e-09;	8.68887e-18;	384.615;	2.04718e-06;	-1.02;	2.98023e-09
            0.14;	1;	0;	-1.58547e-09;	9.89127e-18;	357.143;	1.70598e-07;	-1.02;	2.98023e-09
            0.15;	1;	0;	-1.38112e-09;	0;	333.333;	1.36479e-06;	-1.02;	2.98023e-09
            0.16;	1;	0;	-1.21387e-09;	4.38854e-18;	312.5;	0;	-1.02;	2.98023e-09
            0.17;	1;	0;	-1.07526e-09;	4.7266e-18;	294.118;	1.60942e-06;	-1.02;	2.98023e-09
            0.18;	1;	0;	-9.59109e-10;	4.56071e-18;	277.778;	1.00927e-06;	-1.02;	2.98023e-09
            0.19;	1;	0;	-8.60807e-10;	3.97399e-18;	263.158;	3.8147e-07;	-1.02;	2.98023e-09
            0.20;	1;	0;	-7.76879e-10;	0;	250;	0;	-1.02;	2.98023e-09
            0.21;	1;	7.98291e-09;	1.47956e-06;	1.47879e-06;	238.095;	3.97718e-06;	-1.02;	1.58542e-08
            0.22;	1;	3.12646e-07;	2.36105e-05;	1.86796e-05;	227.273;	0.000131603;	-1.02;	2.19876e-07
            0.23;	0.999998;	1.34376e-06;	6.88853e-05;	4.9008e-05;	217.391;	0.000513126;	-1.02;	6.2212e-07
            0.24;	0.999998;	1.3923e-06;	7.98383e-05;	4.79141e-05;	208.333;	0.000511397;	-1.02;	6.63053e-07
            0.25;	0.999985;	1.19767e-05;	0.000337619;	0.000213134;	199.995;	0.00380457;	-1.01999;	3.12476e-06
            0.26;	0.999977;	1.25237e-05;	0.000543088;	0.000216159;	192.3;	0.00385341;	-1.01999;	3.43734e-06
            0.27;	0.99993;	3.15895e-05;	0.00113562;	0.00037848;	185.165;	0.00835196;	-1.01998;	6.33862e-06
            0.28;	0.999913;	3.28127e-05;	0.00139216;	0.000370069;	178.548;	0.00836499;	-1.01997;	6.66957e-06
            0.29;	0.999885;	3.61367e-05;	0.00178659;	0.000392613;	172.383;	0.00905964;	-1.01996;	7.61174e-06
            0.30;	0.999827;	3.98726e-05;	0.0026331;	0.000428053;	166.621;	0.00987521;	-1.01994;	8.92229e-06
            0.31;	0.993326;	0.00458052;	0.00463771;	0.000850427;	161.202;	0.0193425;	-1.01978;	9.73121e-05
