Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
0.10;	-1;	0;	0;	0;	500;	0;	-1;	0
0.11;	-1;	0;	0;	0;	454.545;	0;	-1;	0
0.12;	-1;	0;	0;	0;	416.667;	2.41263e-06;	-1;	0
0.13;	-1;	0;	0;	0;	384.615;	1.61844e-06;	-1;	0
0.14;	-1;	0;	0;	0;	357.143;	2.01855e-06;	-1;	0
0.15;	-1;	0;	0;	0;	333.333;	2.32039e-06;	-1;	0
0.16;	-1;	0;	0;	0;	312.5;	0;	-1;	0
0.17;	-1;	0;	0;	0;	294.118;	1.66279e-06;	-1;	0
0.18;	-1;	0;	0;	0;	277.778;	1.00927e-06;	-1;	0
0.19;	-1;	0;	0;	0;	263.158;	1.66279e-06;	-1;	0
0.20;	-1;	0;	0;	0;	250;	0;	-1;	0
0.21;	-1;	0;	0;	0;	238.095;	1.20631e-06;	-1;	0
0.22;	-1;	0;	0;	0;	227.273;	0;	-1;	0
0.23;	-0.999957;	4.23069e-05;	0.00048006;	0.000477654;	217.379;	0.0126559;	-0.999994;	6.36792e-06
0.24;	-0.999957;	4.23058e-05;	0.000451998;	0.000438707;	208.321;	0.0121282;	-0.999993;	6.3683e-06
0.25;	-0.999957;	4.23044e-05;	0.000457488;	0.000405938;	199.988;	0.0116433;	-0.999993;	6.3935e-06
0.26;	-0.999956;	4.23011e-05;	0.000446636;	0.000375426;	192.296;	0.0111944;	-0.999992;	6.39537e-06
0.27;	-0.999866;	9.51846e-05;	0.00100961;	0.000605823;	185.155;	0.0202619;	-0.999981;	1.11535e-05
0.28;	-0.958453;	0.0280093;	0.00235779;	0.00098705;	178.5;	0.0333111;	-0.999953;	1.95968e-05
0.29;	-0.743264;	0.0661431;	0.00763443;	0.0040104;	172.129;	0.172898;	-0.999828;	9.46398e-05
0.30;	-0.438223;	0.0887385;	0.0105001;	0.0040379;	166.28;	0.177795;	-0.99975;	0.00010091
0.31;	-0.578856;	0.0796389;	0.0117988;	0.00387598;	160.853;	0.174835;	-0.999702;	0.000103018
0.32;	-0.394129;	0.0882597;	0.0166568;	0.00418993;	155.62;	0.191307;	-0.999554;	0.000117231
0.33;	-0.366066;	0.0889646;	0.0202154;	0.00433934;	150.737;	0.200746;	-0.999425;	0.000128212
0.34;	-0.0894174;	0.0951877;	0.0235155;	0.00445156;	146.15;	0.207906;	-0.999291;	0.000139582
