Temperature;	Magnetization;	Error_Mag;	Specific_Heat;	Error_SpHe;	Susceptibility:	Error_Susc;	Total_Energy;	Error_tEn;	
            0.10;	1;	0;	-3.10751e-09;	0;	500;	0;	-1.02;	2.98023e-09
            0.11;	1;	0;	-2.56819e-09;	1.25975e-17;	454.545;	2.87498e-06;	-1.02;	2.98023e-09
            0.12;	1;	0;	-2.158e-09;	9.53435e-18;	416.667;	2.60965e-06;	-1.02;	2.98023e-09
            0.13;	1;	0;	-1.83877e-09;	8.68887e-18;	384.615;	2.04718e-06;	-1.02;	2.98023e-09
            0.14;	1;	0;	-1.58547e-09;	9.89127e-18;	357.143;	1.70598e-07;	-1.02;	2.98023e-09
            0.15;	1;	0;	-1.38112e-09;	0;	333.333;	1.36479e-06;	-1.02;	2.98023e-09
            0.16;	1;	0;	-1.21387e-09;	4.38854e-18;	312.5;	0;	-1.02;	2.98023e-09
            0.17;	1;	0;	-1.07526e-09;	4.7266e-18;	294.118;	1.60942e-06;	-1.02;	2.98023e-09
            0.18;	1;	0;	-9.59109e-10;	4.56071e-18;	277.778;	1.00927e-06;	-1.02;	2.98023e-09
            0.19;	1;	0;	-8.60807e-10;	3.97399e-18;	263.158;	3.8147e-07;	-1.02;	2.98023e-09
            0.20;	1;	0;	-7.76879e-10;	0;	250;	0;	-1.02;	2.98023e-09
            0.21;	1;	0;	-7.04652e-10;	5.3569e-18;	238.095;	1.38069e-06;	-1.02;	2.98023e-09
            0.22;	1;	0;	-6.42048e-10;	3.14937e-18;	227.273;	1.43749e-06;	-1.02;	2.98023e-09
            0.23;	1;	2.39761e-07;	1.64423e-05;	1.64265e-05;	217.391;	9.81415e-05;	-1.02;	2.12567e-07
            0.24;	0.999992;	5.72271e-06;	0.000189697;	0.000116261;	208.331;	0.00192356;	-1.02;	1.56384e-06
            0.25;	0.999986;	7.11117e-06;	0.000334678;	0.000140194;	199.995;	0.00233124;	-1.02;	2.05244e-06
            0.26;	0.999971;	1.09846e-05;	0.000581183;	0.000193801;	192.299;	0.00343036;	-1.01999;	3.06361e-06
            0.27;	0.999959;	1.41051e-05;	0.000767955;	0.00020873;	185.173;	0.0040719;	-1.01999;	3.53469e-06
            0.28;	0.999943;	1.89209e-05;	0.00100428;	0.000233112;	178.555;	0.00489688;	-1.01998;	4.20763e-06
            0.29;	0.999872;	3.3395e-05;	0.00186827;	0.000365153;	172.38;	0.00834959;	-1.01996;	7.0536e-06
            0.30;	0.999735;	5.74017e-05;	0.0030694;	0.000460965;	166.605;	0.0117161;	-1.01994;	9.20397e-06
            0.31;	0.999658;	6.32949e-05;	0.00389627;	0.00049214;	161.213;	0.0125498;	-1.01991;	1.05536e-05
