#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0579706   0.0579706           0
           2   0.0579705   0.0579705 2.90805e-09
           3   0.0579705   0.0579705 4.18232e-09
           4   0.0579705   0.0579705 4.52675e-09
           5   0.0579705   0.0579705 4.96317e-09
           6   0.0579705   0.0579705 5.40381e-09
           7   0.0579705   0.0579705 5.68139e-09
           8   0.0579705   0.0579705 5.77401e-09
           9   0.0579705   0.0579705 5.88611e-09
          10   0.0579705   0.0579705 6.09999e-09
          11   0.0579705   0.0579705 6.24435e-09
          12   0.0579705   0.0579705 6.35077e-09
          13   0.0579705   0.0579705 6.54224e-09
          14   0.0579705   0.0579705 6.74118e-09
          15   0.0579705   0.0579705  6.9756e-09
          16   0.0579705   0.0579705 7.14415e-09
          17   0.0579704   0.0579705 7.35061e-09
          18   0.0579704   0.0579705 7.64845e-09
          19   0.0579704   0.0579705 7.91552e-09
          20   0.0579704   0.0579705 8.23312e-09
