#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.06        1.06           0
           2        1.06        1.06           0
           3        1.06        1.06           0
           4        1.06        1.06           0
           5        1.06        1.06           0
           6        1.06        1.06           0
           7        1.06        1.06           0
           8        1.06        1.06           0
           9        1.06        1.06           0
          10        1.06        1.06   6.664e-09
          11        1.06        1.06 6.35388e-09
          12        1.06        1.06 6.08337e-09
          13        1.06        1.06 8.26568e-09
          14        1.06        1.06 7.96501e-09
          15        1.06        1.06 7.69493e-09
          16        1.06        1.06 7.45058e-09
          17        1.06        1.06 7.22812e-09
          18        1.06        1.06 7.02447e-09
          19        1.06        1.06 6.83712e-09
          20        1.06        1.06   6.664e-09
