#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -4.6986     -4.6986           0
           2    -4.69604    -4.69732 0.000903898
           3    -4.69363    -4.69609  0.00117097
           4    -4.69107    -4.69484  0.00139695
           5    -4.68757    -4.69338  0.00171392
           6    -4.68428    -4.69186  0.00198975
           7    -4.68253    -4.69053  0.00210514
           8    -4.68015    -4.68923   0.0022058
           9    -4.67775    -4.68796   0.0023002
          10    -4.67508    -4.68667  0.00240385
          11    -4.67158     -4.6853  0.00254678
          12    -4.66866    -4.68391  0.00268558
          13     -4.6666    -4.68258  0.00278967
          14    -4.66424    -4.68127  0.00288174
          15    -4.66336    -4.68008  0.00292663
          16    -4.66137    -4.67891  0.00296805
          17    -4.65943    -4.67776  0.00300644
          18    -4.65665    -4.67659  0.00305967
          19    -4.65275    -4.67533  0.00314531
          20    -4.65038    -4.67409  0.00322607
          21    -4.64856    -4.67287  0.00329355
          22    -4.64665    -4.67168  0.00335265
          23    -4.64507    -4.67052  0.00340058
          24    -4.64175    -4.66932  0.00346374
          25    -4.63919    -4.66812  0.00352863
          26    -4.63749    -4.66694  0.00358416
          27    -4.63534    -4.66577  0.00363743
          28    -4.63158    -4.66455  0.00370685
          29    -4.62865    -4.66331  0.00378006
          30    -4.62531    -4.66204  0.00386043
          31    -4.62353     -4.6608  0.00393077
          32    -4.61946    -4.65951  0.00401459
          33    -4.61452    -4.65815  0.00411797
          34    -4.60952    -4.65672  0.00423797
          35    -4.60429    -4.65522  0.00437357
          36    -4.59903    -4.65366  0.00452197
          37    -4.59439    -4.65206  0.00467485
          38    -4.59113    -4.65045  0.00481896
          39    -4.58416    -4.64875  0.00498621
          40    -4.57771    -4.64698   0.0051682
          41    -4.57326    -4.64518  0.00534578
          42    -4.56183    -4.64319  0.00557465
          43    -4.55583    -4.64116  0.00580349
          44    -4.55325    -4.63916  0.00600569
          45    -4.55069     -4.6372  0.00618568
          46    -4.54857    -4.63527  0.00634419
          47     -4.5483    -4.63342  0.00647346
          48    -4.55062     -4.6317  0.00656441
          49    -4.55202    -4.63007  0.00662876
          50    -4.54903    -4.62845   0.0066914
          51    -4.54081    -4.62673  0.00677724
          52    -4.53321    -4.62493  0.00688142
          53    -4.53355    -4.62321  0.00696423
          54    -4.53171    -4.62151  0.00703838
          55    -4.53079    -4.61986  0.00710105
          56    -4.52992    -4.61826   0.0071536
          57    -4.52905    -4.61669  0.00719725
          58    -4.52636    -4.61514   0.0072397
          59    -4.52041    -4.61353  0.00729284
          60    -4.51383    -4.61187  0.00735816
          61    -4.50908    -4.61018  0.00742798
          62    -4.51088    -4.60858  0.00747886
          63    -4.51036    -4.60702   0.0075209
          64    -4.51346    -4.60556  0.00754412
          65    -4.51792    -4.60421  0.00754758
          66     -4.5196    -4.60293  0.00754132
          67    -4.51625    -4.60164  0.00753892
          68    -4.51502    -4.60036  0.00753489
          69    -4.51316     -4.5991  0.00753093
          70     -4.5163    -4.59792  0.00751567
          71     -4.5128    -4.59672  0.00750481
          72    -4.51052    -4.59552  0.00749546
          73    -4.50562    -4.59429  0.00749326
          74    -4.50472    -4.59308  0.00748913
          75    -4.49895    -4.59182   0.0074937
          76    -4.49707    -4.59058  0.00749809
          77    -4.49752    -4.58937  0.00749748
          78     -4.4983     -4.5882  0.00749171
          79    -4.49807    -4.58706  0.00748325
          80    -4.49287    -4.58588  0.00748175
          81     -4.4877    -4.58467  0.00748693
          82    -4.48255    -4.58343  0.00749849
          83    -4.47524    -4.58212  0.00752059
          84    -4.47881    -4.58089  0.00753095
          85    -4.47744    -4.57967  0.00754004
          86    -4.47096    -4.57841  0.00755759
          87    -4.47228    -4.57719  0.00756854
          88    -4.47269      -4.576  0.00757512
          89    -4.47322    -4.57485  0.00757753
          90    -4.47523    -4.57374  0.00757374
          91    -4.47455    -4.57265  0.00756854
          92    -4.46707     -4.5715  0.00757278
          93    -4.46316    -4.57034  0.00758044
          94    -4.45792    -4.56914  0.00759354
          95    -4.45536    -4.56795  0.00760748
          96    -4.45706    -4.56679  0.00761542
          97    -4.45248    -4.56561  0.00762755
          98    -4.44797    -4.56441  0.00764359
          99    -4.44294    -4.56318  0.00766423
         100    -4.44422    -4.56199  0.00767936
         101    -4.44892    -4.56088  0.00768451
         102    -4.44117     -4.5597  0.00769827
         103    -4.43709    -4.55851  0.00771501
         104    -4.43316    -4.55731   0.0077344
         105    -4.42361    -4.55603  0.00776484
         106    -4.42203    -4.55477  0.00779381
         107    -4.42204    -4.55353  0.00781906
         108     -4.4105     -4.5522  0.00785801
         109    -4.39969     -4.5508   0.0079095
         110    -4.40239    -4.54946  0.00795184
         111    -4.40417    -4.54815  0.00798719
         112    -4.40117    -4.54683  0.00802295
         113     -4.3973    -4.54551  0.00806035
         114    -4.39759    -4.54421  0.00809341
         115     -4.3967    -4.54293  0.00812404
         116     -4.3937    -4.54164  0.00815523
         117    -4.38753    -4.54033  0.00819122
         118    -4.37633    -4.53894  0.00823887
         119    -4.37422    -4.53755  0.00828509
         120    -4.36498    -4.53611  0.00833993
         121    -4.36108    -4.53467  0.00839552
         122    -4.35374    -4.53319  0.00845667
         123    -4.34562    -4.53166   0.0085243
         124    -4.34713    -4.53017  0.00858447
         125    -4.33886    -4.52864  0.00865116
         126    -4.33805    -4.52713  0.00871374
         127    -4.32759    -4.52556  0.00878563
         128     -4.3321    -4.52405  0.00884605
         129    -4.32855    -4.52253  0.00890635
         130    -4.33038    -4.52105  0.00895965
         131    -4.32238    -4.51954  0.00901869
         132    -4.31263    -4.51797  0.00908555
         133    -4.30968     -4.5164  0.00915122
