#   N_BLOCK:  ACCEPTANCE:
           1    0.999963
           2    0.999931
           3    0.999904
           4    0.999884
           5    0.999878
           6    0.999856
           7    0.999843
           8    0.999832
           9    0.999822
          10    0.999811
          11    0.999797
          12    0.999789
          13    0.999778
          14    0.999771
          15     0.99976
          16    0.999756
          17    0.999748
          18     0.99974
          19    0.999724
          20     0.99971
