#   N_BLOCK:  ACCEPTANCE:
           1    0.999528
           2    0.999157
           3    0.998892
           4    0.998711
           5    0.998541
           6    0.998427
           7    0.998336
           8    0.998275
           9    0.998223
          10    0.998151
          11    0.998093
          12    0.998036
          13    0.997978
          14    0.997928
          15    0.997881
          16    0.997833
          17    0.997789
          18    0.997748
          19    0.997711
          20    0.997642
