#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       1.095       1.095           0
           2       1.095       1.095           0
           3       1.095       1.095           0
           4       1.095       1.095           0
           5       1.095       1.095           0
           6       1.095       1.095 8.60319e-09
           7       1.095       1.095 7.96501e-09
           8       1.095       1.095 7.45058e-09
           9       1.095       1.095 7.02447e-09
          10       1.095       1.095   6.664e-09
          11       1.095       1.095 6.35388e-09
          12       1.095       1.095 6.08337e-09
          13       1.095       1.095 5.84472e-09
          14       1.095       1.095 5.63211e-09
          15       1.095       1.095 5.44113e-09
          16       1.095       1.095 5.26836e-09
          17       1.095       1.095 5.11106e-09
          18       1.095       1.095 4.96705e-09
          19       1.095       1.095 4.83458e-09
          20       1.095       1.095 4.71216e-09
