#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26559     1.26559           0
           2     1.23584     1.25071   0.0105195
           3      1.2298     1.24374  0.00903182
           4     1.22315     1.23859  0.00810902
           5      1.2323     1.23734  0.00658426
           6     1.21726     1.23399  0.00627986
           7     1.18167     1.22652  0.00876669
           8     1.16745     1.21913   0.0103221
           9     1.19394     1.21633  0.00954724
          10     1.21618     1.21632  0.00859253
          11     1.20114     1.21494  0.00792133
          12      1.1818     1.21218  0.00772758
          13      1.1664     1.20865  0.00789484
          14     1.17229     1.20606  0.00774636
          15     1.19022       1.205  0.00730152
          16     1.20869     1.20523  0.00684881
          17     1.21002     1.20551  0.00645173
          18     1.22694      1.2067  0.00620215
          19     1.25132     1.20905  0.00630467
          20     1.24111     1.21066  0.00618986
          21     1.22352     1.21127  0.00592533
          22     1.22478     1.21188  0.00568773
          23     1.25085     1.21358  0.00568712
          24     1.26312     1.21564  0.00581274
          25     1.26819     1.21774  0.00594812
          26     1.28422      1.2203  0.00624469
          27      1.2877      1.2228  0.00649318
          28     1.29381     1.22533  0.00673845
          29      1.2632     1.22664  0.00663138
          30     1.25518     1.22759  0.00647823
          31     1.28265     1.22937  0.00650822
          32     1.23752     1.22962  0.00630982
          33     1.20246      1.2288  0.00617205
          34     1.21003     1.22825  0.00601514
          35     1.21251      1.2278  0.00586006
          36     1.18687     1.22666  0.00580653
          37     1.20728     1.22613  0.00567316
          38     1.20188      1.2255  0.00555965
          39     1.19879     1.22481  0.00545912
          40     1.20198     1.22424  0.00535239
          41     1.21484     1.22401  0.00522676
          42     1.25626     1.22478  0.00515838
          43     1.25879     1.22557   0.0050987
          44     1.23726     1.22584  0.00498974
          45     1.21805     1.22566  0.00488185
          46     1.21661     1.22547  0.00477968
          47     1.23794     1.22573  0.00468535
          48     1.19953     1.22519  0.00461942
          49     1.23177     1.22532   0.0045271
          50     1.22269     1.22527  0.00443686
          51     1.23222      1.2254  0.00435196
          52     1.22821     1.22546   0.0042686
          53     1.23584     1.22565  0.00419256
          54     1.23679     1.22586  0.00411998
          55      1.2357     1.22604  0.00404896
          56     1.19274     1.22544  0.00402007
          57     1.18915     1.22481  0.00399965
          58     1.20744     1.22451  0.00394189
          59     1.21965     1.22443  0.00387594
          60     1.23662     1.22463  0.00381666
          61     1.21067      1.2244  0.00376095
          62     1.20264     1.22405  0.00371663
          63     1.19949     1.22366  0.00367802
          64     1.18966     1.22313  0.00365871
          65     1.20595     1.22286  0.00361196
          66     1.17838     1.22219  0.00361958
          67      1.1585     1.22124  0.00368827
          68     1.18083     1.22064   0.0036816
          69     1.20794     1.22046  0.00363284
          70      1.1965     1.22012  0.00359704
          71     1.17911     1.21954  0.00359246
          72     1.17976     1.21899  0.00358479
          73     1.19909     1.21872  0.00354603
          74     1.19176     1.21835  0.00351678
          75     1.19415     1.21803  0.00348466
          76     1.18201     1.21755  0.00347089
          77     1.19929     1.21732  0.00343391
          78     1.22408      1.2174  0.00339098
          79     1.19006     1.21706  0.00336568
          80     1.18956     1.21671  0.00334111
          81     1.16221     1.21604  0.00336694
          82      1.2001     1.21585  0.00333149
          83     1.18025     1.21542  0.00331884
          84     1.20106     1.21525  0.00328373
          85     1.25017     1.21566  0.00327071
          86     1.21367     1.21564  0.00323276
          87     1.18249     1.21525  0.00321796
          88     1.20052     1.21509  0.00318575
          89     1.21651      1.2151  0.00314999
          90     1.22455     1.21521  0.00311674
          91      1.2051      1.2151  0.00308447
          92     1.18209     1.21474  0.00307174
          93     1.17382      1.2143  0.00307005
          94     1.16852     1.21381  0.00307578
          95     1.15725     1.21322  0.00310049
          96     1.17035     1.21277  0.00310019
          97     1.14437     1.21206  0.00314739
          98     1.15374     1.21147  0.00317104
          99     1.14988     1.21085  0.00319944
         100     1.18259     1.21056   0.0031799
