#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38845     1.38845           0
           2     1.38839     1.38842 2.05317e-05
           3     1.38826     1.38837 4.41624e-05
           4     1.38827     1.38834 3.91708e-05
           5     1.38817     1.38831 4.31926e-05
           6     1.38829     1.38831 3.60721e-05
           7     1.38832     1.38831 3.09914e-05
           8     1.38838     1.38832 2.83692e-05
           9     1.38826     1.38831 2.58625e-05
          10     1.38829     1.38831 2.33923e-05
          11     1.38843     1.38832 2.37367e-05
          12     1.38835     1.38832 2.19039e-05
          13     1.38845     1.38833 2.22535e-05
          14     1.38837     1.38833 2.07976e-05
          15     1.38836     1.38834 1.94752e-05
          16      1.3884     1.38834 1.87374e-05
          17      1.3884     1.38834 1.80015e-05
          18     1.38834     1.38834 1.70046e-05
          19      1.3885     1.38835 1.80066e-05
          20     1.38856     1.38836 1.99959e-05
          21     1.38849     1.38837 2.00002e-05
          22     1.38836     1.38837 1.90929e-05
          23     1.38828     1.38836 1.86462e-05
          24     1.38815     1.38836 1.99278e-05
          25     1.38795     1.38834 2.47843e-05
          26     1.38797     1.38833 2.75116e-05
          27     1.38808     1.38832 2.79357e-05
          28     1.38825     1.38831 2.70267e-05
          29     1.38832     1.38831 2.60973e-05
          30      1.3882     1.38831 2.54974e-05
          31     1.38829     1.38831 2.46876e-05
          32      1.3883     1.38831 2.39179e-05
          33     1.38835     1.38831 2.32197e-05
          34     1.38845     1.38831  2.2916e-05
          35     1.38857     1.38832 2.33853e-05
          36     1.38852     1.38833 2.33854e-05
          37     1.38848     1.38833 2.31123e-05
          38     1.38838     1.38833 2.25442e-05
          39      1.3882     1.38833 2.22307e-05
          40      1.3882     1.38833 2.19039e-05
          41     1.38825     1.38832 2.14472e-05
          42     1.38837     1.38833 2.09588e-05
          43     1.38839     1.38833 2.05212e-05
          44     1.38859     1.38833 2.08787e-05
          45      1.3885     1.38834 2.07378e-05
          46     1.38849     1.38834 2.05465e-05
          47     1.38857     1.38834 2.06691e-05
          48     1.38865     1.38835 2.11967e-05
          49     1.38854     1.38835 2.11033e-05
          50     1.38861     1.38836 2.12719e-05
          51     1.38854     1.38836 2.11453e-05
          52     1.38849     1.38837  2.0882e-05
          53      1.3885     1.38837 2.06389e-05
          54     1.38833     1.38837 2.02719e-05
          55     1.38853     1.38837 2.01278e-05
          56     1.38853     1.38837 1.99632e-05
          57     1.38843     1.38837 1.96335e-05
          58     1.38849     1.38838 1.93942e-05
          59     1.38852     1.38838 1.92156e-05
          60     1.38851     1.38838 1.90124e-05
          61      1.3885     1.38838 1.88009e-05
          62     1.38849     1.38838 1.85751e-05
          63     1.38851     1.38839 1.83903e-05
          64     1.38845     1.38839 1.81315e-05
          65     1.38854     1.38839 1.79977e-05
          66     1.38849     1.38839  1.7787e-05
          67     1.38848     1.38839  1.7567e-05
          68     1.38833     1.38839 1.73348e-05
          69     1.38835     1.38839 1.70964e-05
          70     1.38839     1.38839 1.68523e-05
          71      1.3884     1.38839 1.66158e-05
          72     1.38832     1.38839  1.6411e-05
          73     1.38847     1.38839 1.62186e-05
          74     1.38855     1.38839 1.61336e-05
          75     1.38856      1.3884 1.60683e-05
          76     1.38847      1.3884 1.58862e-05
          77     1.38845      1.3884 1.56947e-05
          78      1.3885      1.3884 1.55437e-05
          79     1.38849      1.3884 1.53857e-05
          80     1.38841      1.3884 1.51945e-05
          81     1.38837      1.3884  1.5012e-05
          82      1.3884      1.3884 1.48291e-05
          83     1.38847      1.3884 1.46775e-05
          84     1.38833      1.3884 1.45277e-05
          85     1.38846      1.3884  1.4375e-05
          86     1.38845      1.3884 1.42192e-05
          87      1.3884      1.3884 1.40558e-05
          88     1.38835      1.3884 1.39091e-05
          89     1.38847      1.3884 1.37773e-05
          90     1.38844      1.3884 1.36328e-05
          91     1.38854      1.3884 1.35665e-05
          92     1.38848      1.3884 1.34435e-05
          93     1.38848      1.3884 1.33213e-05
          94     1.38852     1.38841 1.32381e-05
          95     1.38851     1.38841 1.31444e-05
          96     1.38857     1.38841 1.31142e-05
          97     1.38857     1.38841 1.30804e-05
          98     1.38853     1.38841 1.30029e-05
          99     1.38848     1.38841 1.28922e-05
         100     1.38849     1.38841 1.27848e-05
