# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1           0           0
           1  0.00433897 2.16405e-05
           1   0.0115426 4.18487e-05
           1    0.062788 0.000258703
           1    0.166624 0.000577494
           1    0.416856  0.00137137
           1    0.863853   0.0026085
           1     1.66646  0.00475969
           1     2.80485  0.00737677
           1      4.2329   0.0102051
           1     5.88753   0.0130574
           1     7.67586   0.0157295
           1     9.81056   0.0188858
           1     12.1639   0.0221058
           1     14.7767   0.0255055
           1      17.388   0.0284694
           1     20.0554   0.0312394
           1     22.6623   0.0336435
           1     25.1534    0.035667
           1     27.4286   0.0372369
           1     29.6153   0.0386074
           1     31.8133   0.0399304
           1     33.8993    0.041062
           1     35.9867    0.042152
           1      37.744   0.0428695
           1     39.5347   0.0435965
           1     41.1467   0.0441516
           1     42.6073   0.0445804
           1     43.9341   0.0449118
           1     45.2053   0.0452029
           1     46.4012   0.0454462
           1      47.574   0.0456724
           1     48.6583    0.045851
           1     49.7064   0.0460097
           1     50.6857   0.0461366
           1     51.6204   0.0462436
           1      52.641   0.0463811
           1     53.7033   0.0465328
           1     54.6542   0.0466372
           1       55.51   0.0467071
           1     56.3436   0.0467682
           1     57.1426   0.0468177
           1     57.9718   0.0468738
           1     58.7843   0.0469233
           1     59.5786   0.0469661
           1     60.3016   0.0469899
           1     60.9477   0.0469968
           1     61.6751   0.0470189
           1     62.3834   0.0470354
           1     63.0419   0.0470409
           1     63.6959   0.0470445
           1     64.3158   0.0470411
           1     64.9631   0.0470413
           1     65.6277   0.0470434
           1      66.278   0.0470418
           1     66.9689   0.0470463
           1     67.6541   0.0470485
           1     68.3141    0.047045
           1     68.9923   0.0470435
           1     69.7181   0.0470497
           1     70.4926   0.0470648
           1     71.2275     0.04707
           1     71.9594   0.0470731
           1     72.6792   0.0470724
           1       73.45   0.0470806
           1     74.2294   0.0470891
           1     75.0408   0.0471031
           1     75.8005   0.0471042
           1     76.6732   0.0471298
           1     77.4868    0.047139
           1     78.3157     0.04715
           1     79.1268   0.0471551
           1     80.0442   0.0471846
           1       80.99   0.0472199
           1     81.9258   0.0472499
           1      82.852    0.047275
           1     83.8455    0.047317
           1     84.8126   0.0473486
           1     85.8543   0.0474004
           1     86.8935   0.0474484
           1     87.8995   0.0474834
           1     88.9215   0.0475205
           1     89.9298   0.0475507
           1     90.9573    0.047584
           1     92.0442    0.047633
           1     93.1808   0.0476958
           1     94.3912   0.0477821
           1     95.6134   0.0478691
           1     96.7951   0.0479368
           1     97.9526   0.0479922
           1     99.1147   0.0480457
           1     100.281   0.0480971
           1     101.498   0.0481627
           1     102.765   0.0482437
           1     104.031   0.0483196
           1     105.233   0.0483679
           1     106.457   0.0484204
           1     107.664   0.0484627
           1     108.859   0.0484975
           1     110.053    0.048528
           1     111.193    0.048538
           1     112.335   0.0485452
           1      113.48   0.0485497
           1     114.594   0.0485424
           1     115.691   0.0485268
           1     116.795   0.0485102
           1     117.928   0.0484984
           1     119.029   0.0484745
           1     120.112   0.0484431
           1       121.2   0.0484097
           1      122.28   0.0483716
           1     123.319   0.0483208
           1     124.329   0.0482611
           1     125.282   0.0481881
           1     126.244   0.0481144
           1     127.256   0.0480472
           1     128.269   0.0479773
           1     129.236   0.0478965
           1     130.208   0.0478139
           1     131.169    0.047727
           1     132.102   0.0476332
           1     133.001   0.0475325
           1     133.917   0.0474316
           1     134.836   0.0473286
           1     135.769   0.0472249
           1     136.671   0.0471149
           1     137.613   0.0470075
           1     138.534   0.0468947
           1     139.411   0.0467748
           1     140.284    0.046652
           1     141.172   0.0465283
           1     142.044   0.0464007
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2           0           0
           2   0.0130895 0.000130567
           2   0.0589541 0.000475134
           2     0.14302 0.000961234
           2    0.277269  0.00164257
           2    0.485978  0.00264089
           2    0.798578  0.00406761
           2     1.27399  0.00621726
           2     1.96715  0.00925085
           2     2.84662    0.012681
           2     3.87978   0.0162504
           2     5.00009   0.0196115
           2     6.24947   0.0231015
           2     7.53347    0.026262
           2     8.80268   0.0289899
           2     10.1113   0.0316116
           2     11.4465   0.0341053
           2     12.6993   0.0361249
           2     13.8763   0.0377875
           2     15.0127   0.0392507
           2      16.022   0.0403339
           2     16.9819   0.0412689
           2     17.8767   0.0420428
           2     18.7353    0.042727
           2      19.524    0.043275
           2     20.3028   0.0437933
           2     21.0318   0.0442259
           2     21.6859   0.0445506
           2     22.3244   0.0448495
           2       22.91   0.0450835
           2     23.4934   0.0453102
           2     24.0586    0.045514
           2     24.6071   0.0456976
           2     25.1242   0.0458492
           2     25.5918   0.0459581
           2     26.1344   0.0461255
           2     26.6705   0.0462833
           2     27.1996   0.0464316
           2     27.6824   0.0465398
           2     28.1224   0.0466158
           2     28.5204   0.0466648
           2     28.9167   0.0467111
           2     29.3241   0.0467617
           2     29.7157   0.0468021
           2     30.1022   0.0468382
           2     30.5044   0.0468807
           2     30.8802   0.0469083
           2     31.2264   0.0469215
           2     31.5743   0.0469341
           2     31.9272   0.0469474
           2     32.3047     0.04697
           2     32.6862   0.0469929
           2     33.0328   0.0469996
           2     33.3686    0.047001
           2     33.7277     0.04701
           2     34.0615   0.0470082
           2     34.4268    0.047017
           2     34.7647   0.0470141
           2      35.113   0.0470137
           2     35.4602   0.0470116
           2     35.7981    0.047005
           2     36.1694   0.0470096
           2     36.5409   0.0470127
           2     36.9077   0.0470125
           2     37.2517   0.0470027
           2     37.5885   0.0469893
           2     37.9238   0.0469742
           2     38.3103   0.0469764
           2     38.7088   0.0469821
           2     39.1153   0.0469896
           2     39.5293   0.0469988
           2     39.9473   0.0470079
           2     40.3708   0.0470178
           2     40.8033   0.0470301
           2     41.2354   0.0470401
           2     41.6977   0.0470635
           2     42.1829   0.0470974
           2     42.7234   0.0471639
           2     43.2779   0.0472371
           2     43.8414   0.0473133
           2     44.3653   0.0473592
           2     44.9269   0.0474274
           2     45.4938   0.0474959
           2     46.0542   0.0475564
           2     46.6399   0.0476317
           2     47.2328   0.0477085
           2     47.8162   0.0477746
           2     48.4202   0.0478521
           2     49.0538   0.0479489
           2     49.6682   0.0480262
           2     50.2644   0.0480861
           2     50.8641   0.0481447
           2     51.4533   0.0481922
           2     52.0623   0.0482499
           2     52.6799   0.0483099
           2     53.2915   0.0483617
           2     53.9106   0.0484148
           2     54.5054   0.0484472
           2      55.093   0.0484712
           2     55.6424   0.0484688
           2     56.1827   0.0484583
           2     56.7144   0.0484403
           2     57.2651   0.0484294
           2     57.7959    0.048405
           2     58.3626   0.0483967
           2     58.9018   0.0483705
           2     59.4435   0.0483425
           2     60.0015   0.0483198
           2     60.5412   0.0482846
           2     61.0648   0.0482388
           2     61.5847   0.0481885
           2     62.0902   0.0481292
           2     62.5975    0.048068
           2     63.1246   0.0480123
           2     63.6601   0.0479574
           2     64.1669   0.0478874
           2     64.6725   0.0478142
           2     65.1587   0.0477313
           2     65.6457    0.047646
           2     66.1218   0.0475546
           2     66.5746   0.0474542
           2     67.0348   0.0473533
           2     67.4874    0.047248
           2     67.9237   0.0471367
           2     68.3631   0.0470238
           2      68.789    0.046906
           2     69.2311   0.0467889
           2     69.6739   0.0466697
           2     70.1078   0.0465463
           2     70.5618   0.0464246
           2     70.9914   0.0462957
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3           0           0
           3 0.000843689 1.26237e-05
           3  0.00517758 6.60006e-05
           3   0.0127505 0.000130793
           3   0.0408279 0.000439079
           3    0.114971  0.00119023
           3     0.26848  0.00257926
           3     0.48214  0.00409189
           3    0.823005  0.00651042
           3     1.23466  0.00891971
           3     1.71918   0.0114355
           3     2.38732   0.0151039
           3     3.15611   0.0188764
           3     3.93819   0.0220839
           3     4.83628   0.0256964
           3     5.70058   0.0286032
           3     6.59306   0.0313849
           3     7.47378   0.0338468
           3     8.31201      0.0359
           3     9.12689   0.0377124
           3     9.86555   0.0391051
           3     10.6138   0.0404713
           3     11.2876   0.0415151
           3     11.8971   0.0423224
           3     12.4774   0.0430237
           3     13.0259   0.0436233
           3     13.5436   0.0441341
           3     14.0227   0.0445489
           3     14.5066   0.0449641
           3     14.9678   0.0453248
           3     15.3842   0.0455975
           3     15.7869   0.0458421
           3     16.1893   0.0460808
           3      16.573   0.0462864
           3     16.9436   0.0464689
           3     17.2957   0.0466229
           3     17.6517   0.0467783
           3     17.9654   0.0468805
           3     18.2645   0.0469651
           3     18.5409   0.0470262
           3     18.8181   0.0470861
           3     19.0875   0.0471375
           3     19.3351   0.0471703
           3     19.5698   0.0471928
           3     19.8131   0.0472196
           3     20.0687   0.0472539
           3     20.3055   0.0472735
           3     20.5387   0.0472897
           3     20.7452   0.0472897
           3     20.9837   0.0473066
           3      21.204   0.0473115
           3     21.4347   0.0473212
           3     21.6599   0.0473263
           3     21.8844     0.04733
           3      22.102   0.0473287
           3     22.3274   0.0473305
           3     22.5463   0.0473276
           3     22.7727   0.0473275
           3     23.0145   0.0473349
           3     23.2407   0.0473322
           3     23.4713   0.0473306
           3     23.7051   0.0473294
           3     23.9462    0.047331
           3     24.1901   0.0473329
           3      24.438   0.0473357
           3     24.6945   0.0473423
           3     24.9472    0.047345
           3     25.2134   0.0473547
           3     25.4897   0.0473697
           3     25.7448   0.0473691
           3      26.016    0.047377
           3      26.292   0.0473865
           3     26.6034   0.0474212
           3     26.9075   0.0474475
           3      27.224    0.047482
           3     27.5373   0.0475112
           3     27.8525   0.0475398
           3     28.1788   0.0475754
           3     28.5239   0.0476257
           3     28.8679    0.047672
           3     29.2217   0.0477249
           3     29.5835   0.0477826
           3     29.9626   0.0478552
           3     30.3331   0.0479152
           3     30.6834   0.0479525
           3     31.0457   0.0479981
           3      31.401   0.0480339
