#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44295    -5.44295           0
           2    -5.42264     -5.4328  0.00717945
           3    -5.49778    -5.45446   0.0183212
           4    -5.42707    -5.44761   0.0149661
           5    -5.43807     -5.4457   0.0120939
           6    -5.43706    -5.44426   0.0101638
           7     -5.4899    -5.45078   0.0105987
           8    -5.44987    -5.45067  0.00927447
           9    -5.47714    -5.45361   0.0086979
          10    -5.40972    -5.44922  0.00886631
          11    -5.45706    -5.44993  0.00808886
          12    -5.46213    -5.45095  0.00747837
          13    -5.45753    -5.45146  0.00692023
          14    -5.41626    -5.44894  0.00686729
          15    -5.46247    -5.44984  0.00646841
          16    -5.45034    -5.44987  0.00606421
          17    -5.45755    -5.45033  0.00572427
          18    -5.47165    -5.45151  0.00552747
          19    -5.41824    -5.44976    0.005507
          20    -5.48232    -5.45139  0.00546699
          21    -5.42212    -5.44999  0.00538139
          22    -5.49274    -5.45194  0.00547628
          23    -5.48206    -5.45325  0.00539256
          24    -5.38503     -5.4504  0.00586929
          25    -5.45275     -5.4505  0.00563527
          26    -5.44297    -5.45021  0.00542597
          27      -5.435    -5.44965  0.00525415
          28    -5.47548    -5.45057  0.00514687
          29     -5.4602     -5.4509  0.00498009
          30    -5.45847    -5.45115  0.00482048
          31    -5.49384    -5.45253  0.00485771
          32    -5.46132     -5.4528  0.00471367
          33     -5.4905    -5.45395  0.00470722
          34    -5.39857    -5.45232  0.00484232
          35    -5.45339    -5.45235  0.00470406
          36    -5.46624    -5.45273  0.00458919
          37    -5.48138    -5.45351  0.00452999
          38    -5.45298    -5.45349   0.0044108
          39    -5.50487    -5.45481  0.00449008
          40    -5.45371    -5.45478  0.00437792
          41    -5.46897    -5.45513  0.00428479
          42    -5.45518    -5.45513  0.00418277
          43    -5.48023    -5.45571  0.00412601
          44    -5.51789    -5.45713  0.00426733
          45    -5.46266    -5.45725  0.00417427
          46    -5.40152    -5.45604  0.00425573
          47     -5.4709    -5.45636  0.00417692
          48    -5.39686    -5.45512  0.00426987
          49    -5.41685    -5.45434  0.00425353
          50    -5.44311    -5.45411  0.00417437
          51    -5.46189    -5.45426  0.00409531
          52    -5.47473    -5.45466  0.00403543
          53    -5.47038    -5.45495  0.00397018
          54     -5.4427    -5.45473  0.00390314
          55    -5.44895    -5.45462  0.00383359
          56    -5.44888    -5.45452   0.0037665
          57    -5.40597    -5.45367   0.0037955
          58     -5.4668    -5.45389   0.0037368
          59    -5.46287    -5.45405  0.00367656
          60     -5.4671    -5.45426  0.00362172
          61    -5.43488    -5.45395  0.00357626
          62      -5.457      -5.454  0.00351892
          63     -5.4482     -5.4539  0.00346426
          64    -5.45713    -5.45395   0.0034105
          65    -5.38608    -5.45291  0.00351424
          66    -5.43452    -5.45263  0.00347202
          67    -5.53778     -5.4539  0.00364539
          68    -5.44893    -5.45383  0.00359252
          69    -5.44323    -5.45367  0.00354374
          70    -5.43684    -5.45343  0.00350126
          71    -5.45714    -5.45349  0.00345234
          72     -5.4443    -5.45336  0.00340675
          73    -5.47455    -5.45365  0.00337243
          74    -5.45412    -5.45366  0.00332686
          75     -5.4428    -5.45351  0.00328565
          76    -5.51118    -5.45427  0.00332888
          77    -5.44609    -5.45416  0.00328734
          78    -5.44681    -5.45407  0.00324654
          79    -5.51234    -5.45481  0.00328818
          80    -5.48374    -5.45517  0.00326692
          81    -5.43721    -5.45495   0.0032341
          82    -5.45619    -5.45496  0.00319469
          83    -5.46287    -5.45506  0.00315762
          84    -5.44598    -5.45495  0.00312188
          85    -5.45696    -5.45497  0.00308524
          86    -5.47982    -5.45526  0.00306286
          87    -5.43161    -5.45499  0.00303969
          88    -5.49154    -5.45541   0.0030334
          89    -5.46398     -5.4555  0.00300084
          90    -5.47961    -5.45577  0.00297944
          91    -5.44928     -5.4557  0.00294755
          92    -5.47428     -5.4559  0.00292242
          93    -5.42674    -5.45559  0.00290777
          94    -5.46533    -5.45569  0.00287868
          95    -5.44956    -5.45563   0.0028491
          96    -5.43146    -5.45537  0.00283052
          97    -5.46985    -5.45552  0.00280527
          98    -5.45127    -5.45548  0.00277699
          99    -5.41691    -5.45509  0.00277613
         100    -5.42239    -5.45476  0.00276756
