#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09066     1.09066           0
           2     1.07707     1.08386  0.00480626
           3      1.1274     1.09837   0.0122739
           4     1.08208      1.0943  0.00985826
           5     1.08827     1.09309  0.00795999
           6      1.0888     1.09238  0.00666543
           7     1.12216     1.09663  0.00693922
           8     1.09472     1.09639  0.00607595
           9     1.11416     1.09837  0.00571244
          10     1.06754     1.09528  0.00591486
          11     1.10015     1.09573  0.00539368
          12     1.10249     1.09629   0.0049736
          13     1.09938     1.09653  0.00459669
          14     1.07351     1.09488  0.00455291
          15      1.1027     1.09541  0.00427906
          16      1.0958     1.09543  0.00401169
          17     1.10224     1.09583  0.00379565
          18      1.1125     1.09676  0.00369605
          19     1.07426     1.09557  0.00368624
          20     1.11623     1.09661  0.00364374
          21      1.0771     1.09568  0.00358665
          22     1.12524     1.09702  0.00366669
          23     1.11906     1.09798  0.00363034
          24     1.05327     1.09612  0.00392796
          25     1.09789     1.09619  0.00377148
          26      1.0919     1.09602  0.00363003
          27     1.08768     1.09571  0.00350871
          28     1.11285     1.09632  0.00343638
          29     1.10212     1.09652   0.0033237
          30     1.10142     1.09669  0.00321692
          31     1.12465     1.09759  0.00323711
          32     1.10382     1.09778  0.00314179
          33     1.12301     1.09855  0.00313817
          34      1.0623     1.09748  0.00322189
          35     1.09676     1.09746   0.0031299
          36     1.10672     1.09772  0.00305351
          37      1.1172     1.09825  0.00301602
          38     1.09863     1.09826  0.00293667
          39     1.13113      1.0991  0.00297986
          40     1.09617     1.09903  0.00290626
          41     1.10821     1.09925    0.002844
          42     1.10057     1.09928  0.00277646
          43     1.11584     1.09967  0.00273846
          44     1.13987     1.10058  0.00282452
          45     1.10528     1.10068  0.00276368
          46     1.06528     1.09991  0.00280875
          47     1.11018     1.10013  0.00275747
          48     1.05912     1.09928  0.00282932
          49     1.07419     1.09877  0.00281754
          50      1.0898     1.09859  0.00276689
          51     1.10369     1.09869  0.00271444
          52     1.11244     1.09895  0.00267509
          53     1.11105     1.09918  0.00263434
          54     1.09224     1.09905  0.00258869
          55     1.09388     1.09896  0.00254333
          56     1.09551      1.0989  0.00249866
          57     1.06695     1.09833   0.0025169
          58     1.10502     1.09845  0.00247614
          59     1.10349     1.09854  0.00243564
          60     1.10836      1.0987  0.00240054
          61     1.08685      1.0985  0.00236904
          62     1.09996     1.09853  0.00233094
          63      1.0938     1.09845  0.00229515
          64     1.10046     1.09848  0.00225951
          65     1.05237     1.09778  0.00233346
          66     1.08608      1.0976  0.00230482
          67     1.15374     1.09844  0.00241795
          68      1.0957      1.0984  0.00238272
          69     1.09093     1.09829  0.00235065
          70     1.08701     1.09813  0.00232258
          71     1.10129     1.09817  0.00229029
          72     1.09202     1.09809  0.00226008
          73     1.11425     1.09831  0.00223994
          74     1.09848     1.09831  0.00220967
          75     1.09128     1.09822   0.0021822
          76     1.13629     1.09872  0.00221025
          77      1.0931     1.09864  0.00218274
          78     1.09338     1.09858   0.0021558
          79     1.13606     1.09905   0.0021801
          80     1.11789     1.09929  0.00216553
          81     1.08767     1.09914  0.00214354
          82     1.10114     1.09917  0.00211753
          83     1.10401     1.09923  0.00209282
          84      1.0927     1.09915  0.00206935
          85     1.10013     1.09916  0.00204504
          86     1.11439     1.09934  0.00202891
          87     1.08343     1.09915  0.00201381
          88     1.12254     1.09942  0.00200839
          89     1.10346     1.09946  0.00198634
          90     1.11611     1.09965  0.00197286
          91     1.09657     1.09962  0.00195147
          92     1.11111     1.09974  0.00193426
          93     1.08097     1.09954  0.00192396
          94     1.10591     1.09961  0.00190468
          95     1.09672     1.09958  0.00188488
          96     1.08449     1.09942  0.00187178
          97      1.1084     1.09951  0.00185477
          98     1.09851      1.0995  0.00183587
          99     1.07474     1.09925  0.00183429
         100     1.07684     1.09903  0.00182958
