#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80696    -3.80696           0
           2    -3.80705      -3.807 2.99421e-05
           3    -3.80668     -3.8069 8.96012e-05
           4    -3.80395    -3.80616 0.000642052
           5    -3.80566    -3.80606 0.000521383
           6    -3.80386    -3.80569   0.0005488
           7    -3.80666    -3.80583 0.000487655
           8     -3.8078    -3.80608 0.000484864
           9     -3.8059    -3.80606 0.000431372
          10    -3.80842    -3.80629 0.000448134
          11    -3.80683    -3.80634 0.000410024
          12    -3.80839    -3.80651 0.000409771
          13    -3.80846    -3.80666 0.000404714
          14      -3.806    -3.80662 0.000378577
          15    -3.80843    -3.80674 0.000372073
          16    -3.80665    -3.80673 0.000348857
          17    -3.80419    -3.80658 0.000358872
          18     -3.8029    -3.80638 0.000392992
          19    -3.80684     -3.8064 0.000373069
          20    -3.80798    -3.80648 0.000362639
          21    -3.80647    -3.80648 0.000345371
          22    -3.80488    -3.80641 0.000337235
          23    -3.80347    -3.80628 0.000345862
          24    -3.80512    -3.80623 0.000334801
          25    -3.80592    -3.80622 0.000321646
          26    -3.80512    -3.80618 0.000312032
          27    -3.80348    -3.80608 0.000316018
          28     -3.8062    -3.80608 0.000304762
          29    -3.80701    -3.80611 0.000295938
          30    -3.80634    -3.80612 0.000286174
          31    -3.80687    -3.80614 0.000277969
          32    -3.80559    -3.80613 0.000269822
          33    -3.80599    -3.80612 0.000261675
          34    -3.80512    -3.80609 0.000255621
          35    -3.80826    -3.80616 0.000255673
          36    -3.80616    -3.80616 0.000248571
          37    -3.80558    -3.80614 0.000242337
          38    -3.80503    -3.80611 0.000237713
          39    -3.80818    -3.80616 0.000237458
          40    -3.80946    -3.80625 0.000245385
          41    -3.80666    -3.80626 0.000239604
          42    -3.80431    -3.80621 0.000238326
          43    -3.80647    -3.80622  0.00023286
          44    -3.80809    -3.80626  0.00023142
          45    -3.80475    -3.80623 0.000228692
          46     -3.8036    -3.80617 0.000230713
          47    -3.80563    -3.80616 0.000226084
          48    -3.80818     -3.8062 0.000225274
          49    -3.80558    -3.80619 0.000221036
          50    -3.80841    -3.80623 0.000221039
          51    -3.80636    -3.80623 0.000216719
          52    -3.80608    -3.80623 0.000212572
          53    -3.80381    -3.80618 0.000213416
          54    -3.80434    -3.80615 0.000212193
          55    -3.80814    -3.80619 0.000211383
          56    -3.80562    -3.80618 0.000207849
          57    -3.80555    -3.80617 0.000204491
          58    -3.80927    -3.80622 0.000207869
          59    -3.80764    -3.80624 0.000205742
          60    -3.80457    -3.80622 0.000204203
          61    -3.80461    -3.80619 0.000202554
          62    -3.80706     -3.8062 0.000199774
          63    -3.80751    -3.80622 0.000197673
          64    -3.80643    -3.80623 0.000194611
          65    -3.80752    -3.80625 0.000192638
          66     -3.8054    -3.80623 0.000190151
          67    -3.80717    -3.80625 0.000187827
          68    -3.80538    -3.80623 0.000185501
          69    -3.80684    -3.80624 0.000183017
          70    -3.80632    -3.80624 0.000180405
          71    -3.80521    -3.80623 0.000178451
          72    -3.80627    -3.80623 0.000175973
          73    -3.80317    -3.80619 0.000178477
          74     -3.8064    -3.80619 0.000176088
          75    -3.80588    -3.80619 0.000173789
          76    -3.80674    -3.80619 0.000171655
          77    -3.80644     -3.8062 0.000169455
          78    -3.80674     -3.8062 0.000167422
          79    -3.80826    -3.80623 0.000167306
          80    -3.80691    -3.80624 0.000165427
          81     -3.8057    -3.80623 0.000163517
          82    -3.80449    -3.80621 0.000162897
          83    -3.80685    -3.80622 0.000161116
          84    -3.80694    -3.80623 0.000159425
          85    -3.80676    -3.80623 0.000157673
          86    -3.80824    -3.80626 0.000157552
          87    -3.80647    -3.80626 0.000155759
          88    -3.80772    -3.80628 0.000154876
          89    -3.80879     -3.8063  0.00015569
          90    -3.80545     -3.8063 0.000154252
          91    -3.80443    -3.80627 0.000153915
          92    -3.80761    -3.80629 0.000152921
          93    -3.80528    -3.80628 0.000151661
          94    -3.80646    -3.80628  0.00015006
          95    -3.80448    -3.80626 0.000149677
          96    -3.80473    -3.80625 0.000148971
          97    -3.80726    -3.80626   0.0001478
          98     -3.8035    -3.80623 0.000148946
          99    -3.80479    -3.80621 0.000148143
         100    -3.80713    -3.80622 0.000146943
