# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0115332           0           0
   0.0230664           0           0
   0.0345996           0           0
   0.0461329           0           0
   0.0576661           0           0
   0.0691993           0           0
   0.0807325           0           0
   0.0922657           0           0
    0.103799           0           0
    0.115332           0           0
    0.126865           0           0
    0.138399           0           0
    0.149932           0           0
    0.161465           0           0
    0.172998           0           0
    0.184531           0           0
    0.196065           0           0
    0.207598           0           0
    0.219131           0           0
    0.230664           0           0
    0.242198           0           0
    0.253731           0           0
    0.265264           0           0
    0.276797           0           0
     0.28833           0           0
    0.299864           0           0
    0.311397           0           0
     0.32293           0           0
    0.334463           0           0
    0.345996           0           0
     0.35753           0           0
    0.369063           0           0
    0.380596           0           0
    0.392129           0           0
    0.403663           0           0
    0.415196           0           0
    0.426729           0           0
    0.438262           0           0
    0.449795           0           0
    0.461329           0           0
    0.472862           0           0
    0.484395           0           0
    0.495928           0           0
    0.507461           0           0
    0.518995           0           0
    0.530528           0           0
    0.542061           0           0
    0.553594           0           0
    0.565128           0           0
    0.576661           0           0
    0.588194           0           0
    0.599727           0           0
     0.61126           0           0
    0.622794           0           0
    0.634327           0           0
     0.64586           0           0
    0.657393           0           0
    0.668926           0           0
     0.68046           0           0
    0.691993           0           0
    0.703526           0           0
    0.715059           0           0
    0.726593           0           0
    0.738126           0           0
    0.749659           0           0
    0.761192           0           0
    0.772725           0           0
    0.784259           0           0
    0.795792           0           0
    0.807325           0           0
    0.818858           0           0
    0.830391           0           0
    0.841925           0           0
    0.853458           0           0
    0.864991           0           0
    0.876524           0           0
    0.888058 0.000113083 5.53243e-05
    0.899591  0.00119954 0.000230593
    0.911124  0.00588966 0.000507694
    0.922657     0.02303 0.000951011
     0.93419   0.0738923  0.00141314
    0.945724    0.190591  0.00255108
    0.957257     0.42465  0.00366753
     0.96879    0.783363  0.00425719
    0.980323     1.29207  0.00535354
    0.991856     1.92786  0.00710355
     1.00339     2.60976  0.00933074
     1.01492      3.3412    0.010241
     1.02646     3.94643   0.0101514
     1.03799     4.41958   0.0110799
     1.04952     4.74842   0.0115537
     1.06106     4.87197   0.0114205
     1.07259      4.8233   0.0115977
     1.08412     4.59812   0.0123979
     1.09566     4.29034   0.0123887
     1.10719     3.86004    0.010741
     1.11872     3.39566  0.00952445
     1.13026     2.91886  0.00995626
     1.14179     2.44126  0.00740047
     1.15332     2.02158  0.00728348
     1.16485     1.63106  0.00653166
     1.17639     1.29691  0.00622988
     1.18792     1.00353  0.00554326
     1.19945    0.768051  0.00431762
     1.21099    0.576899  0.00379583
     1.22252    0.426564  0.00378696
     1.23405    0.311095  0.00268479
     1.24559    0.220958  0.00248824
     1.25712    0.153939  0.00222643
     1.26865    0.108277  0.00192935
     1.28019   0.0785105    0.001859
     1.29172   0.0574694  0.00153558
     1.30325   0.0455404  0.00144976
     1.31479   0.0424864  0.00132934
     1.32632   0.0468103  0.00138959
     1.33785   0.0596598   0.0016236
     1.34939   0.0740387  0.00149917
     1.36092   0.0976386  0.00161138
     1.37245    0.129433   0.0021231
     1.38399    0.164851  0.00226488
     1.39552    0.214561  0.00243875
     1.40705    0.273961  0.00290604
     1.41859     0.34076   0.0029582
     1.43012    0.417559   0.0026463
     1.44165    0.499379  0.00343161
     1.45319    0.584709  0.00326254
     1.46472    0.667072  0.00321567
     1.47625    0.751061    0.003665
     1.48778    0.822712  0.00406995
     1.49932    0.883115  0.00422179
     1.51085    0.924646  0.00420106
     1.52238     0.95774   0.0046551
     1.53392    0.961409  0.00495094
     1.54545    0.942179  0.00459409
     1.55698    0.896935  0.00462803
     1.56852    0.837357  0.00383581
     1.58005    0.764846  0.00379768
     1.59158    0.684887  0.00358327
     1.60312    0.601333  0.00318839
     1.61465    0.508806  0.00291115
     1.62618    0.432401  0.00256959
     1.63772     0.35491  0.00239975
     1.64925    0.294625  0.00255366
     1.66078    0.245655  0.00226746
     1.67232     0.20923  0.00205703
     1.68385    0.196414  0.00232747
     1.69538    0.204657  0.00249327
     1.70692    0.235031  0.00262732
     1.71845    0.294582  0.00289772
     1.72998    0.385801  0.00255635
     1.74152    0.507506  0.00329714
     1.75305    0.671471  0.00397427
     1.76458    0.861605  0.00411648
     1.77612     1.08819  0.00388412
     1.78765     1.33826  0.00449976
     1.79918     1.58968  0.00459382
     1.81071     1.85626  0.00411942
     1.82225     2.11198  0.00486286
     1.83378     2.33937  0.00667491
     1.84531     2.51464   0.0058033
     1.85685     2.62685  0.00614288
     1.86838     2.67719  0.00654349
     1.87991     2.67621  0.00784998
     1.89145     2.59518  0.00671953
     1.90298      2.4618  0.00689736
     1.91451      2.2911  0.00633756
     1.92605     2.05844  0.00540531
     1.93758     1.80876  0.00456258
     1.94911     1.56384  0.00391986
     1.96065     1.32695  0.00382424
     1.97218      1.1038  0.00348277
     1.98371    0.896717  0.00343303
     1.99525    0.735043  0.00326972
     2.00678    0.602797  0.00344037
     2.01831    0.514926  0.00359441
     2.02985    0.460216  0.00328611
     2.04138    0.441974  0.00319063
     2.05291     0.45622  0.00312483
     2.06445     0.49742  0.00306982
