#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20019     1.20019           0
           2     1.20276     1.20148 0.000909975
           3     1.18383      1.1956  0.00484069
           4     1.19819     1.19624  0.00367362
           5     1.19795     1.19658  0.00295466
           6     1.19841     1.19689  0.00247783
           7     1.20325      1.1978  0.00228447
           8     1.19991     1.19806  0.00201414
           9     1.19686     1.19793  0.00179477
          10     1.19739     1.19787  0.00161611
          11     1.19811      1.1979  0.00146933
          12     1.19309      1.1975  0.00140046
          13      1.1941     1.19723  0.00131687
          14     1.21513     1.19851  0.00173563
          15     1.20503     1.19895  0.00167352
          16     1.19772     1.19887  0.00157068
          17     1.20401     1.19917  0.00150712
          18     1.19823     1.19912  0.00142429
          19     1.19867      1.1991  0.00134953
          20     1.20124      1.1992  0.00128632
          21     1.19514     1.19901  0.00123951
          22      1.1977     1.19895   0.0011846
          23     1.19464     1.19876   0.0011478
          24     1.20411     1.19899  0.00112138
          25     1.18682      1.1985  0.00117737
          26     1.20776     1.19886  0.00118471
          27     1.19211     1.19861  0.00116689
          28     1.20633     1.19888   0.0011574
          29     1.19276     1.19867  0.00113656
          30     1.19461     1.19854   0.0011067
          31     1.21051     1.19892  0.00113639
          32     1.18882     1.19861  0.00114388
          33     1.20252     1.19873  0.00111535
          34     1.18871     1.19843  0.00112075
          35     1.20985     1.19876  0.00113523
          36     1.19391     1.19862  0.00111166
          37     1.20875      1.1989  0.00111482
          38     1.19634     1.19883   0.0010875
          39      1.1786     1.19831  0.00117678
          40       1.208     1.19855  0.00117202
          41     1.17725     1.19803  0.00125331
          42     1.21521     1.19844   0.0012885
          43     1.20314     1.19855  0.00126316
          44     1.19643      1.1985  0.00123538
          45     1.20054     1.19855  0.00120875
          46     1.19682     1.19851  0.00118306
          47     1.20258      1.1986  0.00116106
          48     1.19253     1.19847  0.00114373
          49     1.20192     1.19854  0.00112255
          50     1.18962     1.19836  0.00111419
          51     1.20334     1.19846  0.00109661
          52     1.20009     1.19849  0.00107597
          53     1.18436     1.19823  0.00108818
          54     1.20271     1.19831   0.0010712
          55     1.19049     1.19817  0.00106112
          56     1.19659     1.19814  0.00104255
          57     1.20856     1.19832  0.00104015
          58     1.19297     1.19823  0.00102631
          59     1.20698     1.19838  0.00101958
          60       1.194      1.1983  0.00100519
          61       1.211     1.19851  0.00101004
          62     1.18757     1.19834  0.00100906
          63     1.21241     1.19856  0.00101748
          64     1.19598     1.19852  0.00100238
          65     1.18324     1.19828  0.00101416
          66     1.20332     1.19836  0.00100166
          67     1.19236     1.19827 0.000990714
          68     1.20015      1.1983 0.000976529
          69     1.19996     1.19832 0.000962673
          70     1.18652     1.19815 0.000963575
          71     1.19726     1.19814 0.000950087
          72     1.20157     1.19819 0.000938086
          73     1.19578     1.19816 0.000925814
          74     1.18879     1.19803 0.000921921
          75     1.21439     1.19825 0.000935084
          76     1.20484     1.19833 0.000926794
          77     1.20089     1.19837 0.000915352
          78     1.18966     1.19826 0.000910399
          79     1.20496     1.19834 0.000902817
          80     1.20237     1.19839 0.000892936
          81     1.18962     1.19828 0.000888451
          82      1.2047     1.19836 0.000881053
          83     1.19815     1.19836 0.000870442
          84      1.2052     1.19844 0.000863878
          85     1.19193     1.19836 0.000857107
          86     1.19102     1.19828 0.000851384
          87     1.19083     1.19819 0.000845887
          88     1.19447     1.19815 0.000837332
          89     1.19916     1.19816 0.000828001
          90       1.196     1.19814 0.000819149
          91     1.20408      1.1982 0.000812747
          92     1.18999     1.19811 0.000808798
          93       1.201     1.19814 0.000800697
          94     1.19114     1.19807 0.000795641
          95     1.20532     1.19815 0.000790916
          96     1.19472     1.19811 0.000783483
          97     1.20074     1.19814 0.000775877
          98     1.19588     1.19811 0.000768302
          99     1.20654      1.1982  0.00076524
         100     1.19246     1.19814 0.000759735
