#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.52666    -7.52666           0
           2      -7.529    -7.52783 0.000827756
           3    -7.50945     -7.5217  0.00503334
           4    -7.52512    -7.52256  0.00384683
           5    -7.52576     -7.5232  0.00313023
           6    -7.52444     -7.5234   0.0026154
           7     -7.5303    -7.52439  0.00242014
           8    -7.52832    -7.52488  0.00216693
           9    -7.52475    -7.52486  0.00192621
          10    -7.52507    -7.52489   0.0017337
          11    -7.52411    -7.52481  0.00157753
          12    -7.51994    -7.52441  0.00149752
          13    -7.52148    -7.52418  0.00139914
          14    -7.54146    -7.52542  0.00176137
          15    -7.53323    -7.52594  0.00171925
          16    -7.52583    -7.52593  0.00161181
          17     -7.5321    -7.52629  0.00155727
          18    -7.52508    -7.52623  0.00147222
          19    -7.52532    -7.52618  0.00139551
          20    -7.52768    -7.52625  0.00132775
          21    -7.52178    -7.52604  0.00128149
          22    -7.52443    -7.52597  0.00122533
          23    -7.52144    -7.52577  0.00118774
          24    -7.53083    -7.52598  0.00115683
          25    -7.51303    -7.52546  0.00122098
          26    -7.53445    -7.52581  0.00122192
          27    -7.51846    -7.52554  0.00120658
          28    -7.53313    -7.52581  0.00119356
          29    -7.51928    -7.52558  0.00117342
          30    -7.52126    -7.52544  0.00114312
          31    -7.53543    -7.52576  0.00115074
          32    -7.51542    -7.52544  0.00115924
          33    -7.52862    -7.52553  0.00112811
          34    -7.51632    -7.52526    0.001127
          35    -7.53681    -7.52559   0.0011421
          36    -7.52136    -7.52548  0.00111641
          37    -7.53559    -7.52575   0.0011192
          38     -7.5232    -7.52568  0.00109175
          39    -7.50614    -7.52518  0.00117307
          40    -7.53502    -7.52543  0.00116925
          41    -7.50341    -7.52489  0.00125804
          42    -7.54107    -7.52528   0.0012857
          43    -7.53088    -7.52541  0.00126238
          44    -7.52338    -7.52536  0.00123453
          45    -7.52878    -7.52544  0.00120943
          46    -7.52422    -7.52541  0.00118343
          47    -7.52972     -7.5255  0.00116181
          48    -7.51941    -7.52537   0.0011445
          49    -7.52946    -7.52546  0.00112417
          50    -7.51545    -7.52526  0.00111937
          51    -7.52986    -7.52535  0.00110105
          52    -7.52682    -7.52538  0.00108024
          53    -7.51082     -7.5251  0.00109422
          54     -7.5305     -7.5252  0.00107851
          55    -7.51962     -7.5251  0.00106366
          56    -7.52263    -7.52506  0.00104558
          57    -7.53607    -7.52525  0.00104495
          58    -7.51991    -7.52516  0.00103099
          59    -7.53385     -7.5253  0.00102399
          60    -7.52007    -7.52522  0.00101064
          61    -7.53864    -7.52544  0.00101774
          62     -7.5137    -7.52525  0.00101877
          63    -7.53941    -7.52547  0.00102709
          64    -7.52306    -7.52543  0.00101174
          65    -7.50988    -7.52519  0.00102408
          66    -7.53103    -7.52528  0.00101238
          67    -7.51869    -7.52519  0.00100205
          68    -7.52717    -7.52521 0.000987732
          69    -7.52723    -7.52524 0.000973847
          70    -7.51214    -7.52506 0.000977749
          71    -7.52359    -7.52504 0.000964196
          72    -7.52717    -7.52507 0.000951259
          73    -7.52343    -7.52504 0.000938492
          74    -7.51505    -7.52491 0.000935466
          75    -7.54225    -7.52514 0.000951143
          76    -7.53209    -7.52523 0.000943014
          77    -7.52901    -7.52528 0.000932043
          78    -7.51607    -7.52516 0.000927546
          79    -7.53264    -7.52526 0.000920629
          80    -7.52996    -7.52531 0.000910999
          81    -7.51467    -7.52518 0.000909182
          82    -7.53169    -7.52526  0.00090155
          83    -7.52527    -7.52526 0.000890688
          84    -7.53186    -7.52534 0.000883542
          85    -7.51931    -7.52527 0.000875994
          86    -7.51711    -7.52518 0.000870935
          87    -7.51655    -7.52508 0.000866553
          88    -7.52202    -7.52504 0.000857402
          89    -7.52693    -7.52506  0.00084803
          90    -7.52311    -7.52504 0.000838884
          91    -7.53088    -7.52511 0.000832118
          92    -7.51758    -7.52502 0.000827085
          93     -7.5279    -7.52505 0.000818768
          94    -7.51805    -7.52498  0.00081344
          95    -7.53072    -7.52504  0.00080712
          96    -7.51985    -7.52499 0.000800522
          97    -7.52789    -7.52502 0.000792829
          98    -7.52237    -7.52499 0.000785198
          99    -7.53401    -7.52508 0.000782531
         100    -7.52062    -7.52504 0.000775975
