#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       -0.759895       -0.759895               0
               2       -0.758187       -0.759041     0.000603783
               3       -0.770943       -0.763008       0.0032642
               4       -0.761103       -0.762532      0.00248267
               5       -0.761345       -0.762294      0.00199746
               6       -0.761045       -0.762086      0.00167537
               7       -0.757895       -0.761487      0.00153929
               8       -0.759989         -0.7613      0.00135822
               9       -0.762159       -0.761396      0.00121066
              10       -0.762047       -0.761461      0.00109134
              11       -0.761427       -0.761458     0.000992133
              12       -0.764877       -0.761743     0.000949495
              13       -0.764144       -0.761927     0.000894245
              14       -0.749661       -0.761051      0.00118419
              15       -0.756697       -0.760761      0.00114026
              16       -0.761662       -0.760817      0.00107038
              17       -0.757222       -0.760606       0.0010281
              18        -0.76121       -0.760639     0.000971533
              19       -0.760892       -0.760653     0.000920491
              20        -0.75922       -0.760581     0.000877248
              21       -0.763426       -0.760717     0.000845867
              22       -0.761698       -0.760761     0.000808594
              23       -0.763779       -0.760892     0.000784012
              24       -0.757341       -0.760744     0.000765183
              25       -0.769192       -0.761082     0.000805735
              26       -0.754766       -0.760839     0.000810538
              27       -0.765372       -0.761007     0.000797713
              28       -0.755641       -0.760816     0.000791909
              29       -0.764922       -0.760957     0.000777156
              30       -0.763713       -0.761049     0.000756659
              31        -0.75296       -0.760788     0.000775945
              32       -0.767668       -0.761003     0.000780915
              33       -0.758274        -0.76092     0.000761617
              34       -0.767705        -0.76112     0.000764914
              35       -0.753296       -0.760896     0.000775031
              36       -0.764191       -0.760988     0.000758887
              37       -0.754064       -0.760801     0.000761096
              38       -0.762621       -0.760849     0.000742573
              39       -0.774826       -0.761207     0.000805386
              40       -0.754781       -0.761046     0.000801113
              41       -0.775673       -0.761403     0.000857335
              42       -0.749654       -0.761123     0.000881383
              43       -0.757699       -0.761044     0.000864476
              44       -0.762614       -0.761079     0.000845565
              45       -0.759694       -0.761049     0.000827335
              46       -0.762115       -0.761072     0.000809674
              47       -0.758243       -0.761012     0.000794682
              48       -0.765243         -0.7611     0.000782999
              49       -0.758924       -0.761055     0.000768278
              50       -0.767327       -0.761181     0.000763083
              51       -0.757925       -0.761117     0.000750788
              52        -0.76007       -0.761097     0.000736619
              53       -0.770839       -0.761281     0.000745303
              54       -0.758213       -0.761224     0.000733663
              55       -0.766751       -0.761324     0.000727173
              56       -0.762467       -0.761345     0.000714474
              57        -0.75443       -0.761223     0.000712163
              58       -0.764716       -0.761284     0.000702426
              59       -0.755267       -0.761182     0.000697883
              60       -0.764204       -0.761232     0.000688067
              61       -0.752683       -0.761092     0.000690912
              62       -0.768595       -0.761213     0.000690286
              63       -0.751608       -0.761061     0.000695961
              64       -0.762945        -0.76109     0.000685709
              65       -0.771479        -0.76125     0.000693536
              66       -0.757909       -0.761199     0.000684872
              67       -0.765317       -0.761261     0.000677402
              68       -0.759939       -0.761241     0.000667719
              69       -0.760047       -0.761224     0.000658266
              70        -0.76913       -0.761337     0.000658481
              71       -0.761748       -0.761343     0.000649232
              72       -0.758962        -0.76131     0.000641056
              73       -0.762807        -0.76133     0.000632602
              74       -0.767611       -0.761415     0.000629722
              75       -0.750274       -0.761266     0.000638606
              76        -0.75676       -0.761207      0.00063295
              77       -0.759425       -0.761184     0.000625153
              78       -0.767025       -0.761259     0.000621607
              79       -0.756735       -0.761202     0.000616371
              80       -0.758361       -0.761166     0.000609688
              81       -0.767179        -0.76124     0.000606664
              82       -0.756812       -0.761186     0.000601664
              83       -0.761269       -0.761187     0.000594416
              84       -0.756587       -0.761133     0.000589857
              85       -0.765455       -0.761183     0.000585106
              86       -0.766081        -0.76124     0.000581067
              87       -0.766347       -0.761299     0.000577345
              88       -0.764005        -0.76133     0.000571603
              89       -0.760502        -0.76132     0.000565256
              90       -0.762646       -0.761335     0.000559167
              91       -0.757388       -0.761292     0.000554702
              92       -0.767042       -0.761354     0.000552183
              93       -0.759114        -0.76133     0.000546771
              94       -0.766091       -0.761381     0.000543294
              95       -0.756485       -0.761329     0.000540015
              96       -0.763671       -0.761354      0.00053494
              97       -0.759613       -0.761336     0.000529726
              98       -0.762837       -0.761351     0.000524542
              99       -0.755537       -0.761292     0.000522521
             100       -0.765217       -0.761332     0.000518768
