#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.32647    -6.32647           0
           2    -6.32623    -6.32635 8.22195e-05
           3    -6.32561    -6.32611 0.000207833
           4    -6.32693    -6.32631 0.000237216
           5    -6.32781    -6.32661 0.000327989
           6    -6.32603    -6.32651 0.000287249
           7    -6.32705    -6.32659 0.000256098
           8    -6.32841    -6.32682 0.000308738
           9    -6.32789    -6.32694 0.000296452
          10    -6.32768    -6.32701 0.000275988
          11      -6.326    -6.32692  0.00026578
          12    -6.32685    -6.32691 0.000243694
          13    -6.32738    -6.32695 0.000227608
          14    -6.32633    -6.32691 0.000215562
          15     -6.3282    -6.32699 0.000217687
          16    -6.32811    -6.32706 0.000214977
          17    -6.32809    -6.32712 0.000210606
          18    -6.32684    -6.32711 0.000199465
          19    -6.32665    -6.32708 0.000190432
          20    -6.32643    -6.32705 0.000183659
          21    -6.32664    -6.32703 0.000175961
          22    -6.32673    -6.32702 0.000168494
          23     -6.3268    -6.32701 0.000161433
          24    -6.32672    -6.32699  0.00015514
          25    -6.32621    -6.32696 0.000152059
          26    -6.32669    -6.32695 0.000146581
          27    -6.32635    -6.32693 0.000142821
          28    -6.32679    -6.32693 0.000137803
          29    -6.32652    -6.32691  0.00013376
          30    -6.32665     -6.3269 0.000129589
          31    -6.32492    -6.32684 0.000140359
          32     -6.3266    -6.32683 0.000136168
          33     -6.3261    -6.32681 0.000133855
          34    -6.32761    -6.32683  0.00013197
          35    -6.32696    -6.32684 0.000128253
          36    -6.32745    -6.32685 0.000125828
          37    -6.32684    -6.32685 0.000122428
          38    -6.32686    -6.32685 0.000119206
          39    -6.32754    -6.32687 0.000117443
          40    -6.32702    -6.32687 0.000114568
          41    -6.32616    -6.32686 0.000113101
          42    -6.32585    -6.32683 0.000112897
          43    -6.32773    -6.32685  0.00011219
          44    -6.32695    -6.32686  0.00010966
          45    -6.32824    -6.32689 0.000111425
          46     -6.3274     -6.3269 0.000109556
          47    -6.32714     -6.3269 0.000107345
          48    -6.32688     -6.3269  0.00010511
          49    -6.32754    -6.32692 0.000103756
          50    -6.32583    -6.32689 0.000103939
          51    -6.32651    -6.32689 0.000102167
          52    -6.32673    -6.32688 0.000100247
          53    -6.32645    -6.32688 9.86843e-05
          54    -6.32778    -6.32689 9.82806e-05
          55    -6.32913    -6.32693 0.000104602
          56    -6.32604    -6.32692 0.000103935
          57    -6.32752    -6.32693 0.000102644
          58    -6.32694    -6.32693 0.000100875
          59    -6.32687    -6.32693   9.917e-05
          60    -6.32607    -6.32691 9.85505e-05
          61    -6.32764    -6.32692 9.76456e-05
          62    -6.32614    -6.32691 9.68963e-05
          63    -6.32699    -6.32691  9.5367e-05
          64    -6.32708    -6.32692 9.39109e-05
          65    -6.32664    -6.32691 9.25584e-05
          66    -6.32771    -6.32692 9.19529e-05
          67    -6.32633    -6.32691 9.10039e-05
          68    -6.32702    -6.32692 8.96783e-05
          69    -6.32727    -6.32692 8.85236e-05
          70    -6.32563     -6.3269 8.91723e-05
          71    -6.32633    -6.32689 8.82762e-05
          72     -6.3256    -6.32688 8.88728e-05
          73    -6.32765    -6.32689 8.82787e-05
          74    -6.32627    -6.32688 8.74799e-05
          75    -6.32786    -6.32689 8.72859e-05
          76    -6.32725     -6.3269 8.62647e-05
          77    -6.32812    -6.32691 8.65933e-05
          78    -6.32641    -6.32691  8.5724e-05
          79    -6.32769    -6.32692 8.52096e-05
          80    -6.32759    -6.32692 8.45647e-05
          81    -6.32505     -6.3269 8.66322e-05
          82    -6.32699     -6.3269 8.55829e-05
          83    -6.32713    -6.32691 8.45944e-05
          84    -6.32667     -6.3269 8.36353e-05
          85    -6.32738    -6.32691 8.28426e-05
          86    -6.32609     -6.3269 8.24254e-05
          87    -6.32571    -6.32688 8.25941e-05
          88    -6.32755    -6.32689 8.20005e-05
          89    -6.32777     -6.3269 8.16664e-05
          90    -6.32712     -6.3269 8.07934e-05
          91     -6.3268     -6.3269 7.99133e-05
          92    -6.32759    -6.32691 7.93906e-05
          93     -6.3269    -6.32691 7.85371e-05
          94    -6.32691    -6.32691 7.77016e-05
          95     -6.3254    -6.32689  7.8485e-05
          96    -6.32513    -6.32688 7.97875e-05
          97    -6.32715    -6.32688 7.90135e-05
          98     -6.3265    -6.32688 7.83044e-05
          99    -6.32747    -6.32688 7.77419e-05
         100    -6.32816    -6.32689  7.8009e-05
